f_id,i_id,ic.eps.s,pca.expl_var_PC1.cov_init,ic.eps.max,ic.eps.ratio,nbc.nb_fitness.cor,nbc.nn_nb.mean_ratio,ela_distr.skewness,disp.ratio_mean_25,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_x,disp.ratio_mean_10,pca.expl_var_PC1.cor_init,disp.diff_mean_05,disp.diff_median_25,ela_level.qda_mda_25,disp.ratio_median_25,ela_distr.number_of_peaks,ela_meta.lin_simple.coef.max_by_min,ic.m0,ela_level.lda_qda_10,ic.h.max,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max,disp.diff_median_02,ela_meta.quad_w_interact.adj_r2,ela_level.lda_qda_25,disp.diff_mean_02,ela_level.lda_qda_50
1,1,1.393957368860775,0.6997709232301089,0.7561089397738081,1.454044903922291,0.3445970670807331,0.495507910860233,-0.2048934834612357,-0.1386128665310723,-0.7091399635591878,0.5804726397813397,0.6250586412271397,1.1113606879146798,-0.1096034903334407,1.0017166187449944,-0.0363501052147248,-0.1619084867567924,0.8427702146645815,-0.1619928323215905,-0.261390283031684,1.4385855977621909,-0.8895745061653904,2.8761819817896064,0.1060543150394605,0.996559515824078,0.847097733730418,0.0042790990001357,0.6901337682231128,1.001986597078741,-0.0047161735784703,0.0668194842195523
2,1,1.5548842186820353,0.6997709232301089,4.609921933646593,1.628878124763499,-0.0549733434813982,1.3691157786434345,-0.2550636821603602,-1.6193101867368958,-0.7091399635591878,5.014298307112623,1.2279644996815031,0.701664163132566,-1.678933601765885,0.9506400790639308,-1.6751229295322705,-1.6003385609160037,-0.58820599298891,-1.599880591481063,-0.722355579459181,-0.242375927620148,-0.6282033276397286,0.1144449539114097,0.5357874729432507,0.9079219983084468,4.673847299956911,-1.6738061106851914,0.6901337682231128,-0.1868165399691289,-1.6617110235451884,-0.3299419118518759
3,1,1.3606688489442522,0.6997709232301089,0.1003909165384208,1.380714115354829,0.5027296373124256,-0.2744990238845808,-0.1526131218983712,1.052966427414202,-0.7091399635591878,-0.0098655201591711,-0.6198218617690231,-0.9371219359958322,1.0896780406063262,-1.3180095584366347,1.08815464541437,1.026985147274086,0.1053687658980765,1.0267302609907532,0.9166321411719194,-0.594325613898305,-0.258379377941593,1.2751519474373028,-0.7508180380443529,-1.224872483069742,-0.2726892730102807,1.1114704304054752,0.6901337682231128,1.811897798438693,1.1437362219841356,2.497618229117618
4,1,-0.0432419106659179,0.6997709232301089,-0.3869073753732882,-0.0461796383685364,0.1112685893262783,0.9659121473588796,-0.1809803550316224,-0.8903197348085057,-0.7091399635591878,-0.329687925316685,0.6303792930289308,-0.1177288864317752,-1.0063635540091227,0.5654378423025775,-1.048681563434828,-0.9093520166127016,-0.2285488712792083,-0.9094868298629748,-0.3126086493014059,-0.468741044283074,-0.7258108216949563,0.3411988172177314,-0.1749583133684499,0.4235289532075272,-0.3608988346398237,-1.1383817534627956,0.6367257759514761,-0.0559981926588665,-1.1329511531263337,-0.2162999378160481
5,1,-1.4194076174564048,-1.648925550924001,-0.3869123034701008,-1.3772334602031184,-2.084157024426541,-1.8313130446777297,-0.4170232960111449,1.3875172863728351,1.4275086135387989,-0.3296919094188421,-1.557776765113305,-0.4591426570833755,1.3084658874669597,-1.3648297198109431,1.3033696254900624,1.3972197668474833,0.7756388563570652,1.3973627014383532,-0.722355579459181,-0.5067521180615328,2.016959761256906,-1.150830237229428,1.205029855674705,-1.2646128576583615,-0.3609028646819934,1.2528659245176066,-1.9764034219774824,-0.980227003780152,1.2457341985213513,-0.6470615342494153
6,1,-1.1697021420792546,-1.6489255509240013,-0.3869123026464802,-1.112138292926971,-1.329249090080374,-0.728103109079706,-0.3373231213763004,0.51190269255517,1.4275086135387989,-0.3296919001551667,-1.0381771120126964,-0.4591426570835082,0.4778823947552963,-0.9477046457489252,0.4643994234283126,0.4925335923293676,0.6295498900920028,0.493102601634818,-0.722355579459181,-0.4579748276786983,0.9768976857128816,-1.1592411574723696,1.125481665479236,-0.9574948475887052,-0.360902864536148,0.4307813317978865,-0.8559010803782813,-0.944912925313693,0.4377190050965752,-0.5086277474496738
7,1,-0.6425461385052715,0.205315531631667,-0.3869122373661804,-0.5932729591446028,0.0998417602419373,1.2627148203877872,-0.2776787220644657,-1.2186752074901324,0.3590374359084704,-0.3296918103210075,1.377550824623282,-0.3225771488226709,-1.3372464088292155,1.3443550724387947,-1.420877461535096,-1.2078598399489622,-0.3231588684794396,-1.2084844288795311,-0.722355579459181,-0.576278368998613,-0.8787292290481442,0.2295836323722138,0.4571039369890348,1.6237981470039078,-0.3609027875441858,-1.4809320636073586,0.6901337682231128,-0.3431985299214827,-1.5144045738622105,-0.4044713365582997
8,1,-0.831218041146215,-1.5420270978415849,-0.3869122884306553,-0.7737405087270683,-0.5120465068550544,0.495507910860233,-0.3048339957686883,-1.3921460232464624,1.4275086135387989,-0.3296918600740826,0.997048211483778,0.018836621829062,-1.3331947820355006,0.9591528356774416,-1.256739918728913,-1.3669309350199512,-0.1673306377967066,-1.3673269033570743,-0.722355579459181,-0.6849471460177475,0.6450322059251125,-0.700618682063343,1.0614972516263572,1.0064488256295412,-0.3609028577561379,-1.1665118120861624,0.2652671962866512,-0.6997144654483519,-1.1784649230129234,-0.5302166427881875
9,1,-0.8090164554233715,-1.506928105131628,-0.386912285785695,-0.7568375225032969,-0.4619159018398794,0.6663094491127184,-0.2745473141996154,-1.384918072589947,1.6945529634057128,-0.3296918487360323,0.6170016542129991,0.7699469172629277,-1.3169882748606392,0.4441310605600523,-1.2414220426997975,-1.3720808658133676,-0.2939410752264272,-1.3725178338955557,-0.722355579459181,-0.6908893443878413,0.3370263357952872,-0.5969597731233105,0.9482275460219368,0.2665819438874939,-0.3609028564120196,-1.140658282819136,0.3941922250121982,-0.4768295029503129,-1.1416046695296065,-0.3012388441550219
10,1,-0.4760758215871716,0.4902446169387313,-0.3869120208008449,-0.4127772379184309,-1.7583080918279022,-1.8845135238055533,-0.3424662588517717,1.3565403549877797,-0.7091399635591878,-0.3296914888460653,-1.396637024830495,-0.3908599029530327,1.2591710948100878,-1.198830965847487,1.225415752681843,1.3596526783592104,0.7756388563570652,1.359988001561288,-0.722355579459181,-0.5307635433592109,2.0126216504100074,-1.150830237229428,1.2577737643912663,-1.143560380224824,-0.3609028441736106,1.1774130447947575,-1.7980660113746856,-0.980227003780152,1.1958177623945003,-0.6414564287549652
