f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.ratio,pca.expl_var.cov_init,disp.diff_median_25,nbc.nn_nb.sd_ratio,ela_distr.kurtosis,ela_meta.quad_w_interact.adj_r2,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.intercept,ela_distr.number_of_peaks,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_02,ic.eps.s,nbc.nn_nb.cor,disp.diff_median_10,disp.ratio_median_10,ela_level.mmce_mda_25,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,ela_distr.skewness,ela_level.lda_mda_50,ela_level.mmce_mda_50,ela_meta.lin_simple.adj_r2,disp.diff_mean_02,nbc.dist_ratio.coeff_var,ela_meta.lin_w_interact.adj_r2,pca.expl_var_PC1.cov_init,nbc.nb_fitness.cor,ela_level.mmce_mda_10
1,1,0.7559986798803504,0.0464224193944855,1.4193115933315017,-0.7091399635591878,-0.1314987965416494,0.2923671847614441,-0.1958706957442444,0.7034974323130885,1.112632917420946,0.5800274713979042,-0.2630182709598549,1.7382944203381878,0.060640653727999,1.3562752659059862,0.3104143531642811,-0.0787804738948264,-0.0782513559173186,-1.4122268648175516,0.8459174821762707,-0.6931811302432564,-0.2139737899229546,0.0339120243851693,-0.806540656445988,1.010265981583812,0.0520385693214212,-0.4223455239423563,1.1583109041481792,0.6997709232301093,0.3365468143658952,-0.3735564492701613
2,1,4.610042219200046,5.240163578559493,1.592106277360385,-0.7091399635591878,-1.5404244606452304,1.7376606353958728,-0.198148290670056,0.7034974323130885,0.701596553023398,5.014633971621558,-0.8398902770146629,-0.1929633704501539,-1.5600269317183155,1.514744304842687,1.6411904485894853,-1.5731410998659874,-1.5736060202534432,-0.2781356667922668,4.674791746976231,-0.3569071969688289,-0.263986570357173,-0.3327556369685323,-0.3527529525301134,0.9220269954075568,-1.5461762906853198,-1.4423964092534305,0.4339413958014363,0.6997709232301093,-0.060112065973273,-0.4030924181461121
3,1,0.1002414298311675,0.0151284810113947,1.3468358339813271,-0.7091399635591878,1.0330088030749534,-0.8256516589079453,-0.1949091810691131,0.7034974323130885,-0.942548904566737,-0.0104146519113739,1.2112101889579874,-0.5973185941282229,1.1296627485118236,1.323495156404957,-0.935789055822686,1.0816797832304583,1.0816659802907294,-1.0369517890861528,-0.274491255831299,-0.7390207611058476,-0.1618574676507304,2.3481207076770523,-0.9519420816947416,-1.2011780314698568,1.15975093465277,0.5112603710881183,0.5318424191542566,0.6997709232301093,0.4935271277104556,0.7094290761813512
4,1,-0.3870860135735345,-0.2642918453134926,-0.0634204899089308,-0.7091399635591878,-0.8636111116277433,0.965211252497022,-0.1946644765569671,0.6499051332251702,-0.1204761757718121,-0.3302933804050768,-0.3271151605215003,-0.4530344003439242,-1.0430682408474818,-0.0589738913357981,0.788001288344915,-0.9384691756873784,-0.938178752879708,-0.8575802220515415,-0.3627497934198163,-0.4212926326842241,-0.1901356933505687,-0.283948733483076,-0.3943445230082449,0.4398118746716167,-1.0361735696173415,-0.9805331754685132,0.3232919921121891,0.6997709232301093,0.1049185198504955,-1.4860779435976248
5,1,-0.3870909419651591,-0.2642996949620762,-1.3789543653515153,1.4275086135387989,1.39564934197045,-1.2159418734252594,-0.197568781239618,-1.972241769779711,-0.4630064794362739,-0.3302973652088667,-0.8398902770146629,-0.4967053477525401,1.2659024681754385,-1.4141216321568777,-1.425813150773649,1.3128210850382591,1.312730441153905,1.67263344934452,-0.3627538256995574,2.216410706569298,-0.4254380060053931,-0.4824397392017064,2.117380562451604,-1.2407397256852437,1.2581306500729306,1.7437189468029513,-1.790324091358045,-1.648925550924001,-2.0745097931569654,0.7094290761813512
6,1,-0.3870909411414893,-0.2642996947178551,-1.1169501796100083,1.4275086135387989,0.50951967036767,-0.7097842514731217,-0.1985778034016261,-0.847872661982562,-0.463006479436407,-0.3302973559435599,-0.8398902770146629,-0.440665087078538,0.4718672922218551,-1.168229869879796,-0.5154130555855655,0.4981041850543213,0.4974404968582664,1.6445291485188205,-0.362753825553631,1.030878879374958,-0.3459879053891699,-0.4539330522102011,1.231108154133044,-0.935002577301814,0.4787788679785946,0.7483666301434769,-1.2199157916896937,-1.6489255509240013,-1.3251026096379463,0.7094290761813512
7,1,-0.3870908758572842,-0.2642994584930923,-0.6041347605890652,0.3590374359084704,-1.1559960810396137,1.2416668211134527,-0.1989492628033274,0.7034974323130885,-0.3259943579704245,-0.3302972660935802,-0.8398902770146629,-0.5765841027145256,-1.3740555352449757,-0.6491250384059567,0.8775488386912838,-1.2419900423453103,-1.2407944246351736,-0.8807249403785881,-0.3627537485189211,-0.5854055095892257,-0.2865306513965583,-0.3705086006609862,-0.5806612330362978,1.6346844271492542,-1.4040953681870398,-1.3263131365909109,0.910207809908478,0.2053155316316673,0.0935749540843389,-1.594376496142776
8,1,-0.387090926924814,-0.2642996451679701,-0.7824980776836554,1.4275086135387989,-1.311804383638945,0.2151222464715591,-0.19850910184194,0.277164678970297,0.0165359456941702,-0.3302973158554172,-0.8398902770146629,-0.7014337313732839,-1.0702326021301052,-0.834915384262333,-0.3064687714440383,-1.2390622714891246,-1.2388251252528173,0.251713063480479,-0.3627538187698564,-0.0514262981669817,-0.3136007204139268,-0.4718977040011442,0.1017110370845927,1.0201108271489314,-1.0800727907701029,-0.4791522318410359,0.2487629993761522,-1.5420270978415849,-0.5138546966195543,-0.0781967605106585
9,1,-0.3870909242796954,-0.264299631054881,-0.7657921784865349,1.6945529634057128,-1.3168486814421891,0.5017416227577117,-0.1977508250147626,0.4065346179156958,0.7701026137563322,-0.3302973045153702,-0.8398902770146629,-0.7082607269489519,-1.0447398938494905,-0.8130528799240112,0.273102873853294,-1.2315385211175318,-1.2316043608508438,0.2649386168102199,-0.3627538174249919,-0.1193109423451701,-0.2834090689022583,-0.3445774336501948,-0.0511295308513054,0.2835705293140739,-1.0445201124610328,-0.6396929280764351,0.1577264885121778,-1.506928105131628,-0.4640893758389946,0.1318367959405444
10,1,-0.3870906592789933,-0.264299648064543,-0.4257436003291466,-0.7091399635591878,1.3588528121650536,-1.126500365931708,-0.1986900193620078,-1.7932889306806523,-0.3945004187033587,-0.3302969445620237,-0.8398902770146629,-0.5242920899080608,1.192767649337608,-0.4851971968879023,-1.363627351922004,1.2660310651095934,1.266123689104799,1.6742866435107375,-0.3627538051797878,1.7884575115696884,-0.3511149053208691,-0.4847113158306592,1.7437327138472505,-1.1202315234899862,1.2099849422102218,1.7684175154545512,-1.6796746876687974,0.4902446169387317,-1.7510352080833258,0.7094290761813512
