f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.s,ela_meta.lin_w_interact.adj_r2,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.ratio,disp.diff_median_25,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,nbc.nn_nb.mean_ratio,ela_level.mmce_qda_25,pca.expl_var_PC1.cor_x,nbc.nn_nb.sd_ratio,pca.expl_var.cov_init,ela_distr.skewness,ela_distr.kurtosis,ela_meta.quad_simple.adj_r2,ela_level.mmce_qda_10,disp.diff_mean_25,disp.ratio_mean_25,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,nbc.dist_ratio.coeff_var,disp.ratio_median_10,ic.h.max,disp.ratio_median_02,ela_level.lda_qda_10,ela_level.mmce_mda_25,ic.m0,ela_meta.quad_simple.cond
1,1,0.6997023938838479,1.3163980460635574,1.1881192189076548,0.7559983064087284,0.0464140285028888,1.3953753553624308,-0.1295162928031667,0.8458811372152123,0.5800180901232954,0.4694869658708813,-1.072528951360301,1.1677998240777658,0.2968949942625464,-0.7091399635591878,-0.2258169857990953,-0.1973576330851407,0.6973646004146035,-1.5455923305592003,-0.1065530168227777,-0.1061047796224432,0.306521459876312,1.7149972161362788,-0.4266357655516726,-0.0849984886717544,0.1107451290394732,0.0485161390976772,2.898727402683778,-1.447635372829742,-0.9039973624956014,0.527634199600581
2,1,0.6997023938838479,1.4738386221391822,0.4622380654518925,4.610042633378995,5.240166843643071,1.5679792178161438,-1.5375985504632743,4.674828019499337,5.014641577526895,1.3316582805044754,-0.4369992744299404,0.7646308371937742,1.7410275459727225,-0.7091399635591878,-0.2758305070727357,-0.1996358008791206,1.3150899292918947,-0.4511143790111316,-1.554782933472928,-1.5547171779740483,-0.0821759428131495,-0.1944502915732717,-1.4477821612376045,-1.5815790213565672,0.5363903409983863,-1.571021419585282,0.1447343080331604,-0.2952040760280258,-0.6414786619312696,-0.3499778964374775
3,1,0.6997023938838479,1.283830679224628,0.5603433928255392,0.1002409223424886,0.0151200198888493,1.3229796328411587,1.0342942131072077,-0.2745488501879145,-0.0104262949304227,-0.2904396736298876,-0.8774033168896959,-0.8480451103421367,-0.8202258263290105,-0.7091399635591878,-0.1736998915276794,-0.1963958765666752,-0.578115157068033,-0.9138802242965546,1.0593148494177047,1.0596544307665072,0.4603509670292449,-0.594239008420988,0.5079727999913833,1.0758697296136122,-0.7379760078846355,1.1167928474811244,1.3021866696502529,-1.0662914889026436,-0.2700310399709494,0.916184957923692
4,1,0.6997023938838479,-0.0896661548791374,0.3513577538793406,-0.3870866206572841,-0.2643009335208864,-0.0857193090345363,-0.861190353225,-0.3628090616660694,-0.3303062487498723,0.9337330583658932,-0.7716123102490071,-0.0417071365743211,0.9691986153821922,-0.7091399635591878,-0.2019785361129346,-0.1961511105056452,0.7028160342297083,-1.0681355060583624,-0.8413498540035843,-0.8415230683253501,0.0795422570142927,-0.451584260029863,-0.9854228973313836,-0.9456308406546802,-0.1675942952797348,-1.0544231833576332,0.3708523516510706,-0.8840191919595151,-0.7395146911876603,-0.4154180601077491
5,1,-1.648918523372931,-1.4360189971379669,-1.7666691135597206,-0.387091549049916,-0.2643087831870864,-1.3998004068774357,1.3967176693169665,-0.3628130940222857,-0.3303102335689264,-1.8268731702205312,1.829279178939477,-0.3776812923108223,-1.2102025491536992,1.4275086135387989,-0.4372843343014122,-0.1990561456885643,-1.539125061045059,1.615416697289911,1.3865854483723914,1.3869559768375768,-2.0561419961392446,-0.4947620181139651,1.7417550068855234,1.307123613505207,1.199266385377054,1.252937572630852,-1.116993041117003,1.6871121487912524,2.015297730916884,-0.484021603345355
6,1,-1.6489185233729315,-1.1917230705335398,-1.1950704615830483,-0.387091548226246,-0.2643087829428648,-1.138085559038338,0.5111184497414464,-0.3628130938763566,-0.3303102243035841,-0.7381055485357936,1.7313245431610618,-0.3776812923109529,-0.704451486740435,1.4275086135387989,-0.3578330567906813,-0.2000654216431461,-1.0067536101871215,1.6350046695771243,0.5308748462419522,0.5303148932935358,-1.3217764235303726,-0.4393546371906307,0.7453337055261277,0.4911653072740675,1.1204749175697717,0.4594560456845859,-1.1253803770707502,1.658553355721822,0.9706693747293552,-0.5630772159778978
7,1,0.205262908774673,-0.6759872254797498,0.9394983725751084,-0.3870914829420276,-0.2643085467175718,-0.6258364551594325,-1.1534002961088854,-0.3628130168401857,-0.3303101344532602,1.22665023577346,-0.8374378254921022,-0.2432916300161585,1.2454321273830136,0.3590374359084704,-0.2983749220576409,-0.200436974475538,1.4683530971222665,-1.0926204714173793,-1.1630861312517558,-1.1627634746543678,0.0684263718820299,-0.5737386779408464,-1.331574217902885,-1.248494592001342,0.458455302189007,-1.3851796935373395,0.2595501366972924,-0.9075381980166928,-0.8931044703560037,-0.6473495482915151
8,1,-1.5420235091833363,-0.8605717934003106,0.276673230870354,-0.3870915340095678,-0.2643087333928686,-0.8040028010953794,-1.3091153292549684,-0.3628130870924533,-0.3303101842152879,0.4694869658708813,0.1413248952058222,0.0926825257204733,0.2197121012034934,1.4275086135387989,-0.3254453920639988,-0.1999967028034176,1.078497701716351,0.4817628011674196,-1.3323175550195132,-1.332475387431961,-0.5268113481036777,-0.6971783416760623,-0.483503482502705,-1.2465236782181752,1.0570991717247815,-1.081568604016322,-0.6680438828360293,0.243213169780939,0.6373468752576318,-0.6648530850965586
9,1,-1.5069256455979887,-0.8388511765493676,0.1854467411422722,-0.3870915313644487,-0.2643087192797478,-0.7873153506486781,-1.3141566074572653,-0.3628130857475633,-0.3303101728751974,0.6380525113601422,0.1099794117567311,0.8318256683411155,0.5061012570278743,1.6945529634057128,-0.2952532933233328,-0.1992382352519582,0.6891095720660163,0.5184902492059453,-1.3259698315636248,-1.3254040577328932,-0.47804488429762,-0.7039282379091188,-0.6442165956251883,-1.2392969943465637,0.9449069729991922,-1.056093670782784,-0.564675634324985,0.256652601813612,0.3279887384930254,-0.6545497454633762
10,1,0.49018282799413,-0.513123274410132,-1.6557888019871685,-0.3870912663636924,-0.264308736289448,-0.4476422968060747,1.3599431665291235,-0.362813073502127,-0.3303098129204721,-1.879377192586039,1.830846453111932,-0.3104864611634997,-1.1208328835063748,-0.7091399635591878,-0.3629601326686412,-0.2001776658284552,-1.374024494073317,1.615416697289911,1.35701590242461,1.356650278127295,-1.7391599813998675,-0.5220372147790269,1.7664801012120592,1.260478653970255,1.2515085542492743,1.1798537477805378,-1.116993041117003,1.6887920777953362,2.0109405740610447,-0.5943762920621594
