f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,disp.diff_median_02,nbc.nb_fitness.cor,disp.ratio_median_02,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cor_x,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.cond,ela_level.lda_qda_10,nbc.dist_ratio.coeff_var,pca.expl_var.cov_init,ela_level.qda_mda_25,nbc.nn_nb.mean_ratio,disp.ratio_median_10,disp.diff_median_05,ic.h.max,ela_level.mmce_mda_50,ela_distr.number_of_peaks,ela_level.lda_mda_50,ela_distr.kurtosis,ela_level.mmce_lda_25,ela_level.lda_qda_25
1,1,0.04641401817122,0.7559982885549299,1.1694269403672444,0.5800180798422361,1.3926774764133911,0.6102243302768824,0.6896971470282732,0.8458810899733483,-0.6569812968846634,0.087924519912281,0.2412518226820622,0.0883302548850406,1.4057393967090308,1.1726568204872327,0.2629944450137018,0.1659401357666267,2.907738422246096,-0.3768775166626579,-0.7091399635591877,0.8885546311476857,0.419625235225922,-0.0416396037118788,0.0385858127658403,0.2065650861567894,-0.76469553422439,-0.3439272437304981,0.0245741104523386,-0.1974880596839961,-0.6398331381166696,0.9922176667482678
2,1,5.240166847670388,4.610042653179953,0.4074486008624992,5.014641585874502,1.5656376970527124,1.2349514284972178,0.6896971470282732,4.67482806694433,-0.2988930184845014,-1.5599958117068509,-0.1695374903844169,-1.5598856277898103,-0.2724162402719562,0.7686126882797503,1.7535613668766776,-0.3772093107705658,0.0955164583736968,-1.4470202423783198,-0.7091399635591877,-0.5563715457943439,1.3277259595320938,-1.5681631888473642,-1.5552102817118398,0.6278502972474651,-0.2852918678539397,-0.7595059965715167,-0.3433147295436867,-0.1997662842146068,-0.4764936780899287,-0.2160690361075086
3,1,0.015120009470663,0.1002408980818139,0.5104325867296794,-0.010426307691781,1.3201322855780462,-0.6797126861947076,0.6896971470282732,-0.2745489251371344,-0.7057945793720944,1.175213231763484,0.4038243460266378,1.1755237123069768,-0.6237784463920752,-0.8475638405501237,-0.8900460711953514,0.4064121282192607,1.277441336761422,0.6025751475516766,-0.7091399635591877,0.143964573997199,-0.3807840570311254,1.1424548541170954,1.137533587259019,-0.6334623669435299,-0.9183047566828808,0.7181073468632162,2.346490215248159,-0.1965262792134649,1.03691699783685,1.8154026875476967
4,1,-0.2643009447115779,-0.3870866496792429,0.2910543463849018,-0.3303062628549607,-0.0914750581830901,0.6157375547947119,0.6896971470282732,-0.3628091387978953,-0.3674551862531069,-1.0341961209531578,0.0013720854393675,-1.0341396126096165,-0.4984035045892311,-0.0394755761353269,0.9569151920413318,-0.4177098791187827,0.3264154137579028,-0.9624761994998,-0.7091399635591877,-0.1932082820709455,0.9086025483138602,-0.9194911825211352,-0.9650620293395564,-0.0689232309548186,-0.3292312500920659,-0.3901026607128335,-0.2943452757315548,-0.1962815070566585,-1.051206592998832,-0.0831066770603405
5,1,-0.2643087943777997,-0.3870915780719229,-1.932299418614052,-0.3303102476740316,-1.4082692097729452,-1.651615408337791,-1.6491050364604272,-0.3628131711542112,2.4413579693976954,1.314067032632397,-2.2556953948410308,1.3140792506648935,-0.5363511296632267,-0.3761790196414035,-1.2925620332174208,-0.4601682462130989,-1.1928881387876966,1.8955563100991712,1.4275086135387989,0.8207688382089863,-1.999066117012645,1.3783355836902689,1.366325314565267,1.283936320153264,2.324278760190873,-0.7595059965715167,-0.493497351411965,-0.1991866145880275,1.03691699783685,-1.022482885006101
6,1,-0.264308794133578,-0.3870915772482529,-1.3322758615581944,-0.3303102384086893,-1.146014025078132,-1.1132096539966143,-1.6491050364604274,-0.3628131710082821,1.1789197933105475,0.5067600455767768,-1.4795916004128489,0.506546971891759,-0.4876552591292512,-0.3761790196415343,-0.7705491449700537,-0.509095343322255,-1.2014528118194918,0.8513250305267457,1.4275086135387989,0.6732557136791727,-0.8522978946516391,0.5460518730940133,0.5347331899931156,1.2059519350016712,1.387976964693891,-0.7595059965715167,-0.4648957235216934,-0.2001959156781227,1.0500244853698597,-0.9865900360516574
7,1,-0.2643085579082844,-0.3870915119640339,0.9084424820260434,-0.3303101485583649,-0.632707330953895,1.389951797798481,0.1973247344010992,-0.3628130939721093,-0.54221418996765,-1.370588824632084,-0.0103755794176992,-1.370753067761365,-0.6057613262479924,-0.2414976422389093,1.2420306651402977,-0.561251040424856,0.2127598878494868,-1.3252364455051089,0.3590374359084706,-0.2887405912902536,1.2171239482383922,-1.2284145243769102,-1.294812365566835,0.5507135684562138,-0.5260653932888752,-0.7595059965715167,-0.3811934286576267,-0.2005674777638524,-1.5220678759154245,-0.3750140061677164
8,1,-0.2643087445835817,-0.3870915630315745,0.2126558529701536,-0.3303101983203929,-0.8112415193869421,0.995677484423418,-1.5426569116252404,-0.3628131642243787,0.026404657939371,-1.0618205200406017,-0.6394440846671056,-1.0617657168834351,-0.7142487115717057,0.095205801267298,0.1833298275301673,-0.5720838860191929,-0.7344466539371503,-0.4364738427921014,1.4275086135387989,-0.1313932584584528,0.419625235225922,-1.2264041772498664,-1.1443886837704642,1.1432253643362582,0.1948262600163175,-0.7595059965715167,-0.4829202061932843,-0.2001271951269859,-0.522874018591349,-0.7373729626918674
9,1,-0.2643087304704608,-0.3870915603864554,0.1168927809701215,-0.3303101869803023,-0.7945196160057638,0.6018757331498833,-1.5077057795008284,-0.3628131628794886,-0.0458837145992674,-1.036431727935562,-0.5879059420683593,-1.0358396805649293,-0.720180991127339,0.8359533769810067,0.4789274871401246,-0.5657072040608291,-0.6288928457615136,-0.604898242723138,1.6945529634057133,-0.2592379663842911,0.5971705691447573,-1.2190329044507056,-1.132005599276642,1.0321823811312705,0.0333579610599512,-0.7595059965715167,-0.355175898461145,-0.199368708686271,-0.0520127356747561,-0.5108350876979822
10,1,-0.2643087474801611,-0.3870912953856965,-1.8159051641364543,-0.3303098270255755,-0.4541452726818792,-1.4846434657978125,0.4810535065897676,-0.362813150634052,1.9856431260226712,1.2399704767144697,-1.9206974679491784,1.2397012776199992,-0.5603224746980758,-0.3088383309401657,-1.2003187919206963,-0.5284661746143923,-1.1928881387876966,1.921467756242408,-0.7091399635591877,0.8207688382089863,-2.0543671226594955,1.330757368350226,1.2973155260858598,1.335643358134212,1.929538781547544,-0.7595059965715167,-0.4957764934772953,-0.2003081626588173,1.03691699783685,-1.022482885006101
