f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.ratio,pca.expl_var.cov_init,ela_meta.lin_w_interact.adj_r2,ic.eps.max,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ic.eps.s,disp.ratio_median_10,pca.expl_var_PC1.cor_x,nbc.nb_fitness.cor,ela_level.mmce_qda_50,disp.ratio_mean_25,disp.diff_mean_05,disp.diff_mean_25,disp.ratio_median_25,disp.ratio_median_05,disp.ratio_mean_10,ela_level.mmce_mda_50,ela_distr.skewness,disp.ratio_median_02,ela_level.lda_qda_10,ela_level.mmce_qda_25,ela_level.lda_qda_50,ela_level.mmce_qda_10,disp.ratio_mean_05,ela_level.lda_mda_50,ela_level.qda_mda_50,disp.diff_median_02
1,1,0.5804714553077299,1.4570587359610307,-0.7091399635591878,1.2082727975418026,0.7563847774767509,0.6997709232301093,0.0537727797001456,0.846790750844863,1.3799714823058085,-0.0593155993136747,1.2198804991063217,0.3263686590015081,-0.6987610054507275,-0.0752612814210935,0.0286576331243667,-0.0757253721910815,-0.0986356882702523,0.0187298866025028,-0.0442800099418293,-0.8011659871346377,-0.2195196932232643,0.0674210900467189,3.057727777133402,-1.0379873769870682,0.0560482919303031,-1.550813702608142,0.0284435650488524,0.0255608551289839,0.3601313714372253,0.0670082621687813
2,1,5.014299135365776,1.632102075111182,-0.7091399635591878,0.4769893266448644,4.60963810989333,0.6997709232301093,5.241639082996169,4.674051320696284,1.5399203473958905,-1.5623869924321954,0.8061198619825264,-0.0670257107980098,-0.3618620475954894,-1.5323449169785732,-1.5608638133675063,-1.5324312274892151,-1.514540770248325,-1.5508853299159409,-1.5739035619866042,-0.3483138130902261,-0.2695066078785294,-1.556895668486712,0.1919310502830146,-0.4119956564024514,-0.3426348412343071,-0.4541958743892142,-1.5607476050802478,-0.3421517893745801,-0.2899945093957062,-1.557003989997142
3,1,-0.0098669726156702,1.3836398168814557,-0.7091399635591878,0.5758247957484895,0.100761979438935,0.6997709232301093,0.0225142391876723,-0.2731457862504327,1.346885263398956,1.1065874523283037,-0.8489226865125966,0.4820570212192142,-0.7446858373748027,1.0973150891739794,1.1193667242708478,1.0969658750556206,1.0719140004408616,1.100335552871403,1.1246577819822317,-0.9462676524394796,-0.1674303246468765,1.1388502463975478,1.3963724106664277,-0.845790165611519,2.498620753123312,-0.917866499743524,1.1196636033653902,2.346364908927164,1.4769538237185444,1.1385225555528156
4,1,-0.3296895229559591,-0.0449688083127386,-0.7091399635591878,0.3652837964559596,-0.3864655456576504,0.6997709232301093,-0.2565900232261119,-0.3613671269120147,-0.0484936490498445,-0.9236806234511912,-0.0214014122651786,0.0966466699949632,-0.4263671550308316,-0.8149801703233565,-0.9532494011647532,-0.8148226956683479,-0.8347018680711256,-0.9698965650332776,-0.9183506111102716,-0.3898196382820759,-0.1956939253182962,-1.0387729685625613,0.4272287896058611,-0.741586858239234,-0.2284424356317757,-1.0724233748616272,-0.9532859918543511,-0.2932057888344477,-0.321832596667452,-1.0388326175194065
5,1,-0.3296935070599248,-1.3776223191355477,1.4275086135387989,-1.7685063311702145,-0.3864704730387912,-1.648925550924001,-0.2565978639956326,-0.3613711574923347,-1.416296120927654,1.3388443137759412,-0.3662019432015119,-2.0648449042909496,2.216238822401827,1.4265306386304764,1.3281136728169922,1.4261518642989193,1.4368801479254585,1.3256919544398125,1.3379099467251343,2.1167272684257408,-0.4308745435271509,1.2753967299668871,-1.12101854076557,1.8202707504171631,-0.6612904511229971,1.6163755954469627,1.3281166352869287,-0.4922624832631472,-0.2174089112535371,1.2753618611576936
6,1,-0.3296934977962451,-1.1122085548102296,1.4275086135387989,-1.1926535979955044,-0.3864704722152902,-1.6489255509240013,-0.2565978637516878,-0.3613711573464699,-1.168108155788738,0.5193470924180831,-0.3662019432016458,-1.321605356920643,1.028503474624983,0.5648800647443283,0.5143577272971346,0.5654331136136821,0.5464445331941248,0.5067394368520454,0.5283415435344841,1.232282001532743,-0.3514655331827047,0.4795736662192037,-1.1297463767103777,1.7237862065539362,-0.5221861521573119,1.6360018653032296,0.5143075763205189,-0.4636745537441319,-0.5048688432461712,0.4797673089930807
7,1,-0.3296934079620451,-0.5927196375579755,0.3590374359084704,0.9578016087282756,-0.3864704069444706,0.2053155316316673,-0.2565976277941286,-0.3613710803442266,-0.6441557849399149,-1.227857933472102,-0.2282817308269135,0.085396462002542,-0.5907850647437418,-1.1380991355306642,-1.3142593920236465,-1.1384419729260025,-1.129128339991477,-1.2950611631005189,-1.2408616009992297,-0.5757522373122331,-0.2920390294938273,-1.3705055298721218,0.3114080477436882,-0.8064244717153223,-0.4175252535806829,-1.096956212181961,-1.3149204184455046,-0.3800123469867441,-0.2918288024895518,-1.370344925385063
8,1,-0.3296934577151429,-0.7734040769063271,1.4275086135387989,0.2900434393420146,-0.3864704580015298,-1.5420270978415849,-0.2565978142578507,-0.3613711505655543,-0.8316810906009874,-1.2258784715847644,0.1165188001095536,-0.5170340304948755,-0.0558133585136758,-1.3088034945081088,-1.1550548088175785,-1.308663843824202,-1.2855424031991618,-1.1463994809469984,-1.2369124868373242,0.1052132524207198,-0.3190950983213368,-1.0659984944276144,-0.6538434302604096,0.1576490905660379,-0.5438796145766547,0.4805052275155054,-1.154895868687556,-0.4816904038282252,-0.5714274783657057,-1.0660562409652383
9,1,-0.3296934463770874,-0.7564807763117266,1.6945529634057128,0.1981380031304637,-0.3864704553569535,-1.506928105131628,-0.2565978001607255,-0.3613711492212566,-0.8096144283658591,-1.2186204446645266,0.8750799681698351,-0.4676782793023162,-0.1238241783096345,-1.3016908128840472,-1.1401972934245448,-1.3022789695582468,-1.2906539738922227,-1.1343174361076651,-1.2211160301897022,-0.0473122190159971,-0.2889190614301204,-1.040448385538873,-0.5462787494271087,0.126774036529807,-0.3137927485455378,0.5173044834960062,-1.140156765420377,-0.3540072775421179,-0.409747644236758,-1.0410357902461391
10,1,-0.3296930864869571,-0.4120069927086329,-0.7091399635591878,-1.656800800981309,-0.3864701904105854,0.4902446169387317,-0.2565978171511472,-0.3613711369812133,-0.4786971415139709,1.2919970491089467,-0.2972418370142222,-1.744032521539313,1.7874902006984383,1.3960477173845074,1.2525026114013469,1.3964092590499724,1.4000768389354186,1.2579274420800808,1.2898623910886158,1.743849733165625,-0.3565898815152371,1.2020972372532843,-1.12101854076557,1.8218145031189743,-0.6556581969713275,1.6163755954469627,1.2528419293152624,-0.4945405337635402,-0.2624801129880248,1.2023403003788542
