f_id,i_id,ic.eps.ratio,ic.eps.s,disp.diff_median_25,ela_meta.lin_simple.coef.min,pca.expl_var.cov_init,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.skewness,ic.eps.max,ela_meta.lin_simple.intercept,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ela_level.qda_mda_25,ela_meta.lin_w_interact.adj_r2,disp.ratio_median_10,disp.diff_median_10,ela_level.lda_mda_10,ela_level.lda_qda_25,disp.diff_mean_02,disp.diff_median_02,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,disp.ratio_median_02,nbc.dist_ratio.coeff_var,nbc.nn_nb.cor,ela_level.lda_mda_50,ela_level.mmce_qda_10,pca.expl_var_PC1.cor_init,ela_meta.lin_simple.coef.max,ela_meta.quad_simple.cond
1,1,1.394006141049445,1.3140107630177835,-0.1511532645550319,0.0464140385259931,-0.7091399635591878,0.6993468399679201,1.409063781992125,-0.2273514556674744,0.7559982938912223,0.5800180845238169,0.4935220013216722,2.992890912778306,0.8590114131618416,1.175404148482632,-0.0990711822819873,-0.0996034437944795,3.1235391246625768,1.0112257964130564,0.0279252234919472,0.0355443952501596,0.2920080412006564,0.6844754003570486,0.0359442080878565,-0.4500487811576782,0.3561238534611962,0.0325767330112437,-1.5277812826689596,1.0424337767246703,0.8458811043823414,0.1645911988194277
2,1,1.566749564563339,1.4716590968705825,-1.575863839969197,5.24016683973605,-0.7091399635591878,0.6993468399679201,-0.2659825488008064,-0.2773797252503877,4.610042647261666,5.014641582073334,1.3660087281599775,0.1765183963161906,-0.5708485890521353,0.4518120619848473,-1.6043242742582275,-1.603858737233029,0.8809258093332771,-0.1765844271601659,-1.575340766893301,-1.5902008612894007,-0.0951193535017663,1.297048767435076,-1.5901046776629306,-1.4828585630939737,1.692665117721102,-0.3342047911455824,-0.4399734848419928,0.991013939120108,4.674828052473299,-0.3789670902168006
3,1,1.3215518820409593,1.2814004204485088,1.0264009063951582,0.015120029995887,-0.7091399635591878,0.6993468399679201,-0.6166937469585748,-0.1752189927716317,0.1002409053330488,-0.0104263018807716,-0.2754967482954288,1.3601876751914532,0.1221851601979061,0.5496080141085327,1.0685241704493635,1.068540613448272,-0.7657621023625438,1.8204605428411225,1.1391384945645615,1.10820211532594,0.4452162075542907,-0.5803665822455654,1.1085159073530737,0.4952347480721514,-0.8954783397990151,2.3475040569564136,-0.8999190637889634,-1.292883847815855,-0.2745489022772418,0.4052442006995208
4,1,-0.0882860813781057,-0.0939088730372148,-0.8914678065275053,-0.2643009226644159,-0.7091399635591878,0.6993468399679201,-0.4915511012990586,-0.2035059763457351,-0.3870866410049144,-0.3303062564320704,0.9633225465422977,0.4077581349918808,-0.2114720109555736,0.3412814115879612,-0.9646908269215284,-0.964984435441216,1.6593780336160824,-0.045875342095037,-1.063726191060378,-1.0714765414717666,0.065945641895644,0.6898813680443232,-1.071429465782135,-1.0152182986337142,0.8357797838124147,-0.2853827314534888,-1.053234256771287,0.6032226638523694,-0.3628091152722956,-0.4194981443800752
5,1,-1.4034296962966444,-1.4420383556054992,1.3931042918197016,-0.2643087723305949,1.4275086135387989,-1.6488837029422974,-0.5294284165740912,-0.4388811630235054,-0.38709156939758,-0.3303102412511337,-1.8303128384303653,-1.1137877545298158,0.7919324193778611,-1.770066255963788,1.3011181512990715,1.3012123800445716,-0.7657621023625438,-0.9693322178036196,1.2378291373710344,1.2451874439148087,-2.0611122574102887,-1.5333614574022547,1.245208000379055,1.7431090366586195,-1.38762531000313,-0.4839353753930158,1.613963386222786,-1.3400186989533704,-0.3628131476285811,-0.4619884709747065
6,1,-1.141503235570615,-1.1974200573485472,0.497046858495847,-0.2643087720863732,1.4275086135387989,-1.6488837029422978,-0.4808227703126728,-0.3594064564083439,-0.3870915685739101,-0.3303102319857913,-0.7285187026153195,-1.122365068144854,0.6459574069982134,-1.200270140919278,0.4804314347782252,0.4811009637268243,-0.7657621023625438,-0.9340476344009448,0.456014227470426,0.4487439025651054,-1.3297128991533131,-1.0054300986849831,0.4485362925589175,0.7353067554956001,-0.4732811927711196,-0.4554198361038285,1.633431982157049,-0.9200900251827804,-0.362813147482652,-0.5109523967629311
7,1,-0.6288399461283178,-0.6810036499172036,-1.1871285135657823,-0.2643085358610809,0.3590374359084704,0.2049895377642518,-0.5987100091432345,-0.2999307882775843,-0.3870915032896912,-0.3303101421354672,1.2597443191219777,0.2939348651274561,-0.3060082094490601,0.927567328242642,-1.2693096484320832,-1.2705150164832122,1.3485891227807432,-0.3328358035734258,-1.4328108001007924,-1.403342610387366,0.0548746555157781,1.44903368755731,-1.4035157776734764,-1.3653233094595767,0.925715270753268,-0.3719694784197026,-1.077570001689116,1.3873751873219409,-0.3628130704464797,-0.5631473527945032
8,1,-0.8071503507415958,-0.8658317946874415,-1.3446824158803037,-0.2643087225363771,1.4275086135387989,-1.542006456231059,-0.7069963877837299,-0.3270092409984892,-0.3870915543572317,-0.330310191897495,0.4935220013216722,-0.6546696568383827,-0.1503015295774362,0.2668324062984778,-1.2673273133680234,-1.2675678598652909,0.1044468479764104,-0.6890539694652063,-1.1077641549411077,-1.0987292155965176,-0.5379588086964199,1.0624297698073597,-1.0986840242075615,-0.5075660329362128,-0.2634317232424616,-0.4733900665313018,0.4872183965272972,0.999583912054202,-0.3628131406987487,-0.5739883525491596
9,1,-0.790449407443443,-0.8440825154218384,-1.349783227519215,-0.2643087084232564,1.6945529634057128,-1.5069144264120131,-0.7129176759431393,-0.2968082390172897,-0.3870915517121126,-0.3303101805574045,0.6641043421458285,-0.5489600620152104,-0.2768132069731307,0.1758935993988241,-1.2600587514664707,-1.259994292196092,0.1616714728286299,-0.4663551651927505,-1.072099113008136,-1.0736820652324688,-0.4893893200621678,0.6762892207163184,-1.0731066693775466,-0.6701147879625063,0.3186507339025072,-0.3460302588979447,0.5237220139040409,0.4811005495415349,-0.3628131393538586,-0.5676068706989722
10,1,-0.4505017066095429,-0.517924784412569,1.355895511762703,-0.2643087254329565,-0.7091399635591878,0.4898620992230458,-0.553355347223403,-0.3645350441914605,-0.3870912867113544,-0.3303098206026784,-1.8834450429493652,-1.1137877545298158,0.7919324193778611,-1.6595356055669015,1.2542028881163187,1.254112547557986,-0.7657621023625438,-0.9693322178036196,1.1895312658326738,1.1720879608887504,-1.7454105812876486,-1.3696378645876532,1.1718303430798316,1.7681165374318957,-1.3251701107386489,-0.4862076574239163,1.613963386222786,-1.172904226738544,-0.3628131271084221,-0.5303378089758891
