f_id,i_id,ic.eps.s,ic.eps.ratio,pca.expl_var.cov_init,disp.diff_median_25,disp.diff_mean_02,ela_meta.lin_simple.coef.min,ela_level.qda_mda_25,ic.eps.max,ela_level.lda_mda_50,ela_level.mmce_lda_25,ela_meta.lin_simple.intercept,ela_level.lda_qda_50,disp.ratio_median_02,disp.ratio_mean_02,disp.diff_mean_10,disp.diff_median_05,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.coef.max_by_min,disp.diff_mean_25,nbc.nn_nb.mean_ratio,ela_distr.kurtosis,ela_level.mmce_lda_10,ela_meta.lin_simple.adj_r2,nbc.dist_ratio.coeff_var,nbc.nn_nb.sd_ratio,ela_level.mmce_qda_50,nbc.nb_fitness.cor,disp.diff_median_10,disp.ratio_mean_05,ic.m0
1,1,1.392441960055271,1.4738687650331397,-0.7091399635591878,-0.0782487997108529,0.0804086230846722,0.0504526903678844,0.8421080554243514,0.7581031269032015,0.0269639356641858,-0.7620823184970971,0.5824138589077567,0.0616727698480636,0.0887948803506405,0.0804711917154822,-0.0212557333651152,0.0437253455749706,0.6483608019142079,1.4097648120448196,-0.0552703262839862,0.430009188774584,-0.1969106654921077,0.4266653609710661,1.055909500664719,-0.3885051934603435,0.2753219202394599,-0.7014608624035684,0.3094823576687571,-0.037306738740184,0.0528011522337779,-0.9244608119181078
2,1,1.5532600211119163,1.6501425124181532,-0.7091399635591878,-1.526861427669815,-1.5460273781209954,5.2399065401802645,-0.5892716804419779,4.608373116818235,-0.3405174723157455,-0.592554275867268,5.013378588503608,-0.3358185359746546,-1.5601565453418516,-1.5458012983595633,-1.5841879229048752,-1.5591976646494603,1.2505911390973126,-0.2649351448206862,-1.5439962917784604,1.304722124932939,-0.199188646743052,-0.3447561466118085,0.966363036416068,-1.4239138944115113,1.7365478336030162,-0.3642112199523891,-0.0797509848267445,-1.572241836078855,-1.5686627829537785,-0.6595222538955683
3,1,1.3591759436362167,1.399933772373908,-0.7091399635591878,1.1190609357407195,1.2076808785484912,0.0191845843839445,0.1044986630965396,0.1029879381995324,2.346308549137279,0.9781962919560258,-0.007543383774125,2.496943380519596,1.176473515451567,1.2078370856530245,1.1734614253089488,1.1489662737423436,-0.5951248842160097,-0.6155738212739114,1.1431980556028718,-0.3409717645701246,-0.1959489877250761,0.5068626464128508,-1.1883025062281285,0.5591570074102168,-0.8550216133047821,-0.7474334983672567,0.4635239664607963,1.154662018179294,1.1661813236957874,-0.284650684245419
4,1,-0.0437857529845451,-0.0387167762968868,-0.7091399635591878,-0.8309834341479022,-1.0270190726580408,-0.2600050871313066,-0.2295131372028464,-0.3838623559033588,-0.2916022515249087,-1.1890418332685186,-0.3271594226790608,-0.2219674982904328,-1.0341759074920285,-1.027161509253594,-0.9141505040436624,-0.965669912605822,0.6536754922322636,-0.4904570531969244,-0.8106138793329177,0.9010084620906208,-0.1957042417062064,-1.4484235510249317,0.4770027100985427,-0.9550968796951232,0.9555832104269943,-0.4287834719929896,0.0821901936469376,-0.9203374732453452,-0.94886504158033,-0.7584619643604184
5,1,-1.4190211528230638,-1.380737726417276,1.4275086135387989,1.4919164223274406,1.307797774562737,-0.2600129303001927,0.7749577664058294,-0.3838672794695243,-0.4905337689200916,0.9781962919560258,-0.3271634042104654,-0.6535215535991623,1.315090886461302,1.307789997862859,1.390990906904754,1.379068182963275,-1.532028863141818,-0.5283265360232594,1.4796199405572537,-1.89975507387797,-0.1986090390163563,0.5068626464128508,-1.2284504044553128,1.810171394273734,-1.249614265014772,2.216573244757259,-2.0564387619833293,1.3920792054521278,1.3788675503715986,2.0217438997018324
6,1,-1.1694844817828782,-1.1134583253710335,1.4275086135387989,0.580826032679642,0.5146842654087325,-0.2600129300561732,0.6288276037748476,-0.383867278646661,-0.4619638169537622,0.9918003941423698,-0.3271633949527674,-0.5148330944147241,0.50719823333708,0.5146014370217196,0.5638410459952132,0.5427139239606719,-1.0130113915099843,-0.4797309406650794,0.5999815781022422,-0.7951496352677333,-0.1996182323284739,0.5068626464128508,-0.9181830066350898,0.7998331219170256,-0.7378769198283829,1.0276015604444646,-1.3210606388921968,0.5552413348292976,0.5485319280463371,0.9674863181930544
7,1,-0.6426848429202642,-0.5903178356293021,0.3590374359084704,-1.1316043751291374,-1.4014376028546458,-0.2600126940264082,-0.3241498139543396,-0.3838672134263767,-0.3783542212722761,-1.6777430425779645,-0.3271633051765739,-0.4104850701740632,-1.370939581846967,-1.4016631931985988,-1.2443536895171914,-1.2973085729083305,1.4000098611820768,-0.5975938022201256,-1.1413466894165454,1.198186575016215,-0.1999897547370343,-1.601180285199766,1.6895802445730457,-1.3060828800175524,1.2350863387215705,-0.5933725274660417,0.0710589818228046,-1.2320994555346865,-1.3178434196770017,-0.913467510755348
8,1,-0.8312292007591525,-0.7722723354276261,1.4275086135387989,-1.291801524231284,-1.071693462500367,-0.2600128805471904,-0.1682776404812928,-0.3838672644439054,-0.4799683377496028,-0.6406918682189479,-0.3271633548975458,-0.5364617061807511,-1.0618143403620683,-1.0717756846605588,-1.2394187065865374,-1.146023485895302,1.0199335792936977,-0.7058577888959529,-1.3153102374997192,0.430009188774584,-0.1995495191156448,-0.12707780041268,1.065900221882544,-0.4461671792275997,0.1972254579218578,-0.0578439589119319,-0.5249994577920788,-1.2290921906442562,-1.154569144653147,0.6310913026125691
9,1,-0.8090426236137213,-0.7552300781876956,1.6945529634057128,-1.2969879110529157,-1.0355129980408442,-0.2600128664457513,-0.2949237814281435,-0.3838672618013767,-0.3523655051457778,-0.1519906589095018,-0.3271633435668113,-0.307062664125957,-1.035876734130185,-1.035312175914482,-1.2232519254957983,-1.1335694893386057,0.6403128422897235,-0.711777852623657,-1.3087850161782195,0.6010267820619551,-0.1987911136697247,0.2013491780631972,0.3184462641045468,-0.6091249650915851,0.4870044365213816,-0.1259255724764781,-0.4761657543055584,-1.2213641574585137,-1.139530724585161,0.3188815495901577
10,1,-0.4763270622268072,-0.4083349320689115,-0.7091399635591878,1.4540833988406552,1.2588019139116169,-0.2600128834413722,0.7749577664058294,-0.3838669970601406,-0.4928103868657812,0.9781962919560258,-0.3271629839090644,-0.6479061365643308,1.2406797210419651,1.2588859978975315,1.341898578052366,1.309663208093755,-1.3710696706521328,-0.5522485189497601,1.4492235578184085,-1.953022848836332,-0.1997304673229012,0.5068626464128508,-1.106156576214903,1.8352418228681933,-1.1591867823312323,1.7873783303787028,-1.7390196893209455,1.344018755688196,1.302064190738667,2.0173465792367287
