f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.ratio,pca.expl_var_PC1.cor_x,pca.expl_var.cov_init,ic.eps.max,ela_meta.quad_simple.adj_r2,ela_level.lda_mda_10,ela_meta.lin_simple.coef.max_by_min,disp.diff_median_02,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max,ic.eps.s,disp.ratio_mean_25,ela_meta.lin_simple.intercept,disp.ratio_median_02,disp.ratio_median_10,nbc.nn_nb.sd_ratio,disp.diff_median_10,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_mda_25,nbc.dist_ratio.coeff_var,ela_level.qda_mda_10,disp.diff_mean_02,ela_meta.quad_simple.cond,ela_distr.skewness,ela_level.mmce_mda_50,ela_distr.kurtosis,disp.ratio_median_25,ela_level.mmce_qda_25,ela_meta.lin_w_interact.adj_r2
1,1,0.0464140177262151,1.3911125027529851,1.1504562809115708,-0.655664334537321,0.7559982823266437,0.6142136368526547,3.07559215023773,1.403566258567632,0.0610952014045897,0.6687465402908132,0.845881089579042,1.3110759900738376,-0.091285406572983,0.5800180742114381,0.0615040620880366,-0.0708960015690473,0.3085724906114139,-0.0714432826866659,0.7138872309980657,-1.3517306389165464,-0.431126566935034,-1.7616977591970595,0.0542194273170243,0.1702293372309972,-0.2239028730097326,-0.7967858870524173,-0.1971414602547949,-0.1157962641948401,-1.0321317749596033,1.2129247922413853
2,1,5.240166847843852,1.5647901669322497,0.75009749515434,-0.655664334537321,4.610042660087529,1.2251710017325812,0.8295576979458652,-0.2822415761942377,-1.5596191544052842,0.6687465402908132,4.674828067340336,1.4695022199810377,-1.5385575826096014,5.014641590446385,-1.5595106626705044,-1.5672319937909138,1.7539282797792315,-1.5667779756969913,0.7138872309980657,-0.2393925557081008,-1.4538247036315912,-0.287943299036519,-1.5449077742048396,-0.3718716840705147,-0.2739024102851317,-0.344590288768699,-0.1994195363000069,-1.5217687404299436,-0.4073001864068378,0.4802024799184377
3,1,0.0151200090219317,1.3182663925598452,-0.8513376478745279,-0.655664334537321,0.1002408896184888,-0.6472916231074354,-0.8196422584444218,-0.6352059537904158,1.1304335610301854,0.6687465402908132,-0.2745489257627025,1.2783047358336472,1.073395270655929,-0.0104263146810068,1.1307551363356765,1.0897825314669665,-0.8094945755521582,1.0897733956578886,0.7138872309980657,-0.9836537513242476,0.5049022361431708,-1.449676738148469,1.1625641306418408,0.4102371537427938,-0.1718003509047246,-0.941677174132894,-0.1961797424691987,1.0465419923316532,-0.8402907570192341,0.5792324133754427
4,1,-0.2643009451935826,-0.0991963355548415,-0.0506200763602329,-0.655664334537321,-0.387086659803542,0.6196053433001579,1.6091974616318665,-0.5092593165915664,-1.042500037216155,0.6687465402908132,-0.3628091394416807,-0.1037908499447862,-0.8260233034730234,-0.3303062705801302,-1.0424412416993036,-0.9313877266834656,0.9814455795207636,-0.9316923541877103,0.660062657227163,-0.8077227279596464,-0.9907628354421092,-0.3696039729802701,-1.0346139179041094,-0.4122940753752191,-0.2000710886578656,-0.3860359360033468,-0.1959349862656448,-0.8466989233206681,-0.7362805665696369,0.36827716280593
5,1,-0.2643087948598053,-1.4214525838857937,-0.3842523978244345,1.5174202131795802,-0.3870915881962389,-1.5977724454244162,-0.8196422584444218,-0.5473799784959859,1.266994985820607,-1.661197485941797,-0.3628131717979975,-1.4585725094164492,1.400394004990558,-0.3303102553992103,1.2670240379012472,1.3209986285969468,-1.199801624103805,1.3210653619837234,-1.9734489073242405,1.67395866613733,1.740559306873393,1.3987910269502932,1.261000006157161,-0.4546704863452839,-0.4353110943209567,2.1168768091914814,-0.1988399044539336,1.4089478941482063,1.820829226780084,-1.7697113171038978
6,1,-0.2643087946155836,-1.1581095577938052,-0.3842523978245641,1.5174202131795802,-0.3870915873725689,-1.0712337986368246,-0.8196422584444218,-0.4984620603615216,0.4730160547025578,-1.6611974859417973,-0.3628131716520684,-1.2127471726555186,0.5445454657443616,-0.3303102461338679,0.472818783377981,0.505173649519003,-0.693622170513392,0.5058174061992428,-0.8442066650933049,1.6463934366700652,0.7426238369249369,1.4192061954362312,0.481203330823823,-0.5035031409328747,-0.3558820317332444,1.2337138709637423,-0.1998491397618933,0.5247587051223793,1.7245234948823087,-1.1927255612358727
7,1,-0.2643085583902899,-0.6426736540146089,-0.2507994692386909,0.4307285453607476,-0.3870915220883496,1.3767549772852408,1.297934438107038,-0.6171066776390197,-1.3733391400424797,0.1782389763842377,-0.3628130946158955,-0.6937825728268869,-1.1469665056903495,-0.3303101562835434,-1.3734994320058438,-1.2342019902542636,1.2579130722448468,-1.2354110644362537,0.7138872309980657,-0.830423505167982,-1.3374401699155178,-0.313048438661118,-1.4027457447619642,-0.5555581634432882,-0.2964405217534782,-0.5716989573553056,-0.2002206776307191,-1.1390599869710014,-0.8009980184049417,0.9619607872535166
8,1,-0.2643087450655872,-0.8219484069524704,0.0828328522256403,1.5174202131795802,-0.3870915731558905,0.991170941910945,0.051894207425101,-0.7260887530325535,-1.0696683774038462,-1.555152530830011,-0.362813164868165,-0.879522729040857,-1.3165214049749736,-0.3303102060455714,-1.0696114214593109,-1.2322313985173603,0.2313242205855672,-1.2324813851752026,0.2857067064863952,0.2802930939541538,-0.4880807004556655,0.6850877719081139,-1.07853819894271,-0.5663700987176982,-0.323503422738593,0.1082792224781843,-0.1997804236896822,-1.2943768020352389,0.1612888547176241,0.2928887660506807
9,1,-0.2643087309524664,-0.8051571406766794,0.816823959447221,1.7890184331540973,-0.3870915705107713,0.6060490528035783,0.1092061292169725,-0.7320480831045102,-1.0446987359401223,-1.5203337752814472,-0.3628131635232749,-0.8576661306675074,-1.3094566175047793,-0.3303101947054809,-1.0441132527614585,-1.2250058954820495,0.517955959365683,-1.2249527306077146,0.415637348407178,0.2932649666446312,-0.6490380343183199,0.5402504279200419,-1.0429652253747193,-0.5600057254790204,-0.2933197658401517,-0.0440251071971068,-0.1990219866840252,-1.2994525149458345,0.1304710205103378,0.20080250071587
10,1,-0.2643087479621666,-0.4633709156329544,-0.317525933531572,-0.655664334537321,-0.3870913055100115,-1.4344807644428927,-0.8196422584444218,-0.5714606301226899,1.1941217105851092,0.4608931326434924,-0.3628131512778383,-0.5298990149862665,1.3701163444040214,-0.3303098347507532,1.193873553931999,1.2743612908235706,-1.1103562588107192,1.274244842980482,-1.7937204677251413,1.6755801502236394,1.765321973621494,1.3987910269502932,1.21282681430018,-0.5228365812850188,-0.3610076740584723,1.7445398970428156,-0.1999613794267867,1.372402761191919,1.822370118490448,-1.6577859999913898
