f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.max,ic.eps.ratio,ic.eps.s,disp.diff_mean_10,ela_distr.number_of_peaks,pca.expl_var_PC1.cor_x,ela_level.qda_mda_10,ela_level.lda_mda_10,disp.diff_median_25,ela_meta.lin_w_interact.adj_r2,ela_distr.skewness,ela_level.lda_mda_25,disp.diff_mean_05,ic.h.max,disp.ratio_median_05,disp.ratio_mean_10,ela_meta.quad_w_interact.adj_r2,disp.ratio_mean_25,disp.diff_median_10,ela_meta.quad_simple.cond,ela_level.mmce_qda_10,ela_meta.lin_simple.coef.max,ela_level.lda_qda_25,ela_level.mmce_lda_25,ela_meta.lin_simple.adj_r2,ela_level.mmce_mda_50,ela_level.lda_mda_50,ela_level.mmce_lda_50,ela_distr.kurtosis
2,1,5.068443386994181,4.687333522503028,1.683945835269994,1.5764844214390774,-1.5866318818228975,-0.7394278453849756,0.7814538635797494,-0.3486232509205439,1.1697810788748086,-1.5305206186439424,0.4967191985669989,-0.277541330414272,-0.30733731368653,-1.5705530288326413,0.5716202850402138,-1.5608486151023484,-1.5864618180010188,0.7145145709831386,-1.546767322393399,-1.5752373300732945,-0.3534504424756586,-0.4892553227385008,4.768946278118333,-0.1467466441775678,-0.5291479834632365,0.9738113352692254,-0.3612018184737586,-0.3240972300063021,-0.5820695581839109,-0.1996651416487498
3,1,0.0210574189638656,0.1407954167880485,1.4302096137024765,1.3804636461892623,1.0995812506353373,0.7267880531561727,-0.8469649659157077,-1.5729150430401104,-0.8317239408727684,1.038536411675459,0.5969038141398482,-0.1753770981638938,2.280837193049645,1.098780241758067,-0.6536210491568525,1.0800753404629992,1.0993170916329278,0.7145145709831386,1.064533313747269,1.0798493609656123,0.4275326191818584,-0.9659857092148963,-0.2354589080561898,1.8874122090204104,0.9696340683438452,-1.18903694147013,-0.9632790524978764,2.3548809744172705,1.3672972035174826,-0.1964251993210138
4,1,-0.300243234349089,-0.3505018477437194,-0.0287232529560295,-0.0364977191851338,-0.9339516144969552,-0.3728738707496885,-0.0327555511681203,-0.4346812823780101,2.115968892284537,-0.854858219692199,0.3834888400647974,-0.2036650507794282,-0.0223454851495625,-0.9654090520714624,-0.1052267423186496,-0.9821163197080004,-0.9340140633679912,0.660674114643635,-0.834410966475582,-0.940501860802292,-0.3938146493409465,-1.1248958380403615,-0.3247004169740688,-0.0136084091490055,-1.0983057246557992,0.4825925741516232,-0.4029938612417982,-0.2753248832607725,-0.5187876121656764,-0.1961804318989855
5,1,-0.3002472368661275,-0.3505068162825459,-1.3896642220356163,-1.4254561166666992,1.3114756854872391,-0.7394278453849756,-0.3720094739795256,1.4289402772245603,-0.8317239408727684,1.4005602648145516,-1.7794284363760784,-0.439048300823415,-0.8165183787052297,1.3066784680723942,1.2089433983927191,1.3045564930165017,1.3115591322966835,-1.973614547154524,1.3914503949333448,1.3110138052740026,-0.4361300632339657,1.6396359269232874,-0.3247044941629539,-0.9542271771219402,0.9696340683438452,-1.2293373086393244,2.120837794701284,-0.4736753514412153,1.5309817901456546,-0.1990854832350759
6,1,-0.3002472275596345,-0.3505068154521663,-1.1186166746465438,-1.1734294056312224,0.505752934577892,-0.7394278453849756,-0.3720094739796574,1.4504547850889271,-0.8317239408727684,0.5159374946422314,-1.1957150668447871,-0.3595708716032355,-0.8009925831403237,0.4962310871425637,1.133189229880536,0.488784658911812,0.5058254594064998,-0.8440390878421942,0.5358155651623736,0.4962153336012733,-0.4848924275556743,1.6598149909011242,-0.3247044940154023,-0.9182868508958828,0.9826148589324472,-0.9178916139723232,1.2302935337660632,-0.445188848032322,0.8497286617817478,-0.2000947648016405
7,1,-0.3002471373102536,-0.3505067496361492,-0.5881008693530322,-0.641373015667438,-1.2556009691449848,-0.7394278453849756,-0.2363079048548995,-0.3750802808618593,1.7382133013795142,-1.1467459759503162,0.9840947741584553,-0.3000931659845832,-0.3747241436514888,-1.3249512504319072,0.4966895314031611,-1.306018029336483,-1.254997396470584,0.7145145709831386,-1.1552740276396984,-1.244053116801205,-0.5368725214879948,-1.1501196680126575,-0.3247044161227254,-0.305901858721984,-1.5646156634925128,1.6997750922479429,-0.590208621934399,-0.3618234634771149,-1.0261037715856065,-0.2004663197000166
8,1,-0.300247187293292,-0.3505068011196804,-0.772620591837028,-0.8317987923372671,-1.2507938257112603,-0.7394278453849756,0.1029460179566376,0.6768047117500124,0.2259917136613021,-1.302289319862913,0.307221419862428,-0.3271725463456694,-0.7214127200092082,-1.166393960372471,1.0722565291207349,-1.157933725903752,-1.2510669883101446,0.2862076988559152,-1.3247865882547023,-1.2411250528085778,-0.5476688939425752,0.4717725992059794,-0.3247044871560741,-0.6687401256130114,-0.5750800116998293,1.07372653129239,0.0954526976257975,-0.4631407803152554,-0.5368176638245031,-0.2000260455798075
9,1,-0.3002471759028362,-0.3505067984530144,-0.755338070218171,-0.8093908230244226,-1.235045841035961,-0.7394278453849756,0.849304648142072,0.5241680005501146,0.2955467113517488,-1.307325039621861,0.2140614350976921,-0.2969705097535472,-0.5068153362848521,-1.1515968525864055,0.9643891804783848,-1.14589860583678,-1.235345355668385,0.4161766807427968,-1.3177235648957424,-1.2336005491384785,-0.5413136816534895,0.5096083441644236,-0.3247044857962312,-0.4419025976092592,-0.1087700728631154,0.3234339812299654,-0.0581245652291127,-0.3359106565041541,-0.1875296042378183,-0.1992675738109615
10,1,-0.3002468143494252,-0.3505065312935884,-0.4035523426663382,-0.4733552083104536,1.263655081119371,-0.7394278453849756,-0.3041586894172219,1.4289402772245603,-0.8317239408727684,1.363826309082879,-1.6661980778738763,-0.3646996350789646,-0.8169248131441016,1.2313748257076222,1.2591717057757976,1.2370551674234904,1.2637391663446638,-1.7938330732428147,1.361180294823526,1.2642191006003116,-0.5041980391388471,1.6396359269232874,-0.3247044734146473,-0.9542271771219402,0.9696340683438452,-1.1065790473543586,1.745388955199788,-0.4759453197263236,1.1113411760470784,-0.2002070096110728
11,1,-0.300246796524225,-0.3505065178387396,-0.4035523426663382,-0.4677602097304674,1.0607775957851655,-0.7394278453849756,0.9850062172665476,1.4289402772245603,-0.8317239408727684,1.1137562256443,-1.6720519368806372,-0.3641168210476317,-0.8173312475829735,1.0295560152338012,1.272346343777917,1.0314115941052462,1.0606680780552684,-1.8515672284198388,1.109938463912002,1.0620197274840053,-0.4643061209004129,1.6396359269232874,-0.3247044718252797,-0.9554994010591458,0.9696340683438452,-1.12422206523949,1.7885400887895533,-0.47492223542881,1.1675525135716558,-0.2002080337425457
