f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cor_x,ela_meta.lin_w_interact.adj_r2,pca.expl_var_PC1.cov_init,ela_level.qda_mda_25,ic.eps.s,ela_meta.lin_simple.intercept,nbc.dist_ratio.coeff_var,ela_meta.lin_simple.coef.min,nbc.nn_nb.mean_ratio,ic.eps.max,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,ela_level.qda_mda_10,ela_distr.skewness,ela_distr.kurtosis,disp.ratio_median_02,disp.diff_mean_05,disp.ratio_median_25,ela_meta.lin_simple.coef.max,ela_level.mmce_mda_25,ela_level.mmce_qda_10,disp.diff_mean_25,disp.ratio_median_10,ela_meta.quad_simple.cond,ela_level.lda_mda_50,ela_distr.number_of_peaks,pca.expl_var_PC1.cor_init,ic.h.max,ela_level.mmce_lda_50
1,1,1.4969369349792463,1.1086363631215792,1.2219517280003007,0.6997709232301089,0.8625094101140063,1.4117598652658565,0.5900969244462478,-0.4053912426258271,0.053322657018042,0.4517092674124688,0.7706358733271338,0.6140708396515427,-0.0701458349684942,-1.7754241333724448,-0.2229711169690294,-0.1970764915472005,0.075640228636324,0.0326842743291263,-0.0932273512413279,0.8497010212785514,-1.4087270559816072,-1.507893428680637,-0.0706062265742884,-0.0551412149308525,0.19198346170201,0.2276751348512538,-0.2981401475732112,0.9951310066303638,0.1385253415115943,-0.6811509664560647
2,1,1.6750219215066549,0.7075911922626299,0.4862900251065514,0.6997709232301089,-0.5683818877106712,1.5740069463337314,5.016679702143708,-1.4260704339080543,5.241302367095567,1.3121440993173028,4.615800173385357,1.2252508838863216,-1.533076974888156,-0.2956843317122217,-0.2729656695035644,-0.199354540577261,-1.5558617646314503,-1.5603369887852618,-1.515360493135674,4.673108524175176,-0.2763264639579249,-0.4255666005528892,-1.533165502776708,-1.5622735859536387,-0.3498626116298196,-0.2750929259437462,-0.7120474801083609,0.9427239863053988,0.5498491460452989,-0.5252249908678427
3,1,1.4222422492024422,-0.8965894911731117,0.5857172272801426,0.6997709232301089,0.1251517165339586,1.378198248944376,0.0007231132329743,0.5287897121070589,0.0220634331937279,-0.3066868184010915,0.1163894068124979,-0.6478942088201175,1.1071362678678325,-1.4621359050538911,-0.170873789263514,-0.1961147851663824,1.1518088977386878,1.1257948944489644,1.0824711667868496,-0.2691080277913553,-1.034011408183683,-0.8831947225129416,1.1067971974210284,1.1139118577632934,0.4318784034854384,3.40087619566486,0.7596230355721713,-1.3850211664617793,-0.6816394276894125,1.4558253072737612
4,1,-0.0311906492205748,-0.09449914945538,0.3739157081257149,0.6997709232301089,-0.208746106973987,-0.03723008436064,-0.3185768450453021,-0.9639227129158596,-0.2570469304405298,0.9150203307458404,-0.3698152944839414,0.6194645112471598,-0.8128333313851704,-0.3776766531819753,-0.1991417085445368,-0.195870031865333,-1.0354471267582586,-0.951384727996319,-0.8325312228398307,-0.3572405522549788,-0.8549072329146314,-1.0357374298329591,-0.8126734342651787,-0.9218415687674856,-0.3902659924435125,-0.20816978325863,-0.3441298511882278,0.5474877080212907,-0.1304489773484734,-0.460914507848738
5,1,-1.3870010655027214,-0.4287034585043467,-1.772649531455054,-1.648925550924001,0.7953820351795967,-1.424685746610034,-0.3185808226392168,1.7620074274819533,-0.2570547713814499,-1.840025813718688,-0.3698202115211618,-1.5987214586760394,1.4376730107785465,1.3979003083758743,-0.434358261781206,-0.1987749156049013,1.2889594005249936,1.335001463116645,1.4490426697877707,-0.3572445787775412,1.6715346127008868,1.618021414972424,1.4373059411132274,1.3467962276491665,-0.4326224739548329,-0.4803370577381187,-0.7120474801083609,-1.433060935092997,1.19042183157666,1.6221702996639604
6,1,-1.1169753285992543,-0.4287034585044766,-1.1933491381565011,-1.6489255509240013,0.6493017373948702,-1.1729317071094338,-0.3185808133906741,0.7660420180709664,-0.2570547711374997,-0.7534510580439874,-0.3698202106993897,-1.0719909011383504,0.5725644984690159,1.4183983887433134,-0.3549371179326591,-0.1997841389445842,0.489615979377812,0.5194537855059205,0.5546903473401383,-0.3572445786318231,1.643472207359192,1.6373919174892515,0.5731285998624017,0.5250848998132146,-0.4814321627378005,-0.441249204488405,-0.7120474801083609,-1.005070269105786,1.114281409007042,0.9298445969945974
7,1,-0.5884594920117889,-0.2950217348846969,0.9699809552131368,0.205315531631667,-0.3033504903012388,-0.6414509570526117,-0.3185807237032638,-1.3099156591132244,-0.2570545351747824,1.2073475492776105,-0.3698201455655913,1.376890108174527,-1.137249023501247,-0.3208914305424498,-0.2955015340182119,-0.2001556724074324,-1.3686471212575049,-1.3131895925385402,-1.128252771479234,-0.3572445017071013,-0.87801744907838,-1.0599505579789936,-1.1375930974831423,-1.2268407009191542,-0.533462703976681,-0.3268591064540292,-0.7120474801083609,1.3466947679770014,0.474536336764479,-0.9764762013259228
8,1,-0.7722836015339577,0.0391825741643996,0.2982248830987405,-1.5420270978415849,-0.1475315059975308,-0.8316707091761085,-0.3185807733750646,-0.4622329409296798,-0.2570547216425807,0.4517092674124688,-0.3698201965154678,0.9911655366365412,-1.308638445751248,0.6812984987736654,-0.3225617369473887,-0.1997154236872603,-1.062793085902768,-1.1536344718496876,-1.2853548441939149,-0.3572445718577343,0.2527324132193201,0.496953581811026,-1.308498963886583,-1.2248558909485363,-0.5442695544406253,-0.4658820098752897,-0.7120474801083609,0.9514584896928932,1.0530380256358258,-0.4792376063625613
9,1,-0.7550662325496771,0.7744320540724641,0.2057692042828973,-1.506928105131628,-0.2741344307442936,-0.809286983386345,-0.3185807620555356,-0.6228725230927424,-0.2570547075451473,0.619935308265658,-0.3698201938764432,0.6059032798067511,-1.3014972198241632,0.5358729285992713,-0.2923810892309552,-0.1989569956757239,-1.037129955013306,-1.1387442431016652,-1.2904888988577927,-0.3572445705147898,0.2659382510271764,0.5332732740300778,-1.3020884335443763,-1.2175782543896034,-0.5379081743415501,-0.2913027595865848,-0.7120474801083609,0.4230210347495001,0.9446206848029974,-0.1242724822124148
10,1,-0.4046066868746463,-0.3618625966945311,-1.660275214474217,0.4902446169387313,0.7953820351795967,-0.4736149307188784,-0.3185804027534681,1.7867212093531937,-0.2570547245359403,-1.8924240887385344,-0.3698199294862699,-1.4353702617802084,1.4070677568053351,1.3979003083758743,-0.3600622492531828,-0.1998963772784546,1.2153356643667002,1.2592239208710791,1.4120774762078496,-0.3572445582870692,1.6731853424268688,1.618021414972424,1.407443822383451,1.2998223916778688,-0.5007565106492903,-0.4834518024976358,-0.7120474801083609,-1.262738119036862,1.240906242193473,1.1957091636657595
