f_id,i_id,ela_level.qda_mda_25,ic.eps.s,ic.eps.ratio,ela_level.mmce_qda_25,ela_meta.lin_simple.intercept,ic.eps.max,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cov_init,disp.ratio_mean_10,ela_meta.lin_w_interact.adj_r2,disp.ratio_median_05,ela_level.lda_qda_50,nbc.nn_nb.mean_ratio,ela_meta.lin_simple.adj_r2,ela_level.mmce_lda_25,ela_level.lda_mda_25,ela_distr.skewness,ela_level.mmce_mda_50,ela_level.mmce_mda_10,ela_distr.kurtosis,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cov_init,disp.ratio_median_02,ela_level.lda_mda_10,ela_level.mmce_qda_10,ela_meta.quad_w_interact.adj_r2,ela_level.qda_mda_10,disp.ratio_mean_25,ela_level.qda_mda_50
1,1,0.8333865871416124,1.311201069877768,1.3913523999139823,-1.0301936790870498,0.5800180704316393,0.7559982817010547,-0.1601209558856714,1.404056499130762,-0.6559690833927628,-0.1232600346446139,1.1825903377085745,-0.0536686673106454,0.067458008832661,0.5221208031078794,1.0422057258939923,-0.6784513195519796,1.68780552464146,-0.230134077127351,-0.7883563124961728,-0.4110345246791643,-0.1974589600948674,0.6915641142106872,0.6457243798508657,-0.0011901310374945,3.152105734110126,-1.5166865532782374,0.7145145709831386,-1.7464218415156976,-0.159668749941522,0.3502559701792809
2,1,-0.6123975393872624,1.4705121422670784,1.5656894955812108,-0.4056995005611374,5.0146415935153685,4.610042660781348,-1.6784101651653378,-0.2782633433272319,-0.6559690833927628,-1.7211121783084682,0.4578547024643749,-1.690015380822974,-0.3292363232510772,1.413469676036193,0.9532035382044812,-0.5174977115504041,-0.3642475073986716,-0.2801968180172517,-0.3370818086171639,-0.4402900498881262,-0.1997371718770298,1.3069048204703326,0.6457243798508657,-1.6954245201368283,0.8944660431803808,-0.4323112959760572,0.7145145709831386,-0.2777935155163339,-1.6784209537540202,-0.3029215060315727
3,1,0.088354416932275,1.278246781565753,1.3182297025208478,-0.8384562555938895,-0.010426319372681,0.1002408887684054,1.0621467106000804,-0.630497425923463,-0.6559690833927628,1.0978180235081412,0.5558052091230563,1.073920985675259,2.4978458794402365,-0.263523235530863,-1.1883656308699997,0.9738070144395022,2.094262747724664,-0.1779656930583901,-0.9329524650058412,0.66166806631609,-0.1964971850062503,-0.5789918725669816,0.6457243798508657,1.116357978120859,-0.763255313687963,-0.8908055322850307,0.7145145709831386,-1.435486117684683,1.0625349064041028,1.472320622984866
4,1,-0.2490186412757264,-0.1115680871202532,-0.1046149470997005,-0.7345022308084418,-0.3303062757658233,-0.3870866608204591,-0.9304641839036236,-0.5048113764927983,-0.6559690833927628,-1.0363184024525305,0.3471493719002228,-1.0843261354599771,-0.2156135579488189,1.0020778885308168,0.4668176158103544,-1.083815961926318,-0.0935334070700778,-0.2062721673984676,-0.3784430336373711,-1.5129926408833805,-0.1962524142191355,0.696994503701128,0.6457243798508657,-1.1549995744648642,1.6781341981049598,-1.0436369443880218,0.660674114643635,-0.3591701505773241,-0.9306949733553984,-0.3349090366077995
5,1,0.7655605452310459,-1.47391647570607,-1.4318916303232276,1.8212267192871163,-0.3303102605849095,-0.3870915892131576,1.4052492892684842,-0.5428531654838289,1.5820611845132777,1.3205822638468194,-1.767535022273511,1.308858315024919,-0.6463023433912818,-1.8519526372877368,-1.228269504276247,0.9738070144395022,-0.8479192485447951,-0.4418095361861697,2.1193714334366063,0.66166806631609,-0.1991575054941555,-1.536291962738946,-1.7837379718374091,1.2587820139244643,-0.763255313687963,1.6151444471179834,-1.973614547154524,1.4030738721961549,1.4056839399014824,-0.2299952017549076
6,1,0.6179598322650449,-1.2267181548043655,-1.1675487250334085,1.7249729926339243,-0.3303102513195671,-0.3870915883894876,0.5081429952029515,-0.4940364601438816,1.5820611845132777,0.4749032033018369,-1.1968384141953845,0.4550883932157776,-0.507891955848287,-0.7263389964744116,-0.9198879572611428,0.9867230447112332,-0.8331712755947777,-0.3622800685922195,1.2380074433718655,0.66166806631609,-0.2001668009364216,-1.0059756405010571,-1.7837379718374091,0.4287032776457816,-0.763255313687963,1.634551610559633,-0.8440390878421942,1.4234180309614028,0.5075654818589498,-0.5188044284390292
7,1,-0.3446076744346606,-0.7048550329007675,-0.6501557782079146,-0.7991847351193869,-0.3303101614692424,-0.3870915231052683,-1.2677647135803036,-0.6124355977745142,0.4628921917490443,-1.3732149387671977,0.9343618417021,-1.4233149626568085,-0.4037531503598756,1.304907954333384,1.6720249259695632,-1.547799510918514,-0.4282583428728313,-0.3027634195514363,-0.5637278709230149,-1.6202628999829058,-0.2005383609429707,1.4595763421444352,0.1342658871521295,-1.5010113424294518,1.3652628815000911,-1.067895898690084,0.7145145709831386,-0.3028113323763003,-1.2674893951213504,-0.304764409027734
8,1,-0.1871669139375933,-0.8916325853902671,-0.8301112140513348,0.1625825015993076,-0.3303102112312706,-0.3870915741728092,-1.4451828442400712,-0.7211921856407068,1.5820611845132777,-1.3690896750572226,0.2725827090682382,-1.2683329948107611,-0.5294772020479843,0.5221208031078794,1.0521357220411696,-0.5632005878965305,-0.7575782624111801,-0.3298605303163684,0.1148652355060759,-0.1184792725895501,-0.20009808076983,1.0712259165852085,-1.6731635446709616,-1.183397004916504,0.1127843728056737,0.4919548629325085,0.2862076988559152,0.6918530786056724,-1.445418523601475,-0.5856754800140221
9,1,-0.3150875318414606,-0.8696539135019037,-0.8132561935227597,0.1317813090702878,-0.33031019989118,-0.3870915715276901,-1.438528044531984,-0.7271391856611602,1.8617765032987292,-1.3525886202173207,0.1815001845125031,-1.2557372871766292,-0.3005381071909948,0.6963909353150181,0.3092248991783065,-0.0992170389043342,-0.5537319347250745,-0.2996387187405277,-0.0371288596901327,0.0895600177852875,-0.19933959857344,0.6833409529823056,-1.6368575841905924,-1.1567471086465042,0.1703924247519653,0.5283432943856017,0.4161766807427968,0.5475195197981728,-1.4380048099148015,-0.4232367444952405
10,1,0.7655605452310459,-0.5400561522996312,-0.4701722506636135,1.8227667789135675,-0.3303098399364518,-0.3870913065269302,1.374249292638349,-0.5668839934439119,-0.6559690833927628,1.27039155537545,-1.6568296917093586,1.2382128243813149,-0.6406981853194632,-1.906233498139141,-1.1067189958821009,0.9738070144395022,-0.8483053211351097,-0.3674121901598415,1.7477929484989716,0.66166806631609,-0.2002790472890065,-1.3718287381713152,0.4289929807855443,1.1823273934777434,-0.763255313687963,1.6151444471179834,-1.7938330732428147,1.4030738721961549,1.3739108812443206,-0.2752779610891546
