f_id,i_id,disp.diff_median_25,ela_meta.lin_simple.intercept,ic.eps.s,ela_level.mmce_lda_25,ic.eps.max,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_distr.skewness,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cov_init,disp.diff_mean_05,ela_level.lda_mda_50,ela_level.mmce_qda_10,ela_level.lda_qda_50,disp.diff_mean_10,ela_level.mmce_mda_50,ela_meta.lin_simple.coef.max,disp.diff_median_10,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_distr.number_of_peaks,nbc.dist_ratio.coeff_var,disp.ratio_mean_10,ela_level.lda_mda_25,ic.m0,ela_level.lda_qda_10,disp.diff_mean_02
1,1,-0.0970280345606846,0.6371469620514552,1.4285545079694797,-0.6398331381166696,0.8816496569121399,1.5179495947567847,0.6997709232301093,-0.2252100713652802,0.9458769021270632,0.998367969282,1.1086363631215792,1.459064443110853,-0.7091399635591878,0.0430059902136767,0.1485222040073203,-1.5229662732345928,0.1231280121988847,-0.0337539431876993,-0.8323319622872555,0.9419653887920432,-0.0496918328342652,0.9947131132849651,1.186056775390782,-0.2906184151239539,-0.4020987766511554,-0.0336664988489588,1.9639849044813675,-0.8883006703477365,2.9236287166752413,0.0741438478934688
2,1,-1.5151089416187962,5.148473183171,1.5921059017653028,-0.4764936780899287,4.969840848589457,1.697772800618176,0.6997709232301093,-0.2752186211249903,-0.5479187122110334,0.9471809264370442,0.7075911922626299,-0.2336411782936708,-0.7091399635591878,-1.5623403449799047,-0.2708894274910287,-0.4367372883685647,-0.2850774261071951,-1.5752717425676486,-0.3726655041022774,4.914030033306249,-1.5632084059412887,0.9058416658844536,0.4606253225088653,-0.7073843840654483,-1.4241567240091586,-1.575098126854629,-0.3003936567882443,-0.6269961800467836,0.1554391540987669,-1.5431212366265952
3,1,1.075046571796242,0.0364900530778388,1.3947230880678638,1.03691699783685,0.1860526855289812,1.442525842765615,0.6997709232301093,-0.1730981577100973,0.176103761048608,-1.326376893259732,-0.8965894911731117,-0.5880497732667715,-0.7091399635591878,1.1445739156410215,2.7956224034187183,-0.8960153155266819,2.624039837089095,1.1445938940674996,-0.9796170420335608,-0.2203438509126864,1.1256441610793295,-1.232581632517113,0.5586698713076624,0.7744501721709763,0.5333440904222709,1.1442950206596765,2.4124981776046064,-0.2572665900358915,1.3188580286164622,1.1950598004168784
4,1,-0.8338976383280671,-0.2889226516027773,-0.0320839472666565,-1.051206592998832,-0.3308817344546089,-0.0250934574083252,0.6997709232301093,-0.2013739913020069,-0.1724727556661636,0.5611453116480042,-0.09449914945538,-0.4615878026984578,-0.7091399635591878,-0.9486766715558674,-0.2150618070686446,-1.0491079912460544,-0.1681576040665653,-0.9144147877119736,-0.4147958873785458,-0.3119030384145494,-0.9204007335256834,0.4201702229622363,0.3498137039165692,-0.3369257450063422,-0.961384723631564,-0.9144845719950556,-0.0016688210036543,-0.7245787697857299,0.3827228061417361,-1.0270394415981174
5,1,1.4400435602357695,-0.2889267053445971,-1.4306934377872569,1.03691699783685,-0.3308869622645761,-1.3941374197897332,-1.648925550924001,-0.436656399294718,0.8757984982458645,-1.3732983492009414,-0.4287034585043467,-0.4998644421627576,1.4275086135387989,1.3553990980070711,-0.442105109002745,1.6142185577766786,-0.6113439322189476,1.359142912901497,2.129468234378546,-0.3119072214915294,1.3597484227519674,-1.272426888892962,-1.76690099569285,-0.7073843840654483,1.7682276636223762,1.3591934059754407,-0.8341108191826168,2.0174920018786278,-1.1127922316367382,1.2946121714750316
6,1,0.5481557903603574,-0.2889266959189983,-1.1769155344619782,1.0500244853698597,-0.3308869613908652,-1.121476065107862,-1.6489255509240013,-0.3572130195108989,0.7232962721831516,-0.9552708326338042,-0.4287034585044766,-0.4507463675482152,1.4275086135387989,0.5335415963260015,-0.4094978262781669,1.633658897550567,-0.4689172113320556,0.5433261795330596,1.23171429480863,-0.3119072213401458,0.5345878095200016,-0.964498340771768,-1.195656462624734,-0.7073843840654483,0.7709168820599666,0.5433754617211494,-0.8178368763318306,0.977695295660312,-1.1212228031912144,0.50597075830838
7,1,-1.1281825343999583,-0.288926604514593,-0.6411621829975009,-1.5220678759154245,-0.330886892140399,-0.5878015878994982,0.2053155316316673,-0.2977607951184538,-0.2712361020686828,1.341747715033577,-0.2950217348846969,-0.5698764406643942,0.3590374359084704,-1.3132807900298082,-0.314073034241873,-1.073408415963415,-0.361756550589126,-1.2400937206983715,-0.6035263035185778,-0.3119071414245292,-1.2278123810134112,1.6236071367286682,0.9375899555634468,-0.7073843840654483,-1.3078450447698695,-1.2394852164540815,-0.371027680994013,-0.8774581603767438,0.2708468430809866,-1.3993467536813544
8,1,-1.2850032842141952,-0.2889266551373214,-0.8329111216072438,-0.522874018591349,-0.3308869463104734,-0.7734199341366997,-1.5420270978415849,-0.324828574228124,-0.1085670609351227,0.955712100244537,0.0391825741643996,-0.679304435864704,1.4275086135387989,-1.1524912047367293,-0.4300466357617254,0.489108893362878,-0.4911288089609124,-1.23522635404091,0.0876860009652417,-0.3119072143026749,-1.224847079575402,1.0046285227056837,0.2751754497391877,-0.7073843840654483,-0.4590172579810199,-1.2355056167260126,-0.734422268735392,0.6459144905478991,-0.6615288001870133,-1.0714619278260864
9,1,-1.2900803600220567,-0.2889266436010889,-0.8103474518810201,-0.0520127356747561,-0.3308869435046539,-0.756034513009269,-1.506928105131628,-0.2946394766846473,-0.2407356568561404,0.4395760848912351,0.7744320540724641,-0.6852881496098896,1.6945529634057128,-1.1374857715361082,-0.2844117518083481,0.5255595304389191,-0.2555464575050633,-1.2192810808058685,-0.0671345944890132,-0.3119072129075157,-1.2172268835655364,0.2628090030815783,0.1840054769830445,-0.7073843840654483,-0.6198738356523765,-1.219587217813734,-0.509484001059603,0.3379872073716727,-0.5576277021102277,-1.0354854726389595
10,1,1.403007925430844,-0.2889262774204661,-0.4719769141139818,1.03691699783685,-0.3308866624041616,-0.4021542659604176,0.4902446169387317,-0.3623395857400979,0.8757984982458645,-1.206940459954836,-0.3618625966945311,-0.5240436241164136,-0.7091399635591878,1.2790352712643764,-0.4447034446631772,1.6142185577766786,-0.6055771550884883,1.3107232186591928,1.7509798317746703,-0.3119072002043715,1.3123586097528324,-1.151054932835652,-1.6560893771005536,-0.7073843840654483,1.7929748294179697,1.3107749426172586,-0.8345368386289723,2.01315499789023,-1.1127922316367382,1.2458925817350557
