f_id,i_id,log_precision
1,1,5.295017799277915
2,1,3.308919872305561
3,1,1.973953183945131
4,1,1.5536436726846008
5,1,1.3292713091730806
6,1,0.5770032069142602
7,1,0.0314717376462794
8,1,0.7763230296344203
9,1,1.1730314664082613
10,1,1.83506092385776
11,1,2.977478270422361
12,1,0.3022095812165126
13,1,0.1323441933542007
14,1,0.1374072818940854
15,1,0.5732903428190664
17,1,3.738017209273999
18,1,1.6353478084174975
19,1,0.5019710214982902
20,1,0.8003123094780414
21,1,2.294152370450922
22,1,1.3715949299499186
23,1,0.0015853403916719
24,1,2.580712446547357
25,1,2.27998429242958
26,1,2.2396640521731763
27,1,2.667951718945632
28,1,2.7432409258762087
29,1,3.1726106935081764
30,1,2.933068645414255
