f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.s,ela_level.mmce_qda_50,ic.eps.ratio,pca.expl_var.cov_init,ic.eps.max,ela_distr.kurtosis,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_w_interact.adj_r2,disp.ratio_median_10,ela_distr.skewness,disp.diff_median_25,disp.ratio_mean_10,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,ic.m0,disp.ratio_median_25,disp.diff_mean_05,nbc.nn_nb.cor,disp.diff_median_05,ela_level.qda_mda_25,ela_level.mmce_mda_50,ela_meta.lin_simple.coef.max,ela_level.lda_qda_50,ela_level.mmce_lda_25,ela_level.mmce_mda_25,disp.ratio_median_05
1,1,0.5800180793475316,1.3121087441508157,-0.6563546754759115,1.3926774764133911,-0.7091399635591877,0.7559982882293949,-0.1974880229714018,0.2417393782808589,0.6103868132129044,0.6896055604461341,0.0464140186057294,1.1691932692215532,-0.0348290328007085,-0.2325705890056924,-0.0752208749417064,-0.0188418416529731,1.1134670780558793,-0.3439272437304981,-0.8765509098559484,-0.075277420936683,0.0560720203833159,0.2908218818655121,0.0462191358107664,0.8883450370671782,-0.7639313160225271,0.84588108993578,0.0543293665366177,-0.6398331381166696,-1.361694161268279,0.0465228907765193
2,1,5.0146415862761735,1.470092302338644,-0.299675234503324,1.5656376970527124,-0.7091399635591877,4.610042653540992,-0.1997662474858964,-0.1683253257789893,1.2331350274119184,0.6896055604461341,5.240166847501016,0.4075023365852978,-1.574906385464956,-0.282671362488213,-1.5307853194484036,-1.586576113311762,0.7148183710975993,-0.7595059965715167,-0.5941327691135905,-1.5302907086757378,-1.5715824311414768,1.6589545371546,-1.561544360019832,-0.5564372330956812,-0.2859845439468949,4.6748280669820605,-0.3448021179515585,-0.4764936780899287,-0.1890120269304443,-1.5614952709973202
3,1,-0.0104263083058327,1.2794290587592243,-0.7049759104055775,1.3201322855780462,-0.7091399635591877,0.1002408976394598,-0.1965262425076743,0.4040251329318509,-0.6754642019347817,0.6896055604461341,0.015120009908811,0.5104474784285101,1.1597788171368362,-0.1803625726900014,1.127834687566064,1.179220149081109,-0.8797764567354657,0.7181073468632162,-0.1945286778557313,1.127603600334954,1.1729474871731924,-0.99036402523698,1.1547976558462556,0.1438291370318691,-0.917073724362708,-0.2745489251967367,2.499648697373168,1.03691699783685,-0.9736491984480334,1.15459163076726
4,1,-0.3303062635336701,-0.0988047004160549,-0.3679676560839236,-0.0914750581830901,-0.7091399635591877,-0.3870866502084114,-0.1962814703525994,0.002282775264361,0.6158825740542978,0.6896055604461341,-0.2643009442409414,0.2911519842850397,-0.9204749204171108,-0.2086905514181317,-0.8315678436817542,-0.9146899968865664,-0.0824790428190715,-0.3901026607128335,-0.699600124577543,-0.8316742203389332,-0.9493912018157212,0.7818152833898203,-0.9662242807575422,-0.1933101384558175,-0.3297903956348998,-0.3628091388592332,-0.2304812937831684,-1.051206592998832,-0.7881739629150086,-0.9662917613179808
5,1,-0.3303102483527418,-1.4498008533657023,2.4297947019299837,-1.4082692097729452,1.4275086135387989,-0.3870915786010923,-0.1991865778634176,-2.2508033662305267,-1.6442883274032425,-1.6491191354835215,-0.2643087939071623,-1.9313631648241785,1.3977538953360518,-0.4444068576078743,1.5024794882120027,1.3977855122555698,-0.4146862986174814,-0.7595059965715167,2.264032563959483,1.5026503467052337,1.386702325645632,-1.4941437132593167,1.385594423754991,0.8205659952243416,2.3156556721577948,-0.3628131712155493,-0.6638160817623753,1.03691699783685,1.828138000064664,1.385461708210691
6,1,-0.3303102390873994,-1.20466239733502,1.1723233741306838,-1.146014025078132,1.4275086135387989,-0.3870915777774223,-0.200195878946373,-1.476068574796422,-1.1075880258066138,-1.6491191354835215,-0.2643087936629406,-1.3315659277076324,0.5580804660081355,-0.3648169715911907,0.5870168232402205,0.5680466335377088,-0.4146862986176106,-0.7595059965715167,1.1402192985158257,0.5876203296505675,0.5534241776197539,-0.5581875416036044,0.5467145532747711,0.6730675621984783,1.3821992715540452,-0.3628131710696202,-0.5245553487984421,1.0500244853698597,1.799077364082531,0.5464723125596169
7,1,-0.3303101492370751,-0.6871478790480243,-0.5420391002214299,-0.632707330953895,0.3590374359084706,-0.3870915124932033,-0.2005674410294743,-0.0094441673794164,1.3876444179242304,0.1972494607575509,-0.264308557437647,0.9083072503267348,-1.232141144990515,-0.3052551078372928,-1.1336314489003247,-1.245236379465226,-0.2818033962980548,-0.7595059965715167,-0.8648323148043996,-1.1342329400998357,-1.319061909916737,0.8738765461756278,-1.2988644190795209,-0.2888329331773293,-0.5260263653917354,-0.3628130940334473,-0.4197767506039988,-1.5220678759154245,-0.8121062513708828,-1.2994119896104863
8,1,-0.330310198999103,-0.8723690434614836,0.0243426135394114,-0.8112415193869421,1.4275086135387989,-0.387091563560744,-0.2001271583957223,-0.6374030315301077,0.9946190068954528,-1.542674537413196,-0.2643087441129442,0.2127830616130782,-1.2301129483013176,-0.3323728042385002,-1.2945973757768292,-1.2411888727397735,0.0504038595004842,-0.7595059965715167,0.7816302899383926,-1.2949672599728128,-1.1560379701451695,-0.3433779284367197,-1.1471224833710507,-0.1315012712830754,0.1926745184000871,-0.3628131642857168,-0.5462732072651201,-0.522874018591349,0.3588664337915321,-1.147113080714236
9,1,-0.3303101876590125,-0.8505735164018124,-0.0476613526923077,-0.7945196160057638,1.6945529634057133,-0.3870915609156248,-0.199368671960373,-0.5859557992864368,0.6020646610816518,-1.5077245632652616,-0.2643087299998234,0.1170561100159679,-1.2226762271075928,-0.3021280331956493,-1.2998086517986744,-1.2249988458379617,0.7812598222573218,-0.7595059965715167,0.4488221904743694,-1.3002200155242167,-1.1408240193542312,0.2524630223714255,-1.1346308784010448,-0.2593332465721568,0.0316969170750604,-0.3628131629408267,-0.3159275900044205,-0.0520127356747561,0.3725420271948886,-1.1347354308746105
11,1,-0.3303098099579032,-0.5182801625282758,2.0326594242601925,-0.4541452726818792,-0.7091399635591877,-0.3870912825687331,-0.20030915007755,-1.9428765497132603,-1.5386126975101673,0.482962177176027,-0.2643087597667988,-1.821027971062338,1.1415250469340557,-0.3693693533386521,1.2056768296366138,1.1394196662808211,0.9141427245766012,-0.7595059965715167,2.232392357320296,1.205344382495742,1.101773174523204,-1.468571140263259,1.1044198675458987,0.8240778626773378,1.967345729467804,-0.3628131491234991,-0.6617093565473482,1.03691699783685,1.829847449240084,1.104542872720082
12,1,-0.3303101825838807,-1.057562997479113,2.423856230488192,-1.0009515132464102,1.4275086135387989,-0.387091575621148,-0.2004129990169835,-1.617548463466517,-1.6442883274032425,-1.6500493629323256,-0.2643087937861993,-1.9294881211513375,1.3700352072503477,-0.303700785864138,1.4876445293062894,1.3667546273604307,-0.6804521032563349,-0.7595059965715167,2.264032563959483,1.486892080051024,1.3192065084392923,-1.829144419507673,1.3136282752102564,0.8205659952243416,2.307464334037274,-0.362813171172311,-0.662421925370078,1.03691699783685,1.828138000064664,1.313886602616341
