f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,disp.ratio_mean_10,disp.diff_median_25,nbc.nb_fitness.cor,ela_level.qda_mda_25,disp.diff_median_05,disp.ratio_median_25,nbc.nn_nb.mean_ratio,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_50,ela_meta.quad_simple.adj_r2,nbc.nn_nb.cor,disp.diff_median_10,ela_distr.skewness,disp.diff_mean_25,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.mmce_mda_10,pca.expl_var.cor_init,ela_level.mmce_mda_50,ela_meta.lin_simple.adj_r2,ic.m0,ela_level.lda_mda_10,disp.ratio_median_02,ela_meta.quad_simple.cond,ela_distr.number_of_peaks
1,1,1.393320048172431,1.313179946442356,0.7559982814068809,0.580018069454783,-0.6548570506842823,-0.0182293343961503,-0.0745095602072652,0.2475893940337582,0.8883450370671782,0.0461331285252627,-0.0746005036138789,0.4185889749307355,1.403907770796073,0.3605048440678851,0.6101489473808984,0.2835220264190831,-0.0346916865475666,-0.230109628728557,-0.0512733264984313,2.907738422246096,0.9969493782495272,-0.3770756470337446,-1.4907119849998565,-0.772742562901606,0.994298152086245,-0.8767098428274624,3.07559215023773,0.0975248376058495,0.1658587553459205,-0.3439272437304981
2,1,1.5687350054048024,1.473542294408092,4.610042661107607,5.0146415943085225,-0.6548570506842823,-1.5873024135313794,-1.5317948009955047,-0.1552270944687385,-0.5564372330956812,-1.5614589861239327,-1.5312505899782003,1.336744864669705,-0.2791216092428636,-0.2895612710394514,1.2385634062293611,1.6835361065884202,-1.57523847305904,-0.2801720245084326,-1.5490657944825248,0.0955164583736968,0.9441870965020044,-0.406497693035481,-1.4907119849998565,-0.2807249089414814,0.903527622898066,-0.5941883981796784,0.8295576979458652,-1.5667905321709032,-0.3773142554174192,-0.7595059965715167
3,1,1.3197452602775124,1.280008196544518,0.1002408883686663,-0.0104263205852041,-0.6548570506842823,1.1808557725505642,1.1299682777251798,0.4070066205721082,0.1438291370318691,1.1545934785084186,1.1296336833082492,-0.3906830432686817,-0.6315042505807701,1.4772246274566263,-0.6874017342908261,-1.027519196318932,1.161634882099014,-0.1779416042849786,1.1544938577334896,1.277441336761422,-1.3993375844504592,0.701732706363245,0.6708203932499399,-0.930393525049784,-1.2805913500885735,-0.1944381383253448,-0.8196422584444218,1.1953378123064509,0.4063411805375518,0.7181073468632162
4,1,-0.1118963097868792,-0.118977901769725,-0.3870866612986492,-0.3303062771060215,-0.6548570506842823,-0.9148425224734236,-0.8317506968807739,0.0123653744561934,-0.1933101384558175,-0.966202365609625,-0.8318482019404555,0.9129806078671032,-0.5057651916252691,-0.3213964314528094,0.6156947129027585,0.7859569860312563,-0.9209507621211324,-0.2062478834929499,-0.8112170036554699,0.3264154137579028,0.5462715549894377,-1.4853060464324706,0.6708203932499399,-0.3258204167187505,0.4074779334296079,-0.6996943318655742,1.6091974616318665,-1.0359091210275704,-0.4178165808594852,-0.3901026607128335
5,1,-1.4473790521837675,-1.4903162718177427,-0.3870915896913485,-0.3303102619251093,1.5470030867191007,1.3996077853043565,1.5050559906600822,-2.200895700747563,0.8205659952243416,1.3853656444014657,1.505102333728507,-2.0268839237009564,-0.5438230251746853,-0.2169823456526187,-1.6650409705729778,-1.5430383996710058,1.3999200614202192,-0.44178362859194,1.4929645884312774,-1.1928881387876966,-1.4477030093856884,0.701732706363245,0.6708203932499399,2.3975082968548755,-1.3212880542907115,2.2650224047080605,-0.8196422584444218,1.3352467371510153,-0.4602767899856222,-0.7595059965715167
6,1,-1.181401812809514,-1.2414867174217188,-0.3870915888676785,-0.3303102526597669,1.5470030867191007,0.5691603294797738,0.5885110481184408,-1.4398549549421082,0.6730675621984783,0.5465751951723381,0.5890429653362187,-0.8674178321716096,-0.494985730832491,-0.5044158516069707,-1.1234573547524924,-0.5852717579103003,0.5600227298298813,-0.3622547092383793,0.6079691330068329,-1.2014528118194918,-1.0168110417809202,0.701732706363245,0.6708203932499399,1.4365706880400566,-1.006779423198612,1.140798066877251,-0.8196422584444218,0.519826623026253,-0.5092060097687282,-0.7595059965715167
7,1,-0.6608100174009066,-0.7161798803634458,-0.3870915235834592,-0.3303101628094422,0.4459216458094205,-1.2456711837368748,-1.134171407503101,0.0008457147296464,-0.2888329331773293,-1.2988070458184948,-1.1347472812710884,1.2249181857912397,-0.6134348046497987,-0.2913953955077107,1.394478642615364,0.8801635409585387,-1.2338525394047626,-0.3027384704786131,-1.143964012399914,0.2127598878494868,1.350896351639158,-1.5931868817721695,-1.4907119849998565,-0.5278336263551356,1.6366309257835867,-0.8649869613068089,1.297934438107038,-1.3758105580732607,-0.5613639696162315,-0.7595059965715167
8,1,-0.841878050921785,-0.9041899565954068,-0.3870915746510001,-0.3303102125714703,1.5470030867191007,-1.2416202205377311,-1.295327631394258,-0.6160134835306356,-0.1315012712830754,-1.14708128519565,-1.295662417165485,0.4185889749307355,-0.7222372618473267,-0.570968368026666,0.9978771825806432,-0.3654564630799747,-1.2308342800196108,-0.3298353944482478,-1.3189870173464435,-0.7344466539371503,0.9529808101265916,-0.0828551870163844,-1.4907119849998565,0.2120260053077046,1.00442544253286,0.7820778923452104,0.051894207425101,-1.0638050723002603,-0.5721972851873401,-0.7595059965715167
9,1,-0.8249188220562641,-0.8820662499607952,-0.3870915720058809,-0.3303102012313798,1.8221977608425264,-1.225416367741154,-1.3005450682868462,-0.5654756215044922,-0.2593332465721568,-1.134591011780952,-1.3009210817371966,0.5981002226040601,-0.7281867700828663,-0.4093033970386663,0.6017510738763677,0.2442692951993819,-1.2230779933134222,-0.2996137912079869,-1.3124220567198417,-0.6288928457615136,0.4209611358390718,0.1263682512181838,0.6708203932499399,0.0463091799798533,0.2467540831935139,0.4491480571586104,0.1092061292169725,-1.0376257949520444,-0.5658203265802995,-0.7595059965715167
10,1,-0.4797137184985856,-0.5502935107660966,-0.387091307005121,-0.3303098412766514,-0.6548570506842823,1.3503210663814336,1.466996466893975,-1.8723995975776304,0.8205659952243416,1.3157585019461058,1.4672399488121823,-2.082797263140189,-0.5678639884105396,-0.2620494040155618,-1.497083500482365,-1.4776171809715042,1.3516839037022197,-0.3673867954274628,1.4623830884269549,-1.1928881387876966,-1.27622559370624,0.701732706363245,0.6708203932499399,1.992381987148513,-1.197322517527517,2.260333252099799,-0.8196422584444218,1.2601422529553132,-0.5285776814532328,-0.7595059965715167
