f_id,i_id,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,ic.eps.ratio,ic.eps.s,ela_meta.lin_w_interact.adj_r2,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_10,ela_level.qda_mda_25,ela_level.mmce_qda_10,ela_meta.quad_simple.cond,disp.diff_mean_05,ela_meta.quad_simple.adj_r2,disp.ratio_mean_25,ela_distr.number_of_peaks,disp.diff_median_10,disp.ratio_median_02,ela_distr.skewness,ic.m0,disp.ratio_median_25,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.min,ic.h.max,pca.expl_var_PC1.cov_init,ela_level.lda_qda_25,disp.diff_median_02,disp.diff_median_25,ic.eps.max,ela_level.mmce_lda_50,ela_level.mmce_mda_25,disp.ratio_mean_05
1,1,0.5800180930595971,-0.7091399635591878,1.3941021767571409,1.314801868764038,1.1578808268806815,1.403530576132938,-0.0367146937121676,0.837833926630899,-1.4980001928518891,0.1639500899026576,0.0572649228467927,0.6112944240495469,-0.0652795023926446,-0.3306059947880436,-0.0372571119966724,0.1055183619765317,-0.2256461678553977,-0.9056130229199914,-0.0881229970097065,0.3737414182762265,0.0464141826718865,0.1660594252552666,0.6997503592192601,0.9955215087635964,0.1050981482408988,-0.0880726054280951,0.7559982951041795,-0.7670623047569936,-1.3638380488251882,0.0570343432332972
2,1,5.0146415751427975,-0.7091399635591878,1.5668337144916298,1.4723652560171547,0.4120390867473733,-0.285553457781978,-1.5727793523652494,-0.597631205136546,-0.4166070592583562,-0.3798162827428884,-1.572787441767984,1.2290069051610892,-1.5350755968704473,-0.7434680265568444,-1.5722951081667118,-1.5753323497238425,-0.507172656314891,-0.6429307478758814,-1.517630337435762,-0.0382995168760308,5.240166783549567,0.5756101604031438,0.6997503592192601,-0.1983017533180771,-1.5754400898927328,-1.5181212114148117,4.610042645916421,-0.610821975782361,-0.2493049341633288,-1.5726698945012172
3,1,-0.0104262912857408,-0.7091399635591878,1.3216529030344737,1.2822090978217382,0.512842155867376,-0.6392037863929105,1.1547805880437572,0.0981192743832123,-0.873840397623405,0.4046952179562163,1.1757858066348466,-0.664158805356005,1.1175271175706656,0.7244858641766696,1.1547915520096443,1.2142383517984905,0.0677213488740654,-0.2712516782076596,1.0936718800934224,0.5368092791436792,0.0151201753488465,-0.6505699078061932,0.6997503592192601,1.8088528352648752,1.2139079742363688,1.0938935634912543,0.1002409069812787,1.3742222038630862,-0.9950348170055936,1.1760727284017805
4,1,-0.3303062447214174,-0.7091399635591878,-0.0880880551111717,-0.0923591294875314,0.2981097415149165,-0.5130123844838663,-0.9200530180473464,-0.2368458511629095,-1.0262515104117549,-0.4203628529017975,-0.9496795802345288,0.616745744482957,-0.8114521361303295,-0.3764795538734659,-0.9203470430312506,-1.0391765141453575,-0.0914593547785063,-0.7410278630375835,-0.8312603869784843,0.1331307983948808,-0.2643007665336883,-0.1017554417931433,0.6997503592192601,-0.0669309811026753,-1.0392330482317869,-0.831160918948663,-0.3870866390332106,-0.5463818400992759,-0.8187566202988709,-0.9497223322800744
5,1,-0.3303102295404667,1.4275086135387989,-1.4031411802931149,-1.4397621913403127,-1.8781595236935544,-0.5512071300873108,1.3921356187048122,0.7704919795158978,1.6252180073030265,-0.4628694455357796,1.3898555556368153,-1.6251487217599927,1.44961493808029,-0.7434680265568444,1.392224655233035,1.3555373028078563,-1.415997467496328,2.015501073006208,1.4621441692862716,-2.130813675559774,-0.2643086161995645,1.2134215668507415,-1.648923431432226,-0.9950626623015032,1.3555101605757585,1.4619708938532705,-0.387091567425873,1.540902554819894,1.667821997762318,1.389839829475934
6,1,-0.3303102202751244,1.4275086135387989,-1.141232741672177,-1.1952757022319198,-1.290842810456811,-0.5021941448647385,0.5546499707473382,0.6239447370894691,1.644571799403134,-0.5118521155702237,0.5553497953392558,-1.0927883434344126,0.5804468152649692,-0.7434680265568444,0.555330684753552,0.5320158091949866,-0.9687656271538712,0.970221812560974,0.5631543544768203,-1.352345192910491,-0.2643086159553428,1.1376093583324234,-1.648923431432226,-0.959599458143977,0.5322238428892636,0.5625561597159129,-0.387091566602203,0.8471810941422055,1.6402023724718635,0.5552844298278512
7,1,-0.3303101304248006,0.3590374359084704,-0.6286047265265403,-0.679137558558646,0.9024232994613762,-0.6210693361060197,-1.2309071917256025,-0.3317526367343112,-1.0504437505368895,-0.5640670527428405,-1.3198948991582589,1.382266885346101,-1.137390182186077,-0.7434680265568444,-1.232129925190364,-1.382454947272406,-0.634075338298594,-0.8947133434575814,-1.1285153429659978,0.1213473399172798,-0.2643083797300596,0.500621997629588,0.2052997430272176,-0.3553441193395464,-1.382284099131891,-1.127929391957452,-0.3870915013179842,-1.0629829278379797,-0.8415021940674802,-1.320575863689022
8,1,-0.3303101801868282,1.4275086135387989,-0.8069028623188602,-0.863866111268251,0.2213715119344135,-0.7302632072782533,-1.2288842795324688,-0.175435578146121,0.5051172895092823,-0.5749122026216015,-1.156630787255074,0.992419598351096,-1.309583866894773,-0.7434680265568444,-1.2291224586991991,-1.0673496178742197,-0.7864552181343025,0.6366916210111919,-1.286432038334362,-0.5096378559800894,-0.2643085664053486,1.0766299732198616,-1.542026010765606,-0.7133655644980043,-1.0674042274333326,-1.2860736089379083,-0.3870915523855247,-0.5647418787575853,0.2714062367537642,-1.1564718265007832
9,1,-0.3303101688467378,1.6945529634057128,-0.7902030681453679,-0.8421285512975746,0.1276364376441943,-0.7362341187130035,-1.2214669348243117,-0.3024431882490256,0.5414056496969846,-0.5685282778286737,-1.141394422780618,0.6030395673932403,-1.3024091300319092,-0.7434680265568444,-1.2213939074423112,-1.040910243605596,-0.616503666609338,0.3271407242787142,-1.291592714653589,-0.4579426833041605,-0.2643085522922284,0.9686799806557324,-1.5069273570386137,-0.4895393945409461,-1.0415129054234735,-1.2911935320293093,-0.3870915497404056,-0.2090611298475916,0.2844037074786837,-1.141356980970288
10,1,-0.3303098088920129,-0.7091399635591878,-0.4502787577439313,-0.5161465658197174,-1.764230178461097,-0.5753345800553427,1.3442600301339749,0.7704919795158978,1.6252180073030265,-0.5312449488576512,1.312316501524886,-1.460051588633862,1.4188660658108834,-0.7434680265568444,1.344160983597296,1.2796866389224602,-0.997625975940154,2.0111412012212444,1.4249872997878366,-1.7947950531662358,-0.2643085693019279,1.2636883572813662,0.4902260765144,-0.9950626623015032,1.279946983676462,1.424622701898207,-0.3870912847396476,1.1135816550666946,1.669446681602933,1.3126461540880456
11,1,-0.3303097911456306,-0.7091399635591878,-0.4502787577439313,-0.5107189603339056,-1.7701201741525832,-0.415872027691185,1.1365743783055515,0.7739811995736695,1.6252180073030265,-0.4911728010999524,1.1045066376894608,-1.5203276174261382,1.1636504259747804,-0.7434680265568444,1.136478419038269,1.0790074538999554,-0.9943463908508036,1.9860719384576968,1.170049889617992,-1.821402862631788,-0.2643085820592025,1.276873089197596,0.4922279008714528,-0.9963179969619466,1.0791368206810588,1.170371143838263,-0.3870912713935149,1.1708217755896588,1.669446681602933,1.1048170280437302
12,1,-0.330310163771606,1.4275086135387989,-0.9963620272171309,-1.0485675259504266,-1.8763234957511743,-0.5880011474620825,1.3644891520653142,0.7704919795158978,1.6252180073030265,-0.4937444167678265,1.3222603014133334,-1.6251487217599927,1.4311656147186482,-0.7434680265568444,1.3648519279729046,1.323029875428401,-0.6253412853764294,2.015501073006208,1.4466621403285926,-1.4945069177692951,-0.2643086160786015,1.2406150764279655,-1.6498576161321836,-0.9950626623015032,1.3230593393349863,1.4473959896756847,-0.3870915644459287,1.5337025396597734,1.667821997762318,1.3223628405005072
