f_id,i_id,similar_instances
1,1,"[(3, 1), (3, 4), (3, 5), (4, 3), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (15, 5), (24, 3), (24, 4), (24, 5)]"
1,2,"[(3, 1), (3, 4), (3, 5), (4, 3), (15, 1), (15, 4), (15, 5)]"
1,3,"[(3, 1), (3, 4), (3, 5), (4, 3), (15, 1), (15, 4), (15, 5)]"
1,4,"[(3, 1), (3, 4), (3, 5), (4, 3), (13, 5), (15, 1), (15, 4), (15, 5), (24, 4), (24, 5)]"
1,5,"[(3, 1), (3, 4), (3, 5), (4, 3), (13, 3), (13, 4), (13, 5), (15, 1), (15, 2), (15, 4), (15, 5)]"
2,1,"[(6, 4), (10, 1), (10, 2), (10, 4)]"
2,2,"[(10, 3), (10, 5), (11, 3)]"
2,3,"[(10, 1), (10, 2)]"
2,4,"[(11, 2)]"
2,5,"[(10, 1), (10, 2)]"
3,1,"[(1, 1), (13, 5)]"
3,2,[]
3,3,"[(1, 2), (6, 4), (13, 1), (13, 2)]"
3,4,"[(15, 1), (15, 4)]"
3,5,"[(1, 1), (13, 5)]"
4,1,"[(1, 1), (1, 4), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (13, 1), (13, 3), (13, 4), (13, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5)]"
4,2,"[(3, 4)]"
4,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5)]"
4,4,"[(1, 1), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (13, 1), (13, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5)]"
4,5,"[(1, 1), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (13, 1), (13, 3), (13, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5)]"
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
6,1,[]
6,2,[]
6,3,[]
6,4,[]
6,5,[]
7,1,[]
7,2,"[(14, 2)]"
7,3,[]
7,4,"[(14, 2), (14, 3), (14, 4)]"
7,5,"[(14, 1), (14, 2)]"
8,1,"[(4, 1), (4, 4), (4, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
