f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.ratio,ela_meta.lin_simple.intercept,ic.eps.s,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_level.mmce_qda_50
1,1,0.6997709232301093,1.4570587359610307,0.5804714553077299,1.3799714823058085,0.7563847774767509,-0.7091399635591878,0.0537727797001456,0.846790750844863,-0.2195196932232643,-0.6987610054507275
2,1,0.6997709232301093,1.632102075111182,5.014299135365776,1.5399203473958905,4.60963810989333,-0.7091399635591878,5.241639082996169,4.674051320696284,-0.2695066078785294,-0.3618620475954894
3,1,0.6997709232301093,1.3836398168814557,-0.0098669726156702,1.346885263398956,0.100761979438935,-0.7091399635591878,0.0225142391876723,-0.2731457862504327,-0.1674303246468765,-0.7446858373748027
4,1,0.6997709232301093,-0.0449688083127386,-0.3296895229559591,-0.0484936490498445,-0.3864655456576504,-0.7091399635591878,-0.2565900232261119,-0.3613671269120147,-0.1956939253182962,-0.4263671550308316
5,1,-1.648925550924001,-1.3776223191355477,-0.3296935070599248,-1.416296120927654,-0.3864704730387912,1.4275086135387989,-0.2565978639956326,-0.3613711574923347,-0.4308745435271509,2.216238822401827
6,1,-1.6489255509240013,-1.1122085548102296,-0.3296934977962451,-1.168108155788738,-0.3864704722152902,1.4275086135387989,-0.2565978637516878,-0.3613711573464699,-0.3514655331827047,1.028503474624983
7,1,0.2053155316316673,-0.5927196375579755,-0.3296934079620451,-0.6441557849399149,-0.3864704069444706,0.3590374359084704,-0.2565976277941286,-0.3613710803442266,-0.2920390294938273,-0.5907850647437418
8,1,-1.5420270978415849,-0.7734040769063271,-0.3296934577151429,-0.8316810906009874,-0.3864704580015298,1.4275086135387989,-0.2565978142578507,-0.3613711505655543,-0.3190950983213368,-0.0558133585136758
9,1,-1.506928105131628,-0.7564807763117266,-0.3296934463770874,-0.8096144283658591,-0.3864704553569535,1.6945529634057128,-0.2565978001607255,-0.3613711492212566,-0.2889190614301204,-0.1238241783096345
10,1,0.4902446169387317,-0.4120069927086329,-0.3296930864869571,-0.4786971415139709,-0.3864701904105854,-0.7091399635591878,-0.2565978171511472,-0.3613711369812133,-0.3565898815152371,1.7874902006984383
11,1,0.4922464606294137,-0.4120069927086329,-0.3296930687437595,-0.4731873631781086,-0.3864701770671919,-0.7091399635591878,-0.2565978298939634,-0.3613711354100147,-0.356007569204722,1.8411275998158692
12,1,-1.6498597446463192,-0.96539892215207,-0.3296934413028665,-1.019178847370381,-0.3864704700594584,1.4275086135387989,-0.2565978638748068,-0.3613711574491155,-0.2904882398668768,2.2106296826248406
13,1,-1.6470571634793645,-1.1178496550084298,-0.3296934320148685,-1.1515512718894718,-0.3864704722152902,1.4275086135387989,-0.2565978633823308,-0.3613711564784839,-0.2844138030277146,-0.629698471946584
14,1,-1.4901126181298996,-0.7734040769063271,-0.3296934062666679,-0.8261437633734459,-0.3864704580015298,1.6945529634057128,-0.2565978458994332,-0.3613711496777596,-0.2911502370198833,-0.32996006511388
15,1,0.6997709232301093,0.9319005130095857,-0.3134846214346363,1.17588929274547,-0.3819457831888587,-0.7091399635591878,-0.2342574971523377,-0.3120039320035369,0.452425805888216,-0.1364447428078536
16,1,-1.652395413321183,-1.4623234386115231,-0.3296934044939194,-1.4218058992635163,-0.3864704730990473,1.4275086135387989,-0.256597863995982,-0.3613711574923347,-0.3531818220979069,2.201164259251176
17,1,0.6997709232301093,1.3836398168814557,-0.0063798015302577,1.35790482007068,0.0895337957053694,-0.7091399635591878,-0.0547555611562811,-0.2149565022796792,-0.0925449615146419,-0.8582709178587746
18,1,0.6997709232301093,1.4683409363574311,0.3235840078328541,1.3689243767424049,0.8103010533295035,-0.7091399635591878,-0.1307076516166827,0.0905621656337976,-0.2374120051642476,-0.468085132122167
19,1,0.6984363607696548,-0.2482740594558729,-0.3296927000006985,-0.2194620708116509,-0.3864694452560383,-0.7091399635591878,-0.2565975268981099,-0.3613691596451818,-0.1725791913924832,-0.4982342584234682
20,1,0.6997709232301093,1.564352461730798,1.0126484756594727,1.5123439068248998,1.7926011652443852,-0.7091399635591878,0.3305926870581807,1.4400196710730473,-0.1556369679581297,-0.6875427258967557
21,1,0.6997709232301093,1.414708176223043,0.2385358009998135,1.3854812606416709,0.2560046662857119,-0.7091399635591878,0.0412892783870275,1.2120609434250675,-0.161944329721498,-0.7443352661387417
22,1,0.6997709232301093,0.4095910456582314,-0.3293562697675874,0.6960702463669037,-0.3864541371231405,-0.7091399635591878,-0.2563514489572533,-0.3598505644734994,0.170598906805472,-0.3734308983855237
23,1,0.6914966359752905,-0.3216647730344572,-0.3296929008329974,-0.3408149386590174,-0.3864699583373041,-0.7091399635591878,-0.2565972329515027,-0.3613705327918272,-0.2151125084731557,-0.3948157437852838
