f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.ratio,ic.eps.max,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,pca.expl_var_PC1.cov_init,ela_level.mmce_mda_50,disp.ratio_mean_25
1,1,0.5800180704316393,1.3913523999139823,0.7559982817010547,0.0464140176254594,1.311201069877768,0.8458810896321975,-0.6913271048037122,0.6457243798508657,-0.7883563124961728,-0.159668749941522
2,1,5.0146415935153685,1.5656894955812108,4.610042660781348,5.2401668478831285,1.4705121422670784,4.674828067286952,-0.3552271277648689,0.6457243798508657,-0.3370818086171639,-1.6784209537540202
3,1,-0.010426319372681,1.3182297025208478,0.1002408887684054,0.0151200089203322,1.278246781565753,-0.2745489256783712,-0.7371430225894442,0.6457243798508657,-0.9329524650058412,1.0625349064041028
4,1,-0.3303062757658233,-0.1046149470997005,-0.3870866608204591,-0.2643009453027157,-0.1115680871202532,-0.3628091393548935,-0.4195792565631491,0.6457243798508657,-0.3784430336373711,-0.9306949733553984
5,1,-0.3303102605849095,-1.4318916303232276,-0.3870915892131576,-0.2643087949689386,-1.47391647570607,-0.3628131717112102,2.216759585183782,-1.7837379718374091,2.1193714334366063,1.4056839399014824
6,1,-0.3303102513195671,-1.1675487250334085,-0.3870915883894876,-0.2643087947247169,-1.2267181548043655,-0.3628131715652811,1.031841039702407,-1.7837379718374091,1.2380074433718655,0.5075654818589498
7,1,-0.3303101614692424,-0.6501557782079146,-0.3870915231052683,-0.2643085584994232,-0.7048550329007675,-0.3628130945291082,-0.5836072370326782,0.1342658871521295,-0.5637278709230149,-1.2674893951213504
8,1,-0.3303102112312706,-0.8301112140513348,-0.3870915741728092,-0.2643087451747206,-0.8916325853902671,-0.3628131647813777,-0.049904255803464,-1.6731635446709616,0.1148652355060759,-1.445418523601475
9,1,-0.33031019989118,-0.8132561935227597,-0.3870915715276901,-0.2643087310615997,-0.8696539135019037,-0.3628131634364876,-0.1177537829059985,-1.6368575841905924,-0.0371288596901327,-1.4380048099148015
10,1,-0.3303098399364518,-0.4701722506636135,-0.3870913065269302,-0.2643087480712999,-0.5400561522996312,-0.362813151191051,1.7890277725734745,0.4289929807855443,1.7477929484989716,1.3739108812443206
11,1,-0.3303098221900693,-0.4701722506636135,-0.3870912931807974,-0.2643087608285751,-0.5345683440878052,-0.36281314961916,1.8425379666285653,0.4310636629422194,1.7904992540076414,1.11019449438985
12,1,-0.3303101948160482,-1.0213314219480194,-0.3870915862332132,-0.2643087948479756,-1.0783826988387075,-0.362813171667972,2.211163747896975,-1.7847042901771906,2.11163722062795,1.3866201047071878
13,1,-0.3303101855263832,-1.1731670652096,-0.3870915883894876,-0.2643087943549408,-1.2102272911278285,-0.3628131706969126,-0.6224283582099015,-1.7818053351578456,-0.5728071642201336,-1.3945816297500115
15,1,-0.3140984655708243,0.8683130212114164,-0.3825659704752177,-0.2419430791355062,1.1079326537117316,-0.3134241935163256,-0.1303444168013142,0.6457243798508657,-0.0764724639776468,-1.243130050150855
16,1,-0.3303101580004942,-1.516251008068746,-0.3870915892734262,-0.2643087949692883,-1.479404283917896,-0.3628131717112102,2.2017207724754875,-1.7873271542423124,2.1126460309942963,0.8951967974763654
17,1,-0.0069385223629006,1.3182297025208478,0.0890103999651971,-0.0622374673073958,1.2892223979894049,-0.2163340017333417,-0.8504587276472851,0.6457243798508657,-1.0419039845712643,0.7681045628477042
18,1,0.3230845133426309,1.402589080266366,0.8099256261980032,-0.1382757384829797,1.3001980144130572,0.0893192870287106,-0.4611982963837758,0.6457243798508657,0.1205818275820395,-0.2073283379272693
19,1,-0.3303094533808214,-0.3070999270496494,-0.387090561219408,-0.2643084574889207,-0.2818547759332155,-0.3628111729837448,-0.4912759218003633,0.6443439250797492,-0.7298453112480747,-0.3460706940635564
20,1,1.0122726637276476,1.4982132300651485,1.79242739763518,0.3235480247988942,1.4430456621668892,1.439371404626162,-0.6801354302300989,0.6457243798508657,-1.0314796107856836,0.6558397555923877
21,1,0.2380210409135549,1.3491727110412233,0.2555154458813968,0.0339163516321512,1.316688878089594,1.211312231406179,-0.7367932827590196,0.6457243798508657,-0.7496852484528895,0.3201044357816743
22,1,-0.3299729627606872,0.3481109042978267,-0.3870752499438547,-0.2640621003302993,0.6300268755848598,-0.361291908672687,-0.3667685421689083,0.6457243798508657,-0.5946647221576414,-0.4000848937807384
23,1,-0.3303096542491684,-0.3801945327419034,-0.3870910744060058,-0.2643081632087805,-0.4027237517986843,-0.3628125467354405,-0.3881026718248599,0.6371655602699423,-0.4342638739085451,-0.9179857498925312
24,1,-0.3303100180223843,-0.7457518363058164,-0.3870915698066884,-0.2643086447188821,-0.5565195769351093,-0.362813092727514,-0.6720914141303133,0.4850394444928821,-0.5835678081278297,-1.2833759244499312
25,1,-0.3303100241819752,-0.6838939109659458,-0.3870915485251982,-0.2643087738939971,-0.6773885528005781,-0.3628131661172599,-0.7140601937813655,-0.1234650186153576,-0.3942477293768,0.1019294330024735
