f_id,i_id,ic.eps.ratio,ela_distr.skewness,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ic.eps.s,ic.eps.max,disp.diff_median_25,ela_meta.lin_w_interact.adj_r2,nbc.nn_nb.mean_ratio,disp.diff_median_02
1,1,1.394006141049445,-0.2273514556674744,-0.7091399635591878,0.0464140385259931,1.3140107630177835,0.7559982938912223,-0.1511532645550319,1.175404148482632,0.4935220013216722,0.0355443952501596
2,1,1.566749564563339,-0.2773797252503877,-0.7091399635591878,5.24016683973605,1.4716590968705825,4.610042647261666,-1.575863839969197,0.4518120619848473,1.3660087281599775,-1.5902008612894007
3,1,1.3215518820409593,-0.1752189927716317,-0.7091399635591878,0.015120029995887,1.2814004204485088,0.1002409053330488,1.0264009063951582,0.5496080141085327,-0.2754967482954288,1.10820211532594
4,1,-0.0882860813781057,-0.2035059763457351,-0.7091399635591878,-0.2643009226644159,-0.0939088730372148,-0.3870866410049144,-0.8914678065275053,0.3412814115879612,0.9633225465422977,-1.0714765414717666
5,1,-1.4034296962966444,-0.4388811630235054,1.4275086135387989,-0.2643087723305949,-1.4420383556054992,-0.38709156939758,1.3931042918197016,-1.770066255963788,-1.8303128384303653,1.2451874439148087
6,1,-1.141503235570615,-0.3594064564083439,1.4275086135387989,-0.2643087720863732,-1.1974200573485472,-0.3870915685739101,0.497046858495847,-1.200270140919278,-0.7285187026153195,0.4487439025651054
7,1,-0.6288399461283178,-0.2999307882775843,0.3590374359084704,-0.2643085358610809,-0.6810036499172036,-0.3870915032896912,-1.1871285135657823,0.927567328242642,1.2597443191219777,-1.403342610387366
8,1,-0.8071503507415958,-0.3270092409984892,1.4275086135387989,-0.2643087225363771,-0.8658317946874415,-0.3870915543572317,-1.3446824158803037,0.2668324062984778,0.4935220013216722,-1.0987292155965176
9,1,-0.790449407443443,-0.2968082390172897,1.6945529634057128,-0.2643087084232564,-0.8440825154218384,-0.3870915517121126,-1.349783227519215,0.1758935993988241,0.6641043421458285,-1.0736820652324688
10,1,-0.4505017066095429,-0.3645350441914605,-0.7091399635591878,-0.2643087254329565,-0.517924784412569,-0.3870912867113544,1.355895511762703,-1.6595356055669015,-1.8834450429493652,1.1720879608887504
11,1,-0.4505017066095429,-0.3639522501251972,-0.7091399635591878,-0.2643087381902316,-0.5124942527607329,-0.3870912733652217,1.102593014164313,-1.6652498932535946,-1.69049124759089,0.977825097630561
