f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.min,ela_distr.skewness,ic.eps.s,ela_level.mmce_qda_50,pca.expl_var.cov_init
1,1,0.6996749960282974,0.7559982978930341,1.394926763591835,0.5800180903058809,0.8458811078165024,0.046414271341215,-0.2225271849647457,1.316033097546384,-0.6913566237208131,-0.7091399635591878
2,1,0.6996749960282974,4.610042642823409,1.567570063475566,5.0146415773786455,4.674828049024363,5.240166748988911,-0.2725197911318566,1.4734972478222306,-0.3552540219960224,-0.7091399635591878
3,1,0.6996749960282974,0.1002409107709201,1.322514499718591,-0.0104262947037886,-0.2745488968289425,0.0151202647606747,-0.1704318854910352,1.2834608542667956,-0.7371728992941197,-0.7091399635591878
4,1,0.6996749960282974,-0.3870866344998322,-0.0865063090327766,-0.3303062484993744,-0.3628091096653356,-0.2643006704921567,-0.198698704257013,-0.0902416389508922,-0.4196066533356287,-0.7091399635591878
5,1,-1.648915742287462,-0.3870915628924871,-1.4008876549732427,-0.3303102333184283,-0.3628131420216139,-0.2643085201578467,-0.4339061001392585,-1.436796075946375,2.216752776218452,1.4275086135387989
6,1,-1.6489157422874623,-0.3870915620688171,-1.1391130091617845,-0.3303102240530859,-0.3628131418756848,-0.2643085199136251,-0.3544880482821252,-1.19246356994653,1.0318249774217916,1.4275086135387989
7,1,0.2052418642901367,-0.3870914967845984,-0.6267468639380394,-0.330310134202762,-0.3628130648395127,-0.2643082836883474,-0.2950547782894654,-0.6766505017246349,-0.5836359147392985,0.3590374359084704
8,1,-1.5420221016606692,-0.3870915478521388,-0.8049539182492191,-0.3303101839647897,-0.3628131350917815,-0.2643084703636321,-0.3221139277219151,-0.8612627082226865,-0.0499287656945218,1.4275086135387989
9,1,-1.5069246890703492,-0.3870915452070197,-0.7882626549668733,-0.3303101726246992,-0.3628131337468914,-0.2643084562505122,-0.2919344549860859,-0.839538839057865,-0.1177788226504109,1.6945529634057128
10,1,0.4901581223902644,-0.3870912802062621,-0.4485119908547222,-0.3303098126699739,-0.3628131215014549,-0.2643084732602113,-0.3596129800731375,-0.513762164391405,1.789017623347048,-0.7091399635591878
11,1,0.4921598759600545,-0.3870912668601294,-0.4485119908547222,-0.3303097949235916,-0.3628131199295639,-0.2643084860174856,-0.3590306014605224,-0.5083379773340214,1.8425282352761772,-0.7091399635591878
12,1,-1.649849893953364,-0.3870915599125428,-0.9943163001874336,-0.3303101675495675,-0.3628131419783756,-0.2643085200368837,-0.2935038120895538,-1.045847793785451,2.2111568952323992,1.4275086135387989
13,1,-1.6470474389556575,-0.3870915620688171,-1.144676763589233,-0.3303101582599025,-0.3628131410073164,-0.264308519543849,-0.2874286836148013,-1.176163887839092,-0.6224573390800392,1.4275086135387989
14,1,-1.4901099590841125,-0.3870915478521388,-0.8049539182492191,-0.3303101325070805,-0.3628131342035955,-0.2643085020411151,-0.2941658846175793,-0.8558114002300158,-0.3234274488878477,1.6945529634057128
15,1,0.6996749960282974,-0.3825659441946478,0.876969045168504,-0.3140984384359895,-0.313424164296852,-0.2419428058428491,0.4494948218846967,1.1151212089408948,-0.1303695548690295,-0.7091399635591878
16,1,-1.6523854484750982,-0.3870915629527556,-1.484427427701384,-0.3303101307340138,-0.3628131420216139,-0.2643085201581965,-0.3562045326140432,-1.4422202630037586,2.201713846068436,1.4275086135387989
17,1,0.6996749960282974,0.0890104220672229,1.322514499718591,-0.0069384977223306,-0.216333973438048,-0.0622372062151634,-0.0955379959087428,1.2943092283815627,-0.8504894892616869,-0.7091399635591878
18,1,0.6996749960282974,0.8099256419121431,1.4060542724467322,0.3230845353032784,0.0893193124145588,-0.1382754722284199,-0.2404215341249905,1.30515760249633,-0.4612260181693957,-0.7091399635591878
19,1,0.6983404936484374,-0.3870905348987465,-0.2870240185980255,-0.3303094261143467,-0.3628111432941675,-0.2643081826778517,-0.1755813384867891,-0.2585541633415059,-0.4913038784694289,-0.7091399635591878
20,1,0.6996749960282974,1.7924274046435678,1.500749372801908,1.0122726800918045,1.4393714171611645,0.3235482596996969,-0.1586371860102846,1.4463491916000255,-0.6801648617487084,-0.7091399635591878
21,1,0.6996749960282974,0.2555154665080547,1.3531568772277642,0.2380210635649526,1.2113122461120265,0.033916606196388,-0.1649452659300831,1.3214572846037675,-0.7368231567324921,-0.7091399635591878
22,1,0.6996749960282974,-0.387075223623329,0.3618210227310346,-0.3299729354969449,-0.3612918789975712,-0.2640618255359558,0.1676358339813948,0.6427558790486426,-0.3667955265297563,-0.7091399635591878
23,1,0.6914010812731649,-0.3870910480853398,-0.3594084636991323,-0.3303096269826921,-0.3628125170458502,-0.2643078883977315,-0.2181194984124277,-0.37802188328038,-0.3881298227890822,-0.7091399635591878
24,1,0.5443389190125837,-0.3870915434860181,-0.7214141455210779,-0.330309990755905,-0.3628130630379184,-0.2643083699078005,-0.0299682944294762,-0.5300347255635558,-0.672120782831257,-0.7091399635591878
25,1,-0.0439097300297405,-0.3870915222045281,-0.6601572092748683,-0.3303099969154958,-0.3628131364276636,-0.2643084990829066,-0.1219105516084254,-0.64950244550243,-0.7140898902266523,1.1604642636718838
26,1,0.6130657915753781,-0.3870914852130392,-0.5654899276918297,-0.3303099514742261,-0.3628130436905973,-0.2643083712020167,-0.0419223817410478,-0.4648902390043786,-0.1510043660050987,-0.7091399635591878
28,1,0.6992746453143394,-0.3870909983571002,-0.3538447092716836,-0.33030932078133,-0.3628125914075556,-0.2643036562490121,5.208355677609494,-0.3345741449507373,-0.7109422071719976,-0.7091399635591878
29,1,0.6996749960282974,-0.3044993255459513,1.0997417724435474,-0.2468856366175371,-0.2388717703324099,-0.1459749348953278,-0.0703976307473299,1.0988486477687438,-0.5479621734532125,-0.7091399635591878
30,1,0.6996749960282974,-0.371380031852112,0.9131890864911946,-0.3141404373367075,-0.3256124258482992,-0.0491349968279897,0.0035767136571492,0.9576841796003354,-0.4909541359078005,-0.7091399635591878
