f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,pca.expl_var_PC1.cov_init,ic.eps.s,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.min,ela_distr.skewness,pca.expl_var.cov_init,ela_level.mmce_qda_50
1,1,0.7559982817655736,0.5800180693133068,1.3912695740076884,0.6457556295852903,1.3111157149772124,0.8458810896431126,0.0464140191850754,-0.2300516927671859,-0.6559690833927628,-0.6831851925789078
2,1,4.610042660709792,5.014641594423392,1.565523500712647,0.6457556295852903,1.4703474749425132,4.674828067275988,5.240166847275184,-0.2801132736724592,-0.6559690833927628,-0.3476012929035414
3,1,0.1002408888560771,-0.0104263207608113,1.3181817604058503,0.6457556295852903,1.2781778328348898,-0.274548925661054,0.0151200104930084,-0.1778845174719054,-0.6559690833927628,-0.7289307605887652
4,1,-0.3870866607155813,-0.3303062773001196,-0.1039841093341026,0.6457556295852903,-0.1109451216953285,-0.3628091393370721,-0.2643009436134259,-0.2061903359334891,-0.6559690833927628,-0.4118546098028833
5,1,-0.3870915891082795,-0.3303102621192076,-1.430627604170693,-1.7860831191848563,-1.4726152702101718,-0.3628131716933887,-0.2643087932796455,-0.4417222471748779,1.5820611845132777,2.220436166214714
6,1,-0.3870915882846096,-0.3303102528538652,-1.1664108058636256,-1.786083119184857,-1.2255400160717986,-0.3628131715474596,-0.2643087930354239,-0.3621946223278128,1.5820611845132777,1.0373370485246605
7,1,-0.3870915230003903,-0.3303101630035405,-0.6492646856490065,0.1337968498709091,-0.7039367017796778,-0.3628130945112868,-0.2643085568101303,-0.302679352324548,0.4628921917490443,-0.5756307273343575
8,1,-0.3870915740679311,-0.3303102127655686,-0.8291342722542215,-1.6754005328012616,-0.8906212677603533,-0.3628131647635562,-0.2643087434854275,-0.3297758352326874,1.5820611845132777,-0.0427472404409039
10,1,-0.3870913064220521,-0.3303098414707497,-0.4693670207442903,0.4288122330531503,-0.5392198656874291,-0.3628131511732295,-0.2643087463820069,-0.3673266249810083,-0.6559690833927628,1.7933611305196324
11,1,-0.3870912930759193,-0.3303098237243672,-0.4693670207442903,0.4308849406633301,-0.5337347895604811,-0.3628131496013385,-0.2643087591392821,-0.3667434428613269,-0.6559690833927628,1.846789160332672
12,1,-0.3870915861283352,-0.3303101963503463,-1.0202632569594507,-1.7870503827362736,-1.077278408360394,-0.3628131716501505,-0.2643087931586826,-0.3011262462584494,1.5820611845132777,2.214848921266945
13,1,-0.3870915882846096,-0.3303101870606813,-1.172026465763882,-1.784148592082022,-1.2090573623103198,-0.3628131706790911,-0.2643087926656478,-0.2950427359363003,1.5820611845132777,-0.6143922391595039
14,1,-0.3870915740679311,-0.330310161307859,-0.8291342722542215,-1.6216483154439352,-0.8851087662527706,-0.3628131638753702,-0.2643087751629128,-0.3017892322471397,1.8617765032987292,-0.3158238372631062
15,1,-0.3825659703704994,-0.3140984670977146,0.8684797155933117,0.6457556295852903,1.107948495235058,-0.3134241934987863,-0.2419430774555473,0.4428975020309471,-0.6559690833927628,-0.1230638865650811
16,1,-0.3870915891685481,-0.3303101595347922,-1.514946737573044,-1.7896758123758347,-1.4781003463371198,-0.3628131716933887,-0.2643087932799953,-0.3639134748910841,1.5820611845132777,2.2054204454175843
17,1,0.0890104000532654,-0.0069385237494372,1.3181817604058503,0.6457556295852903,1.2891479850887857,-0.2163340017163572,-0.0622374657024352,-0.1028872968808908,-0.6559690833927628,-0.8420724707810842
18,1,0.809925626260618,0.3230845121068951,1.4025008938082013,0.6457556295852903,1.3001181373426818,0.0893192870439486,-0.1382757368462853,-0.247970730739288,-0.6559690833927628,-0.453409744101914
19,1,-0.38709056111453,-0.3303094549151191,-0.3063724921393461,0.6443738245118373,-0.2811470339145253,-0.3628111729659233,-0.2643084557996278,-0.183041075161719,-0.6559690833927628,-0.4834411856961715
20,1,1.7924273976631055,1.0122726628068297,1.4980794253105665,0.6457556295852903,1.4428946689271385,1.4393714046336856,0.323548026242851,-0.1660735448585705,-0.6559690833927628,-0.6720107026833707
21,1,0.2555154459635863,0.2380210396389501,1.3491100073065128,0.6457556295852903,1.3166007911041602,1.2113122314150062,0.0339163531969829,-0.1723903280285921,-0.6559690833927628,-0.7285815577795303
22,1,-0.3870752498389773,-0.3299729642948312,0.3485257654285643,0.6457556295852903,0.6302806407197906,-0.3612919086548742,-0.2640620986411092,0.1606496336235092,-0.6559690833927628,-0.3591249856083148
23,1,-0.3870910743011278,-0.3303096557834662,-0.3794322274416828,0.637188438129881,-0.4019558356105551,-0.3628125467176191,-0.2643081615194877,-0.2256379249350716,-0.6559690833927628,-0.3804263569716835
24,1,-0.3870915697018104,-0.3303100195566823,-0.7448151388518706,0.484913519035347,-0.5556750940682731,-0.3628130927096925,-0.2643086430295892,-0.0372271289639315,-0.6559690833927628,-0.6639790380709523
25,1,-0.3870915484203202,-0.3303100257162732,-0.6829867233500466,-0.1241861573427883,-0.676483895764303,-0.3628131660994384,-0.264308772204704,-0.1292962387637217,1.3023458657278255,-0.7058833751792187
26,1,-0.3870915114288311,-0.3303099802750031,-0.5874362701471827,0.5560764803181829,-0.4897993297836275,-0.3628130733623712,-0.2643086443238054,-0.0491977093152844,-0.6559690833927628,-0.1436668523099786
27,1,-0.3870909102367754,-0.3303094483652876,-0.3288351317403719,0.6438211024824558,-0.297629687676004,-0.362812403029663,-0.2643013260235347,-0.090247591781693,-0.6559690833927628,-0.3165222428815774
28,1,-0.3870910245728877,-0.3303093495821015,-0.3738165675414263,0.6453410880632544,-0.3580203758337016,-0.3628126210793252,-0.2643039293704827,5.208324152312993,-0.6559690833927628,-0.7027405498960987
29,1,-0.3044993510328266,-0.2468856647027544,1.093330737999581,0.6457556295852903,1.091493266854214,-0.2388717988251226,-0.1459752000327055,-0.0777122455881225,-0.6559690833927628,-0.5400120407923311
30,1,-0.3713800579292425,-0.3141404659987928,0.9050376615439812,0.6457556295852903,0.948744160650392,-0.3256124551661812,-0.0491352554312051,-0.0036358388702889,-0.6559690833927628,-0.4830919828869359
