f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cov_init,disp.diff_mean_10,ela_level.lda_mda_50,ic.eps.max,ic.h.max,disp.diff_median_05,ela_level.lda_qda_50,disp.ratio_mean_10
1,1,1.52645847246044,1.4317259605214463,-0.7091399635591878,-0.1222803787349802,0.0297314104660225,1.8846141240271632,0.1774337994837483,-0.0539364967817181,0.0647890230234282,-0.1221684431456547
3,1,1.4507316616009798,1.3978424957991795,-0.7091399635591878,1.0972923061929891,2.3466149151273457,0.5533289812443294,-0.642912076218225,1.0741060888187028,2.497104114843485,1.0970068127686547
4,1,-0.0227846542006637,-0.0311594789281776,-0.7091399635591878,-1.0337514034276627,-0.2884967389662554,-0.4360185021824465,-0.0915999135365757,-1.0841560696481287,-0.2185070106156876,-1.033803994865364
5,1,-1.3973295483565578,-1.4319205309353105,1.4275086135387989,1.3193473859201574,-0.4872171656474685,-0.4360285075534084,1.229562566403232,1.308955112243454,-0.6495373187316797,1.3194239202665354
6,1,-1.123572617819668,-1.1777522264532911,1.4275086135387989,0.4749890627946991,-0.4586775299006986,-0.4360285058812356,1.1534053307174796,0.4553464584564764,-0.5110171761005663,0.4750626788393953
7,1,-0.5877537924606422,-0.6411746947690281,0.3590374359084704,-1.3708243102290156,-0.3751566542444666,-0.4360283733445505,0.5135189917491378,-1.4226365966704222,-0.4067957918117063,-1.370175546328208
8,1,-0.7741179685519616,-0.8332186118085558,1.4275086135387989,-1.365786657309147,-0.4766629456939773,-0.4360284770192619,1.0921484237528514,-1.268230424796268,-0.5326195387222372,-1.3660567110041737
9,1,-0.7566626913657625,-0.8106202310903743,1.6945529634057128,-1.3492835339729443,-0.3491955153300367,-0.4360284716492761,0.9837071425046582,-1.2555194962386649,-0.3034989023568692,-1.3495813697080346
10,1,-0.4013605242406792,-0.4717291584476819,-0.7091399635591878,1.2692337143509629,-0.4894913678225759,-0.4360279336582778,1.2800581248470466,1.2381182790154597,-0.6439287167386069,1.2693114238241112
11,1,-0.4013605242406792,-0.4660866164456391,-0.7091399635591878,1.0566279599231931,-0.4884663752929501,-0.4360279065636411,1.2933028614880475,1.02284378349337,-0.6474417971078943,1.056504932082312
12,1,-0.9721480882293908,-1.0252343161380733,1.4275086135387989,1.2878749270652057,-0.4873933362384979,-0.4360285015036777,1.2568798357252964,1.2357254051790345,-0.6481505764806454,1.287846182782269
13,1,-1.1293910435484011,-1.1607963877371523,1.4275086135387989,-1.5377226457221824,-0.4068513451214912,-0.4360285058812356,0.5317305046305153,-1.572064986812716,-0.4309559234741741,-1.5376748495056258
14,1,-0.7741179685519616,-0.8275478570965028,1.6945529634057128,-1.7432800218580855,-0.3486670035569483,-0.4360284770192619,0.7072232651237721,-1.691149837945407,-0.2532680163749526,-1.7436166157073676
15,1,0.9847921292440376,1.2227262047657803,-0.7091399635591878,-1.4060743313057522,-0.3160594287082258,-0.4268408277000792,-1.6122612391314548,-1.4715146589035557,-0.2721277109890219,-1.405872119136512
16,1,-1.4846932106734845,-1.4375630729373532,1.4275086135387989,0.8194301128392598,-0.4867527159074818,-0.4360285076757625,0.2444852787288137,0.7810923223745478,-0.6462707703181318,0.8189854283963038
17,1,1.4507316616009798,1.409127579803265,-0.7091399635591878,0.6324462026058739,3.6212411722419255,0.5305294168764204,-0.5386097751703458,0.5507010783420916,3.1474245975897346,0.6322648937067241
18,1,1.5380953239179065,1.4204126638073509,-0.7091399635591878,0.0718467553266863,-0.1797994843010883,1.99409466254988,0.5400084650311398,0.2235527184874318,0.8450318464443766,0.0721032896379879
19,1,-0.2324807174642026,-0.2062475572515667,-0.7091399635591878,-0.2834419142112765,-0.1599082230230366,-0.4360264205730397,-1.4524966033993847,-0.2474938821472511,-0.4028512805198748,-0.2834894933370195
20,1,1.6371249298209425,1.5672880321205258,-0.7091399635591878,0.8152921375790987,2.5702714881933626,3.988719542374098,-0.4185793493612765,0.8718769631929412,1.2616708516440776,0.8148665930722679
21,1,1.4827766413019767,1.4373685025234892,-0.7091399635591878,0.5703901230658016,-0.4754297515567711,0.8685594508731195,-0.6925798386219771,0.6911405483738823,-0.639028894118285,0.5704823638462024
22,1,0.446064091020645,0.7313454345178801,-0.7091399635591878,-0.0916723691976388,-0.214985555982151,-0.4359953364039844,-3.0468317765598307,0.0584638429485864,-0.4176123813697756,-0.0919636507693996
23,1,-0.3081784361950195,-0.33052454484656,-0.7091399635591878,-0.6757691206555148,-0.2540473806658614,-0.4360274624182411,0.2784249163713777,-0.5974015145236559,-0.2536378143085619,-0.6754653216743336
24,1,-0.686754306235035,-0.4886567844538104,-0.7091399635591878,-1.3073672266224712,-0.4591740106572361,-0.4360284681553867,-0.5137758939684688,-1.3123961006824636,-0.4914178856192786,-1.3077065439136806
25,1,-0.622693438961684,-0.6129337720488037,1.1604642636718838,0.1697896759737098,0.3821686855745633,-0.4360284249507929,0.0151857756314925,0.1794819807877127,2.33014034781893,0.1702688648608179
26,1,-0.5236929251872914,-0.420889855009276,-0.7091399635591878,-0.1593216255137247,-0.2322662894113119,-0.4360283498525624,-0.4376186582827164,-0.5039542891118008,-0.0628220805662137,-0.1592379610619687
27,1,-0.2557544203791347,-0.2232033959677054,-0.7091399635591878,0.0085387147059366,-0.225491729410816,-0.4360271293431783,-0.7894319753092943,-0.1285082845731497,-0.2450708288466152,0.0089478146694532
28,1,-0.3023600104662864,-0.285327783410197,-0.7091399635591878,1.1679901690366987,-0.4118321681951418,-0.4360273614625098,0.2809083044915668,1.3178339903650864,-0.4523117541401055,1.1683999583852582
29,1,1.2177618954225085,1.2057985787596517,-0.7091399635591878,1.199161832047592,-0.4184465731128837,-0.2683539671701353,-0.3680837909174619,1.168425019397299,-0.42476180808622,1.199291223315519
30,1,1.0226700807380895,1.058951423156487,-0.7091399635591878,0.486324459332521,-0.4595583828558457,-0.4041317599830641,-0.9732026962031772,0.4312990473591265,-0.5925268039669279,0.4860462397034885
