f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.ratio,ic.eps.s,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_level.mmce_qda_50
1,1,0.6997709232301093,1.4738687650331397,1.392441960055271,0.5824138589077567,0.0504526903678844,0.7581031269032015,-0.7091399635591878,0.8490716790743118,-0.2220881992415811,-0.7014608624035684
2,1,0.6997709232301093,1.6501425124181532,1.5532600211119163,5.013378588503608,5.2399065401802645,4.608373116818235,-0.7091399635591878,4.67313988761166,-0.2720791559202287,-0.3642112199523891
3,1,0.6997709232301093,1.399933772373908,1.3591759436362167,-0.007543383774125,0.0191845843839445,0.1029879381995324,-0.7091399635591878,-0.2699307062928774,-0.1699946186339603,-0.7474334983672567
4,1,0.6997709232301093,-0.0387167762968868,-0.0437857529845451,-0.3271594226790608,-0.2600050871313066,-0.3838623559033588,-0.7091399635591878,-0.3580784605367427,-0.1982605047461914,-0.4287834719929896
5,1,-1.648925550924001,-1.380737726417276,-1.4190211528230638,-0.3271634042104654,-0.2600129303001927,-0.3838672794695243,1.4275086135387989,-0.3580824877551101,-0.4334601400431075,2.216573244757259
6,1,-1.6489255509240013,-1.1134583253710335,-1.1694844817828782,-0.3271633949527674,-0.2600129300561732,-0.383867278646661,1.4275086135387989,-0.3580824876093669,-0.3540447085566722,1.0276015604444646
7,1,0.2053155316316673,-0.5903178356293021,-0.6426848429202642,-0.3271633051765739,-0.2600126940264082,-0.3838672134263767,0.3590374359084704,-0.3580824106713521,-0.2946133995438594,-0.5933725274660417
8,1,-1.5420270978415849,-0.7722723354276261,-0.8312292007591525,-0.3271633548975458,-0.2600128805471904,-0.3838672644439054,1.4275086135387989,-0.3580824808341075,-0.3216716561691875,-0.0578439589119319
9,1,-1.506928105131628,-0.7552300781876956,-0.8090426236137213,-0.3271633435668113,-0.2600128664457513,-0.3838672618013767,1.6945529634057128,-0.358082479490931,-0.2914931791944503,-0.1259255724764781
10,1,0.4902446169387317,-0.4083349320689115,-0.4763270622268072,-0.3271629839090644,-0.2600128834413722,-0.3838669970601406,-0.7091399635591878,-0.3580824672610973,-0.359169471252362,1.7873783303787028
11,1,0.4922464606294137,-0.4083349320689115,-0.4707873425899954,-0.3271629661773236,-0.2600128961880879,-0.3838669837270781,-0.7091399635591878,-0.3580824656912092,-0.3585871118551245,1.841071561695072
12,1,-1.6498597446463192,-0.9656167438146368,-1.0197458599998566,-0.3271633384958669,-0.2600129301793298,-0.3838672764924984,1.4275086135387989,-0.3580824877119269,-0.2930624845175323,2.2109582663189458
13,1,-1.6470571634793645,-1.1191390777843435,-1.1528376242742588,-0.3271633292138662,-0.2600129296867032,-0.383867278646661,1.4275086135387989,-0.3580824867421049,-0.2869875564895078,-0.6323264403818387
14,1,-1.4901126181298996,-0.7722723354276261,-0.8256617825241566,-0.3271633034822914,-0.2600129121984555,-0.3838672644439054,1.6945529634057128,-0.3580824799470532,-0.2937245352007075,-0.3322760300844835
15,1,0.6997709232301093,0.9450191191160316,1.1872507447077636,-0.3109649847647268,-0.2376657270487324,-0.3793460928150403,-0.7091399635591878,-0.3087564400272609,0.4499116344780248,-0.1385592739626824
16,1,-1.652395413321183,-1.466034223903128,-1.4245608724598755,-0.3271633017106875,-0.2600129303005422,-0.3838672795297339,1.4275086135387989,-0.3580824877551101,-0.3557611362537932,2.2014829902042927
17,1,0.6997709232301093,1.399933772373908,1.37025538290984,-0.0040584643770484,-0.0581088614040477,0.0917684477738959,-0.7091399635591878,-0.2117899586617987,-0.0951032001492224,-0.8611368117430965
18,1,0.6997709232301093,1.4852302698597597,1.3813348221834638,0.3256922852758784,-0.1340841940741693,0.8119776586235548,-0.7091399635591878,0.0934738726764376,-0.239981957984067,-0.4705448741279431
19,1,0.6984363607696548,-0.2434510932725845,-0.215683253314814,-0.3271625976723624,-0.2600125930995142,-0.383866252482522,-0.7091399635591878,-0.3580804915743841,-0.1751439017253232,-0.5007253832338759
20,1,0.6997709232301093,1.5819166759342984,1.5255337243296738,1.0143118198351266,0.3273573077885719,1.7935172345911905,-0.7091399635591878,1.4418057803528157,-0.1582003083151721,-0.6902309055269429
21,1,0.6997709232301093,1.4312205162902136,1.3979816796920828,0.2406989946057182,0.0379653689603647,0.2581104299628904,-0.7091399635591878,1.214037195656973,-0.1645081801020916,-0.7470825622148629
22,1,0.6997709232301093,0.4190382531676448,0.7048242601360116,-0.326826384674372,-0.2597664398559889,-0.3838509562017915,-0.7091399635591878,-0.3565631630801044,0.1680619464129286,-0.3757921129814099
23,1,0.6914966359752905,-0.3173576821697495,-0.3376955783155929,-0.3271627983749827,-0.260012299062956,-0.3838667651665397,-0.7091399635591878,-0.3580818635756723,-0.2176806581193312,-0.3971992182774785
24,1,0.5444278528331898,-0.6869758379417742,-0.4929462211372424,-0.3271631618480668,-0.2600127801745014,-0.3838672600820606,-0.7091399635591878,-0.3580824088720534,-0.0295356621192021,-0.6821593740218672
