f_id,i_id,ic.eps.max,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_distr.skewness,ic.eps.s,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,pca.expl_var.cov_init
1,1,0.7559982951041795,1.3941021767571409,0.6997503592192601,0.5800180930595971,0.8458811026050873,-0.2256461678553977,1.314801868764038,0.0464141826718865,-0.7096746463892777,-0.7091399635591878
2,1,4.610042645916421,1.5668337144916298,0.6997503592192601,5.0146415751427975,4.674828054258202,-0.507172656314891,1.4723652560171547,5.240166783549567,-0.3711970532857935,-0.7091399635591878
3,1,0.1002409069812787,1.3216529030344737,0.6997503592192601,-0.0104262912857408,-0.2745489050968577,0.0677213488740654,1.2822090978217382,0.0151201753488465,-0.7558146720880877,-0.7091399635591878
4,1,-0.3870866390332106,-0.0880880551111717,0.6997503592192601,-0.3303062447214174,-0.362809118174022,-0.0914593547785063,-0.0923591294875314,-0.2643007665336883,-0.4360044176261068,-0.7091399635591878
5,1,-0.387091567425873,-1.4031411802931149,-1.648923431432226,-0.3303102295404667,-0.3628131505303112,-1.415997467496328,-1.4397621913403127,-0.2643086161995645,2.218984236706946,1.4275086135387989
6,1,-0.387091566602203,-1.141232741672177,-1.648923431432226,-0.3303102202751244,-0.3628131503843821,-0.9687656271538712,-1.1952757022319198,-0.2643086159553428,1.0256834193972637,1.4275086135387989
7,1,-0.3870915013179842,-0.6286047265265403,0.2052997430272176,-0.3303101304248006,-0.3628130733482098,-0.634075338298594,-0.679137558558646,-0.2643083797300596,-0.6011927539065793,0.3590374359084704
8,1,-0.3870915523855247,-0.8069028623188602,-1.542026010765606,-0.3303101801868282,-0.3628131436004788,-0.7864552181343025,-0.863866111268251,-0.2643085664053486,-0.0637142866059374,1.4275086135387989
9,1,-0.3870915497404056,-0.7902030681453679,-1.5069273570386137,-0.3303101688467378,-0.3628131422555887,-0.616503666609338,-0.8421285512975746,-0.2643085522922284,-0.1320437903125722,1.6945529634057128
10,1,-0.3870912847396476,-0.4502787577439313,0.4902260765144,-0.3303098088920129,-0.3628131300101522,-0.997625975940154,-0.5161465658197174,-0.2643085693019279,1.7882265922058416,-0.7091399635591878
11,1,-0.3870912713935149,-0.4502787577439313,0.4922279008714528,-0.3303097911456306,-0.3628131284382612,-0.9943463908508036,-0.5107189603339056,-0.2643085820592025,1.8421153245105584,-0.7091399635591878
12,1,-0.3870915644459287,-0.9963620272171309,-1.6498576161321836,-0.330310163771606,-0.362813150487073,-0.6253412853764294,-1.0485675259504266,-0.2643086160786015,2.2133488137208315,1.4275086135387989
13,1,-0.387091566602203,-1.1467993397300076,-1.6470550620323097,-0.3303101544819411,-0.3628131495160137,-0.5911300346022592,-1.1789657477470552,-0.2643086155855668,-0.6402885008727466,1.4275086135387989
14,1,-0.3870915523855247,-0.8069028623188602,-1.49011203243937,-0.3303101287291191,-0.3628131427122928,-0.629069655793796,-0.85841136775501,-0.2643085980828325,-0.339145585052269,1.6945529634057128
15,1,-0.3825659487211269,0.8758797305633846,0.6997503592192601,-0.3140984346762684,-0.3134241726708177,3.5587533716167083,1.1137633615695683,-0.2419429013539049,-0.1447234920313292,-0.7091399635591878
16,1,-0.3870915674861416,-1.486723650131444,-1.652393260317784,-0.3303101269560524,-0.3628131505303112,-0.9784317726803774,-1.4451897968261247,-0.2643086161999142,2.203839037431764,1.4275086135387989
17,1,0.0890104182604421,1.3216529030344737,0.6997503592192601,-0.0069384943082071,-0.2163339815471545,0.4894759913645166,1.2930643087933615,-0.0622372974624199,-0.8699319875569003,-0.7091399635591878
18,1,0.80992563920559,1.4052353728728026,0.6997503592192601,0.3230845383460803,0.0893193051392654,-0.326415734969225,1.3039195197649855,-0.1382755652798044,-0.4779178760853312,-0.7091399635591878
19,1,-0.3870905394321309,-0.2887082491153929,0.6984158096478917,-0.3303094223363861,-0.3628111518028594,0.0387229122945468,-0.2607777277122718,-0.2643082787195615,-0.5082082746356951,-0.7091399635591878
20,1,1.7924274034364638,1.499978871817082,0.6997503592192601,1.0122726823591743,1.4393714135687734,0.1341415774204867,1.4452000905606668,0.3235481776058101,-0.69840380041705,-0.7091399635591878
21,1,0.2555154629553862,1.3523109418379762,0.6997503592192601,0.2380210667034628,1.2113122418974966,0.0986184926105764,1.3202294742498497,0.0339165172305326,-0.7554624581514563,-0.7091399635591878
22,1,-0.38707522815669,0.3604684163888326,0.6997503592192601,-0.3299729317193629,-0.3612918875021186,1.971503232267772,0.6411003378376471,-0.2640619215718204,-0.3828201131946541,-0.7091399635591878
