f_id,i_id,ic.eps.ratio,pca.expl_var_PC1.cov_init,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_level.mmce_qda_50,ic.eps.s,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max
1,1,1.5179495947567847,0.6997709232301093,0.8816496569121399,-0.7091399635591878,0.6371469620514552,-0.7080662088519957,1.4285545079694797,-0.2252100713652802,0.0667387464183706,0.9419653887920432
2,1,1.697772800618176,0.6997709232301093,4.969840848589457,-0.7091399635591878,5.148473183171,-0.3698463889134199,1.5921059017653028,-0.2752186211249903,5.264682144677648,4.914030033306249
3,1,1.442525842765615,0.6997709232301093,0.1860526855289812,-0.7091399635591878,0.0364900530778388,-0.75417109585715,1.3947230880678638,-0.1730981577100973,0.035419488211427,-0.2203438509126864
4,1,-0.0250934574083252,0.6997709232301093,-0.3308817344546089,-0.7091399635591878,-0.2889226516027773,-0.4346043981420339,-0.0320839472666565,-0.2013739913020069,-0.2442269161914839,-0.3119030384145494
5,1,-1.3941374197897332,-1.648925550924001,-0.3308869622645761,1.4275086135387989,-0.2889267053445971,2.2183623060171582,-1.4306934377872569,-0.436656399294718,-0.2442347721911927,-0.3119072214915294
6,1,-1.121476065107862,-1.6489255509240013,-0.3308869613908652,1.4275086135387989,-0.2889266959189983,1.025970266525072,-1.1769155344619782,-0.3572130195108989,-0.244234771946774,-0.3119072213401458
7,1,-0.5878015878994982,0.2053155316316673,-0.330886892140399,0.3590374359084704,-0.288926604514593,-0.5996669325345333,-0.6411621829975009,-0.2977607951184538,-0.2442345355308825,-0.3119071414245292
8,1,-0.7734199341366997,-1.5420270978415849,-0.3308869463104734,1.4275086135387989,-0.2889266551373214,-0.0625977907798335,-0.8329111216072438,-0.324828574228124,-0.2442347223567983,-0.3119072143026749
9,1,-0.756034513009269,-1.506928105131628,-0.3308869435046539,1.6945529634057128,-0.2889266436010889,-0.1308752570317417,-0.8103474518810201,-0.2946394766846473,-0.2442347082322903,-0.3119072129075157
10,1,-0.4021542659604176,0.4902446169387317,-0.3308866624041616,-0.7091399635591878,-0.2889262774204661,1.7879327120682733,-0.4719769141139818,-0.3623395857400979,-0.2442347252557148,-0.3119072002043715
11,1,-0.4021542659604176,0.4922464606294137,-0.3308866482472041,-0.7091399635591878,-0.2889262593671364,1.841780404524675,-0.4663430390262855,-0.3617570213958707,-0.2442347380232832,-0.3119071985737267
12,1,-0.9706575368274007,-1.6498597446463192,-0.3308869591035896,1.4275086135387989,-0.288926638438176,2.2127311747798872,-1.024631890841548,-0.2962093342859331,-0.2442347720701322,-0.311907221446675
13,1,-1.1272712054836722,-1.6470571634793645,-0.3308869613908652,1.4275086135387989,-0.2889266289878339,-0.6387329054930992,-1.159985739823451,-0.2901322683372056,-0.2442347715766996,-0.3119072204393196
14,1,-0.7734199341366997,-1.4901126181298996,-0.3308869463104734,1.6945529634057128,-0.2889266027895825,-0.3378193300014424,-0.8272490771441089,-0.2968716179614755,-0.2442347540598425,-0.3119072133812905
15,1,0.978451001470732,0.6997709232301093,-0.3260863961990263,-0.7091399635591878,-0.2724345058246702,-0.1435453023156009,1.21987577472121,0.4470262560790737,-0.2218510106293309,-0.2606721912700498
16,1,-1.4811514525325238,-1.652395413321183,-0.3308869623285062,1.4275086135387989,-0.2889266009858481,2.2032286408169925,-1.4363273128749534,-0.3589300512623053,-0.2442347721915427,-0.3119072214915294
17,1,1.442525842765615,0.6997709232301093,0.1741399048529935,-0.7091399635591878,0.0400381761647842,-0.8682015034118831,1.4059908382432562,-0.0981803830424848,-0.042000403725165,-0.159952980384945
18,1,1.529539875508405,0.6997709232301093,0.938853278115792,-0.7091399635591878,0.3757693981731257,-0.4764859367192352,1.417258588418649,-0.2431101273736915,-0.1181000262119299,0.1571249600661565
19,1,-0.2339503165525258,0.6984363607696548,-0.3308858718165742,-0.7091399635591878,-0.2889258841788432,-0.5067532671195656,-0.206903091237872,-0.1782492529643163,-0.2442344344388798,-0.3119051480560011
21,1,1.4744425783853896,0.6997709232301093,0.3507607205808274,-0.7091399635591878,0.2892346401195445,-0.7538191501548214,1.4341883830571758,-0.1676097883618519,0.0542309967108546,1.3210555477092998
22,1,0.4418789540744628,0.6997709232301093,-0.3308696303269355,-0.7091399635591878,-0.2885835735069518,-0.3814605970902909,0.7292497627091796,0.1650773779856398,-0.243987878507529,-0.3103290969665391
23,1,-0.3093450928418168,0.6914966359752905,-0.330886416181071,-0.7091399635591878,-0.2889260885214748,-0.4029292849323858,-0.3309891900443824,-0.2208009791179189,-0.2442341399213003,-0.3119065731555319
24,1,-0.6864059013939092,0.5444278528331898,-0.3308869416790954,-0.7091399635591878,-0.2889264585866311,-0.6887091952238773,-0.4888785393770706,-0.032589770138762,-0.2442346218199073,-0.3119071395555953
25,1,-0.6226014058562386,-0.0438472797352126,-0.3308869191046795,1.1604642636718838,-0.2889264648527603,-0.7309426795034082,-0.612964638183581,-0.1245613494515925,-0.2442347510992469,-0.3119072156884895
26,1,-0.5239970923618276,0.6131578195466036,-0.3308868798658267,-0.7091399635591878,-0.2889264186255231,-0.1643100987530367,-0.4212156995738383,-0.0445476698360563,-0.2442346231151679,-0.3119071194851133
27,1,-0.2571308780557667,0.6979025357854727,-0.3308862421492295,-0.7091399635591878,-0.2889258775157236,-0.3385232214061013,-0.2238328858763992,-0.0855540674133931,-0.2442272989101396,-0.3119064240968341
28,1,-0.3035499524660066,0.6993705544919729,-0.3308863634316646,-0.7091399635591878,-0.2889257770239513,-0.7277751681824434,-0.2858618505919353,5.207404803009374,-0.2442299043575935,-0.3119066502967159
29,1,1.210488422118173,0.6997709232301093,-0.2432769539196592,-0.7091399635591878,-0.2040591688603485,-0.5637684708969322,1.2029741494581212,-0.0730320001406367,-0.125805701696435,-0.1833331910757458
30,1,1.0161773653172563,0.6997709232301093,-0.3142209000560505,-0.7091399635591878,-0.2724772311524505,-0.5064013214172361,1.0563525503008253,0.0009659360887221,-0.028887621959039,-0.2733160235116434
