f_id,i_id,pca.expl_var_PC1.cov_init,ic.eps.ratio,ela_meta.lin_simple.intercept,ic.eps.s,ela_distr.skewness,ela_meta.lin_simple.coef.min,pca.expl_var.cov_init,ic.eps.max,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50
1,1,0.6997023938838479,1.3953753553624308,0.5800180901232954,1.3163980460635574,-0.2258169857990953,0.0464140285028888,-0.7091399635591878,0.7559983064087284,0.8458811372152123,-0.698777301423121
2,1,0.6997023938838479,1.5679792178161438,5.014641577526895,1.4738386221391822,-0.2758305070727357,5.240166843643071,-0.7091399635591878,4.610042633378995,4.674828019499337,-0.3618763151010506
3,1,0.6997023938838479,1.3229796328411587,-0.0104262949304227,1.283830679224628,-0.1736998915276794,0.0151200198888493,-0.7091399635591878,0.1002409223424886,-0.2745488501879145,-0.7447024098603647
4,1,0.6997023938838479,-0.0857193090345363,-0.3303062487498723,-0.0896661548791374,-0.2019785361129346,-0.2643009335208864,-0.7091399635591878,-0.3870866206572841,-0.3628090616660694,-0.4263818109213014
5,1,-1.648918523372931,-1.3998004068774357,-0.3303102335689264,-1.4360189971379669,-0.4372843343014122,-0.2643087831870864,1.4275086135387989,-0.387091549049916,-0.3628130940222857,2.2162400776278828
6,1,-1.6489185233729315,-1.138085559038338,-0.3303102243035841,-1.1917230705335398,-0.3578330567906813,-0.2643087829428648,1.4275086135387989,-0.387091548226246,-0.3628130938763566,1.0284975785028316
7,1,0.205262908774673,-0.6258364551594325,-0.3303101344532602,-0.6759872254797498,-0.2983749220576409,-0.2643085467175718,0.3590374359084704,-0.3870914829420276,-0.3628130168401857,-0.5908007105935709
8,1,-1.5420235091833363,-0.8040028010953794,-0.3303101842152879,-0.8605717934003106,-0.3254453920639988,-0.2643087333928686,1.4275086135387989,-0.3870915340095678,-0.3628130870924533,-0.0558257833017089
9,1,-1.5069256455979887,-0.7873153506486781,-0.3303101728751974,-0.8388511765493676,-0.2952532933233328,-0.2643087192797478,1.6945529634057128,-0.3870915313644487,-0.3628130857475633,-0.1238370125904516
10,1,0.49018282799413,-0.4476422968060747,-0.3303098129204721,-0.513123274410132,-0.3629601326686412,-0.264308736289448,-0.7091399635591878,-0.3870912663636924,-0.362813073502127,1.7874888744313249
11,1,0.4921846072860701,-0.4476422968060747,-0.3303097951740897,-0.5076998994161387,-0.3623775104097821,-0.2643087490467231,-0.7091399635591878,-0.3870912530175597,-0.362813071930236,1.8411265964992511
12,1,-1.649852687042503,-0.9933219264132048,-0.3303101678000656,-1.0451292444459015,-0.296823306989311,-0.2643087830661235,1.4275086135387989,-0.3870915460699717,-0.3628130939790474,2.210630904078296
13,1,-1.647050196033787,-1.1436480425205715,-0.3303101585104007,-1.17542582867659,-0.2907456368995283,-0.2643087825730887,1.4275086135387989,-0.387091548226246,-0.3628130930079881,-0.6297143520938309
14,1,-1.4901106995456928,-0.8040028010953794,-0.3303101327575787,-0.8551213015313475,-0.2974856565046455,-0.2643087650703538,1.6945529634057128,-0.3870915340095678,-0.3628130862042674,-0.3299741405377744
15,1,0.6997023938838479,0.8775359555838809,-0.3140984386852782,1.115516236286047,0.4464861708631097,-0.2419430674187541,-0.7091399635591878,-0.3825659303731664,-0.3134241170575717,-0.1364576530770223
16,1,-1.652388274145627,-1.4833210963631749,-0.3303101309845119,-1.4414423721319598,-0.3595502592378449,-0.2643087831874362,1.4275086135387989,-0.3870915491101845,-0.3628130940222857,2.201165423713368
17,1,0.6997023938838479,1.3229796328411587,-0.0069384979487045,1.2946774292126144,-0.0987746690384011,-0.0622374561137138,-0.7091399635591878,0.0890104336911263,-0.2163339276928905,-0.8582881742395018
18,1,0.6997023938838479,1.4065003223268984,0.3230845351015251,1.3055241792006012,-0.243718821310776,-0.1382757270679727,-0.7091399635591878,0.8099256501765324,0.0893193534560122,-0.4681000391963548
20,1,0.6997023938838479,1.5011737911945169,1.0122726799414663,1.4466946302942458,-0.1619002575693123,0.323548034869668,-0.7091399635591878,1.7924274083294316,1.4393714374266409,-0.6875589543239476
21,1,0.6997023938838479,1.353615010619561,0.2380210633568534,1.3218214210575503,-0.1682109765626386,0.0339163625459576,-0.7091399635591878,0.2555154773560332,1.2113122698871095,-0.7443518365135162
22,1,0.6997023938838479,0.3625056099638586,-0.329972935747418,0.6432216249341429,0.164509263307078,-0.2640620885491652,-0.7091399635591878,-0.387075209780834,-0.3612918310216538,-0.3734452355470739
23,1,0.691428372810496,-0.3585591238381013,-0.3303096272331902,-0.3774033151854503,-0.2214074552294144,-0.2643081514269302,-0.7091399635591878,-0.3870910342427712,-0.3628124690465316,-0.3948302097048743
24,1,0.5443643208293054,-0.7204821116096397,-0.3303099910064032,-0.5293933993921117,-0.0331775355567508,-0.2643086329370304,-0.7091399635591878,-0.3870915296434471,-0.3628130150385914,-0.6794957673464156
25,1,-0.0438918870954561,-0.6592391684702461,-0.330309997165994,-0.6488432336348134,-0.1251582580658936,-0.264308762112145,1.1604642636718838,-0.3870915083619571,-0.3628130884283355,-0.7215645689683182
26,1,0.6130920765192448,-0.564593512020039,-0.3303099517247243,-0.4642586657142525,-0.0451366240280689,-0.2643086342312468,-0.7091399635591878,-0.3870914713704685,-0.3628129956912706,-0.1571414805411243
27,1,0.6978340665447038,-0.3084411476631752,-0.3303094198150133,-0.2742507227996983,-0.0861470981858658,-0.2643013159309942,-0.7091399635591878,-0.387090870178421,-0.3628123253585791,-0.3306752872314729
28,1,0.6993020380254599,-0.3529966403558676,-0.3303093210318281,-0.3339620814835642,5.207337962636003,-0.2643039192779358,-0.7091399635591878,-0.3870909845145318,-0.3628125434082359,-0.7184094088466755
29,1,0.6997023938838479,1.1002577942125198,-0.2468856368618116,1.099246111304067,-0.0736237860533368,-0.1459751902351953,-0.7091399635591878,-0.3044993120882657,-0.2388717242404178,-0.5550422292149536
30,1,0.6997023938838479,0.9137477230532224,-0.3141404375859994,0.958102777085392,0.0003815065535323,-0.0491352458751524,-0.7091399635591878,-0.3713800180827578,-0.3256123784214535,-0.4978987736785358
