f_id,i_id,ic.eps.max,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,disp.ratio_mean_05
1,1,0.7559982813542857,1.315978671350712,1.3961337530056592,0.6463304788836871,-0.2323783691958918,0.0464140170167263,0.8458810894488334,0.580018067879671,-0.6548570506842823,0.0290882127219004
2,1,4.610042661165938,1.4773153682663542,1.5725452707664551,0.6463304788836871,-0.2824758839549386,5.240166848120415,4.674828067471104,5.014641595587425,-0.6548570506842823,-1.5606134801714924
3,1,0.1002408882971972,1.2826053725226574,1.3221409749309974,0.6463304788836871,-0.1801737486658637,0.0151200083065016,-0.2745489259692782,-0.0104263225403114,-0.6548570506842823,1.1206588021117665
4,1,-0.3870866613841446,-0.1248808547377969,-0.1176339806900679,0.6463304788836871,-0.2084998848466074,-0.2643009459620616,-0.3628091396542721,-0.3303062792669957,-0.6548570506842823,-0.9529567217750116
5,1,-0.387091589776844,-1.5045513683205802,-1.4607038149089049,-1.8069335369896613,-0.4442008592518933,-0.2643087956282858,-0.3628131720105892,-0.3303102640860861,1.5470030867191007,1.329178798927197
7,1,-0.3870915236689547,-0.7257113853457917,-0.6696661551848574,0.1298611806956788,-0.3050581603809663,-0.2643085591587705,-0.3628130948284872,-0.3303101649704189,0.4459216458094205,-1.3147073223108714
8,1,-0.3870915747364956,-0.9148637959391052,-0.8517628652679481,-1.69527580207776,-0.3321740929556361,-0.2643087458340678,-0.3628131650807566,-0.3303102147324471,1.5470030867191007,-1.1546313651596325
9,1,-0.3870915720913764,-0.8926056674118178,-0.8347072883010648,-1.6586141487920794,-0.3019312891348161,-0.264308731720947,-0.3628131637358666,-0.3303102033923565,1.8221977608425264,-1.139887527000966
10,1,-0.3870913070906165,-0.5588171032797657,-0.4875410191401552,0.4274757425395109,-0.369751836399056,-0.2643087487306472,-0.36281315149043,-0.3303098434376279,-0.6548570506842823,1.253879911188292
11,1,-0.3870912937444837,-0.5532595181293818,-0.4875410191401552,0.4295667113580859,-0.3691682356753147,-0.2643087614879224,-0.362813149918539,-0.3303098256912454,-0.6548570506842823,1.0511521365066236
12,1,-0.3870915867968996,-1.1039884186066664,-1.045258385957239,-1.8079093224383296,-0.3035039395061608,-0.2643087955073229,-0.3628131719673509,-0.3303101983172247,1.5470030867191007,1.2633580928617203
13,1,-0.387091588953174,-1.2375094018446378,-1.1989007084672465,-1.8049819660923248,-0.2974160624827132,-0.2643087950142881,-0.3628131709962916,-0.3303101890275597,1.5470030867191007,-1.4547737848182056
14,1,-0.3870915747364956,-0.9092784228629692,-0.8517628652679481,-1.6410500107160502,-0.3041674013815718,-0.2643087775115531,-0.3628131641925707,-0.3303101632747374,1.8221977608425264,-1.5758838839786824
