f_id,i_id,ic.eps.s,ic.eps.ratio,ic.eps.max,ela_distr.skewness,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,disp.ratio_mean_25
1,1,1.320891668586144,1.400522418242257,0.7559984015464134,-0.2266489618494636,0.5800181787037489,0.6997709232301093,-0.7091399635591878,0.0464142843660057,0.8458811858193481,-0.1267356986819917
2,1,1.4781763297096515,1.5729089378946026,4.610042527867231,-0.2766700954646772,5.014641505605954,0.6997709232301093,-0.7091399635591878,5.2401667439123445,4.67482797068702,-1.5915580348102332
3,1,1.288356553531144,1.3282178564222349,0.1002410516202474,-0.1745239350607346,-0.0104261849801399,0.6997709232301093,-0.7091399635591878,0.0151202778945319,-0.2745487730776856,1.0520683291366926
5,1,-1.4287996289264766,-1.391133658390099,-0.3870913944006297,-0.4381484968814906,-0.3303101120411515,-1.648925550924001,1.4275086135387989,-0.2643085060501194,-0.362813014666429,1.3830323716091777
6,1,-1.1847456309826805,-1.1297483619143378,-0.3870913935769598,-0.3586851264357405,-0.3303101027758095,-1.6489255509240013,1.4275086135387989,-0.2643085058058978,-0.3628130145204999,0.5168054950145179
7,1,-0.669520524212444,-0.618144282159761,-0.3870913282927448,-0.2992179418373964,-0.3303100129254889,0.2053155316316673,0.3590374359084704,-0.264308269580621,-0.3628129374843309,-1.1952183790098447
8,1,-0.8539222962185957,-0.7960862810145671,-0.3870913793602823,-0.3262925321228106,-0.3303100626875148,-1.5420270978415849,1.4275086135387989,-0.264308456255905,-0.3628130077365969,-1.3668293639955795
9,1,-0.8322231895083081,-0.779419843407186,-0.3870913767151633,-0.2960958379734916,-0.3303100513474247,-1.506928105131628,1.6945529634057128,-0.2643084421427851,-0.3628130063917069,-1.359678906287839
10,1,-0.5068178589165799,-0.4401745059089426,-0.3870911117144208,-0.3638129826837256,-0.3303096913927124,0.4902446169387317,-0.7091399635591878,-0.2643084591524842,-0.3628129941462709,1.3523875528617284
11,1,-0.5013998547442234,-0.4401745059089426,-0.3870910983682889,-0.3632302717464545,-0.3303096736463307,0.4922464606294137,-0.7091399635591878,-0.2643084719097585,-0.36281299257438,1.0980355572578713
12,1,-1.0382969782038856,-0.9851670156703064,-0.3870913914206855,-0.2976660906044536,-0.3303100462722931,-1.6498597446463192,1.4275086135387989,-0.2643085059291565,-0.3628130146231908,1.3646454803607104
13,1,-1.1684645284447497,-1.1353038411167984,-0.3870913935769598,-0.2915874954588157,-0.3303100369826285,-1.6470571634793645,1.4275086135387989,-0.2643085054361218,-0.3628130136521315,-1.317797653999656
14,1,-0.8484772020253775,-0.7960862810145671,-0.3870913793602823,-0.2983285409331406,-0.3303100112298074,-1.4901126181298996,1.6945529634057128,-0.264308487933388,-0.3628130068484109,-1.6610196239711252
15,1,1.1202087940420615,0.8833350818892075,-0.3825657759594931,0.4457565231659331,-0.3140983177442534,0.6997709232301093,-0.7091399635591878,-0.2419427918130712,-0.3134240389582744,-1.171724017970129
16,1,-1.4342176330988332,-1.4745491786150418,-0.3870913944608983,-0.3604025902508551,-0.3303100094567407,-1.652395413321183,1.4275086135387989,-0.2643085060504692,-0.362813014666429,0.8906722837334411
17,1,1.2991925618758564,1.3282178564222349,0.0890105635535673,-0.0995873085276794,-0.0069383881246547,0.6997709232301093,-0.7091399635591878,-0.0622371928116986,-0.2163338520637716,0.76809300874363
18,1,1.3100285702205696,1.4116333766471776,0.8099257425066493,-0.2445535221220336,0.3230846329811206,0.6997709232301093,-0.7091399635591878,-0.1382754585599452,0.0893194213086695,-0.1727029268031703
