f_id,i_id,ic.eps.ratio,ic.eps.max,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ic.eps.s,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_level.mmce_qda_50
1,1,1.3926774764133911,0.7559982882293949,0.5800180793475316,-0.2325705890056924,0.0464140186057294,0.84588108993578,1.3121087441508157,0.6896055604461341,-0.7091399635591877,-0.6563546754759115
2,1,1.5656376970527124,4.610042653540992,5.0146415862761735,-0.282671362488213,5.240166847501016,4.6748280669820605,1.470092302338644,0.6896055604461341,-0.7091399635591877,-0.299675234503324
3,1,1.3201322855780462,0.1002408976394598,-0.0104263083058327,-0.1803625726900014,0.015120009908811,-0.2745489251967367,1.2794290587592243,0.6896055604461341,-0.7091399635591877,-0.7049759104055775
4,1,-0.0914750581830901,-0.3870866502084114,-0.3303062635336701,-0.2086905514181317,-0.2643009442409414,-0.3628091388592332,-0.0988047004160549,0.6896055604461341,-0.7091399635591877,-0.3679676560839236
5,1,-1.4082692097729452,-0.3870915786010923,-0.3303102483527418,-0.4444068576078743,-0.2643087939071623,-0.3628131712155493,-1.4498008533657023,-1.6491191354835215,1.4275086135387989,2.4297947019299837
6,1,-1.146014025078132,-0.3870915777774223,-0.3303102390873994,-0.3648169715911907,-0.2643087936629406,-0.3628131710696202,-1.20466239733502,-1.6491191354835215,1.4275086135387989,1.1723233741306838
7,1,-0.632707330953895,-0.3870915124932033,-0.3303101492370751,-0.3052551078372928,-0.264308557437647,-0.3628130940334473,-0.6871478790480243,0.1972494607575509,0.3590374359084706,-0.5420391002214299
8,1,-0.8112415193869421,-0.387091563560744,-0.330310198999103,-0.3323728042385002,-0.2643087441129442,-0.3628131642857168,-0.8723690434614836,-1.542674537413196,1.4275086135387989,0.0243426135394114
9,1,-0.7945196160057638,-0.3870915609156248,-0.3303101876590125,-0.3021280331956493,-0.2643087299998234,-0.3628131629408267,-0.8505735164018124,-1.5077245632652616,1.6945529634057133,-0.0476613526923077
11,1,-0.4541452726818792,-0.3870912825687331,-0.3303098099579032,-0.3693693533386521,-0.2643087597667988,-0.3628131491234991,-0.5182801625282758,0.482962177176027,-0.7091399635591877,2.0326594242601925
12,1,-1.0009515132464102,-0.387091575621148,-0.3303101825838807,-0.303700785864138,-0.2643087937861993,-0.362813171172311,-1.057562997479113,-1.6500493629323256,1.4275086135387989,2.423856230488192
13,1,-1.1515879928718582,-0.3870915777774223,-0.3303101732942157,-0.2976125128388556,-0.2643087932931645,-0.3628131702012517,-1.1883089494413095,-1.6472586805859126,1.4275086135387989,-0.5832372458488567
14,1,-0.8112415193869421,-0.387091563560744,-0.3303101475413936,-0.3043642908961567,-0.2643087757904295,-0.3628131633975308,-0.8668997538996934,-1.4909804691867836,1.6945529634057133,-0.2659001781781363
15,1,0.8737689446564598,-0.3825659598793203,-0.3140984533977152,0.4409054491885879,-0.2419430780795967,-0.3134241930285133,1.1105341318436457,0.6896055604461341,-0.7091399635591877,-0.061022913436338
16,1,-1.4919623361957428,-0.3870915786613609,-0.3303101457683268,-0.3665371698223503,-0.264308793907512,-0.3628131712155493,-1.455242932531663,-1.6525742660076517,1.4275086135387989,2.413835059930169
17,1,1.3201322855780462,0.0890104088763728,-0.0069385113087582,-0.1053066377254454,-0.0622374662986252,-0.2163340012609584,1.2903132170911449,0.6896055604461341,-0.7091399635591877,-0.8252299571018504
18,1,1.4038254120008438,0.8099256325336862,0.3230845231945178,-0.2505036555655303,-0.1382757374542634,0.0893192874525214,1.3011973754230657,0.6896055604461341,-0.7091399635591877,-0.4121350374322461
