f_id,i_id,ic.eps.max,pca.expl_var_PC1.cov_init,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ela_distr.skewness,ic.eps.s,pca.expl_var.cov_init,ela_level.mmce_qda_50
1,1,0.7559982832289291,0.6954252190278101,1.3915340626254245,0.8458810917954682,0.0464140220818049,0.580018075478175,-0.2210943359288048,1.3126938969331592,-0.7091399635591878,-0.6844290844897175
2,1,4.610042659086834,0.6954252190278101,1.5648552050108384,4.674828065114362,5.2401668461460265,5.014641589417868,-0.2710825816032625,1.4705445020238523,-0.7091399635591878,-0.3487961701358623
3,1,0.1002408908445623,0.6954252190278101,1.318837489369022,-0.274548922246337,0.0151200134139952,-0.0104263131086701,-0.169003580350443,1.2800417135514988,-0.7091399635591878,-0.730181334001013
4,1,-0.3870866583368448,0.6954252190278101,-0.0957155015786453,-0.3628091358229144,-0.2643009404758487,-0.3303062688422313,-0.1972679336067182,-0.0970321752615714,-0.7091399635591878,-0.4130588717395141
5,1,-0.3870915867295392,-1.6486902313717149,-1.4152574505676954,-0.3628131681792265,-0.2643087901420622,-0.3303102536613093,-0.4324548140527747,-1.4468913800071626,1.4275086135387989,2.219616371131828
6,1,-0.3870915859058692,-1.648690231371715,-1.1524550094064407,-0.3628131680332974,-0.2643087898978406,-0.3303102443959669,-0.3530436892566252,-1.2019592233998506,1.4275086135387989,1.0363444524732834
7,1,-0.38709152062165,0.2019342397829529,-0.6380771814247204,-0.3628130909971246,-0.2643085536725472,-0.3303101545456424,-0.2936156031972914,-0.684880226117748,0.3590374359084704,-0.5768589100662135
8,1,-0.3870915716891908,-1.5420002787738387,-0.8169839229846564,-0.362813161249394,-0.2643087403478443,-0.3303102043076704,-0.3206723924562805,-0.8699455152759201,1.4275086135387989,-0.0438975913315798
9,1,-0.3870915690440716,-1.5069697450244737,-0.8002271254610906,-0.3628131599045039,-0.2643087262347235,-0.3303101929675799,-0.2904955520570954,-0.8481683305226225,1.6945529634057128,-0.1116528310658649
10,1,-0.387091304043312,0.4863075840981405,-0.4591425118689118,-0.3628131476590673,-0.2643087432444237,-0.3303098330128524,-0.3581681740369866,-0.5215921217128735,-0.7091399635591878,1.7924789577553817
11,1,-0.3870912906971792,0.4883055232853667,-0.4591425118689118,-0.3628131460871763,-0.2643087560016989,-0.3303098152664699,-0.3575858462210364,-0.5161546223986919,-0.7091399635591878,1.8459147911540703
12,1,-0.3870915837495949,-1.64962260299242,-1.007089790889509,-0.3628131681359882,-0.2643087900210993,-0.3303101878924481,-0.292064772276919,-1.054983616937521,1.4275086135387989,2.214028310122815
13,1,-0.3870915859058692,-1.6468254881303035,-1.158040608580963,-0.3628131671649289,-0.2643087895280646,-0.3303101786027831,-0.2859901736915863,-1.185619537960735,1.4275086135387989,-0.6156260833162425
14,1,-0.3870915716891908,-1.4901870558517742,-0.8169839229846564,-0.362813160361208,-0.2643087720253295,-0.3303101528499609,-0.292726787057157,-0.8644808284651675,1.6945529634057128,-0.3170140731470998
15,1,-0.3825659679953832,0.6954252190278101,0.8715427074733096,-0.3134241900402695,-0.2419430743353006,-0.3140984586806522,0.4508690553122828,1.111288922335872,-0.7091399635591878,-0.1242259683361446
16,1,-0.3870915867898077,-1.6521533259629066,-1.4991252221731417,-0.3628131681792265,-0.264308790142412,-0.3303101510768942,-0.3547600238720573,-1.4523288793213442,1.4275086135387989,2.2045984571701047
17,1,0.0890104020507439,0.6954252190278101,1.318837489369022,-0.2163339983672295,-0.0622374627214855,-0.0069385161060814,-0.0941162232192536,1.290916712179862,-0.7091399635591878,-0.8433395694335302
18,1,0.8099256276807887,0.6954252190278101,1.402705260974468,0.0893192900487042,-0.1382757338063953,0.3230845189189544,-0.2389871242946837,1.3017917108082253,-0.7091399635591878,-0.4546200754940497
19,1,-0.3870905587357904,0.6940932595696595,-0.297020495828414,-0.3628111694517634,-0.2643084526620448,-0.3303094464572228,-0.174152584196739,-0.2657577789806276,-0.7091399635591878,-0.4846559034174957
20,1,1.79242739829649,0.6954252190278101,1.4977721589248307,1.43937140611737,0.3235480289247628,1.0122726678828895,-0.1572099096358315,1.4433298179563734,-0.7091399635591878,-0.6732529624716918
21,1,0.2555154478277278,0.6954252190278101,1.3496001768227013,1.2113122331556394,0.0339163561033999,0.2380210466652761,-0.1635174393475442,1.3181313962473409,-0.7091399635591878,-0.7298320801879504
