f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,ic.eps.ratio,ic.eps.max,disp.diff_mean_05,disp.ratio_median_10,ic.h.max
1,1,0.0566335834528663,1.4146413235796256,0.9230617572809936,0.5991890533316648,-0.7091399635591878,1.5003812830820331,0.7772155112146693,0.0364664866130274,-0.0572051808355016,0.1336842210776902
2,1,5.244518301442049,1.577108552848834,4.849418757110374,5.030657207614025,-0.7091399635591878,1.6787461611046763,4.626596184065309,-1.56051543712219,-1.562218584401793,0.5464500047950835
3,1,0.025374931986024,1.3810341685068874,-0.2258724690498512,0.0091647825739407,-0.7091399635591878,1.4255692016297388,0.1222516379039427,1.1322948609070032,1.1102042502890104,-0.6893558023909938
4,1,-0.2537303211277997,-0.0363147170795174,-0.3163780596985648,-0.3104875695526088,-0.7091399635591878,-0.0301480190996966,-0.3644862058317053,-0.9500491643767738,-0.9226869888565034,-0.1362330419165804
5,1,-0.2537381619251518,-1.4256529763313583,-0.3163821946397228,-0.3104915515363757,1.4275086135387989,-1.3880893269975123,-0.364491128260649,1.3420215709170038,1.3427611941236604,1.1892683480491308
6,1,-0.2537381616812061,-1.173557339320284,-0.3163821944900812,-0.3104915422776259,1.4275086135387989,-1.1176391977366242,-0.3644911274379757,0.5244462320026212,0.5222051593434445,1.1128609997553691
7,1,-0.2537379257228093,-0.6413554389635718,-0.3163821154940757,-0.3104914524912324,0.3590374359084704,-0.5882927066923055,-0.3644910622327556,-1.3127535688765568,-1.2272573045035873,0.4708731711566867
8,1,-0.2537381121871934,-0.831833294567344,-0.3163821875335925,-0.3104915022178534,1.4275086135387989,-0.7724057277385594,-0.3644911132385006,-1.152801753116523,-1.225275285095906,1.0514029152582114
9,1,-0.253738098090018,-0.8094191969709547,-0.3163821861544878,-0.3104914908858316,1.6945529634057128,-0.755161298667727,-0.3644911105965823,-1.137874503429733,-1.218007880601074,0.9426054954051352
10,1,-0.2537381150805001,-0.4732916809561891,-0.3163821735975221,-0.3104911311872221,-0.7091399635591878,-0.4041509449309334,-0.3644908459164948,1.2660556262097356,1.2958534014751948,1.239929742026517
11,1,-0.2537381278233616,-0.4676951522180145,-0.3163821719856415,-0.3104911134534667,-0.7091399635591878,-0.4041509449309334,-0.3644908325865119,1.0624618010521738,1.0923660756198756,1.2532179765123892
12,1,-0.2537381618043255,-1.022283167527425,-0.3163821945953846,-0.3104914858143109,1.4275086135387989,-0.968043775547153,-0.3644911252843106,1.275797686661176,1.315673595552011,1.2166753316762422
13,1,-0.2537381613118478,-1.1567397704620694,-0.3163821935996211,-0.3104914765312558,1.4275086135387989,-1.123387340760235,-0.3644911274379757,-1.4543672657023916,-1.3844975108463344,0.4891444935747621
14,1,-0.2537381438288881,-0.8262087831854784,-0.3163821866228106,-0.3104914507967575,1.6945529634057128,-0.7724057277385594,-0.3644911132385006,-1.5761628519805566,-1.5767533933914586,0.6652136005125625
15,1,-0.2313977157831671,1.207345899117639,-0.2657367400587138,-0.2942912917049132,-0.7091399635591878,0.965257908298986,-0.359970985888372,-1.3566606825546366,-1.251702210531663,-1.6618884638257356
