f_id,i_id,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ic.eps.s,ic.eps.ratio,disp.diff_mean_10,ic.h.max,disp.diff_median_02,ic.eps.max,nbc.nn_nb.mean_ratio,pca.expl_var_PC1.cor_x
2,1,5.068443386994181,5.245063031729048,1.5764844214390774,1.683945835269994,-1.5866318818228975,0.5716202850402138,-1.5648858169142033,4.687333522503028,1.3368798013683074,0.7814538635797494
3,1,0.0210574189638656,0.0258059612569109,1.3804636461892623,1.4302096137024765,1.0995812506353373,-0.6536210491568525,1.1221663173580678,0.1407954167880485,-0.2875102670608593,-0.8469649659157077
4,1,-0.300243234349089,-0.2533053722706196,-0.0364977191851338,-0.0287232529560295,-0.9339516144969552,-0.1052267423186496,-1.0483435129128842,-0.3505018477437194,0.9383922888405398,-0.0327555511681203
5,1,-0.3002472368661275,-0.2533132132387865,-1.4254561166666992,-1.3896642220356163,1.3114756854872391,1.2089433983927191,1.2585754166433074,-0.3505068162825459,-1.826114829320857,-0.3720094739795256
6,1,-0.3002472275596345,-0.2533132129948355,-1.1734294056312224,-1.1186166746465438,0.505752934577892,1.133189229880536,0.4654821180673338,-0.3505068154521663,-0.7358087186545986,-0.3720094739796574
7,1,-0.3002471373102536,-0.2533129770312983,-0.641373015667438,-0.5881008693530322,-1.2556009691449848,0.4966895314031611,-1.3788135859524338,-0.3505067496361492,1.2317233744512568,-0.2363079048548995
8,1,-0.300247187293292,-0.2533131634997445,-0.8317987923372671,-0.772620591837028,-1.2507938257112603,1.0722565291207349,-1.0754815485606923,-0.3505068011196804,0.4734901908914786,0.1029460179566376
9,1,-0.3002471759028362,-0.253313149402262,-0.8093908230244226,-0.755338070218171,-1.235045841035961,0.9643891804783848,-1.050539759129532,-0.3505067984530144,0.6422939288372693,0.849304648142072
10,1,-0.3002468143494252,-0.2533131663931142,-0.4733552083104536,-0.4035523426663382,1.263655081119371,1.2591717057757976,1.1857834268695095,-0.3505065312935884,-1.8786930427793824,-0.3041586894172219
11,1,-0.300246796524225,-0.2533131791362533,-0.4677602097304674,-0.4035523426663382,1.0607775957851655,1.272346343777917,0.9923377310815112,-0.3505065178387396,-1.6877511096931563,0.9850062172665476
