f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cov_init,ic.eps.max,pca.expl_var.cov_init,ela_meta.lin_simple.coef.max,ic.eps.s,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,disp.ratio_mean_25
1,1,1.391209489511054,0.58001807038437,0.6776101004751783,0.755998282946679,-0.6684606875586628,0.8458810912900068,1.3109747694203326,0.0464140250624977,-0.703195399828354,-0.1395698468672562
2,1,1.5647546758694673,5.014641593553749,0.6776101004751783,4.610042659399868,-0.6684606875586628,4.674828065622,1.4695026524670594,5.240166844984145,-0.3657056878042375,-1.6217331900290886
3,1,1.318418944862174,-0.0104263194313541,0.6776101004751783,0.100240890461026,-0.6684606875586628,-0.2745489230482527,1.2781824877222416,0.0151200164196483,-0.749200761196886,1.053189217295057
4,1,-0.0979625712599085,-0.3303062758306745,0.6776101004751783,-0.3870866587956523,-0.6684606875586628,-0.3628091366481827,-0.1047999105209124,-0.2643009372473274,-0.4303239052989696,-0.8920209722660106
5,1,-1.4192102291816489,-0.3303102606497609,-1.6535047563858452,-0.3870915871883474,1.4559663208162656,-0.362813169004496,-1.4604508566576635,-0.2643087869135347,2.216915896197169,1.3880713115659264
6,1,-1.1560680758409028,-0.3303102513844184,-1.6535047563858456,-0.3870915863646774,1.4559663208162656,-0.3628131688585668,-1.2144677877000405,-0.2643087866693131,1.0270978479789523,0.5115897808816677
8,1,-0.820163341948337,-0.3303102112961219,-1.5474065121477816,-0.387091572147999,1.4559663208162656,-0.3628131620746634,-0.8810295328315206,-0.2643087371193168,-0.059120340668906,-1.3943441136723218
9,1,-0.803384883711945,-0.3303101999560313,-1.5125702596701154,-0.3870915695028799,1.7214831846431335,-0.3628131607297734,-0.8591589103168069,-0.264308723006196,-0.1272504178100909,-1.3871090066973322
10,1,-0.4618593663101881,-0.3303098400013031,0.4696522434792236,-0.3870913045021202,-0.6684606875586628,-0.3628131484843367,-0.531181485039976,-0.2643087400158962,1.7874154614359885,1.3570637102445526
11,1,-0.4618593663101881,-0.3303098222549206,0.4716391019855544,-0.3870912911559874,-0.6684606875586628,-0.3628131469124458,-0.5257206554482872,-0.2643087527731714,1.841146914026717,1.0997006192771224
12,1,-1.0105149506402031,-0.3303101948808996,-1.6544319570221329,-0.3870915842084031,1.4559663208162656,-0.3628131689612577,-1.0668615638366914,-0.2643087867925718,2.211296920762845,1.3694667507731044
13,1,-1.1616608952530334,-0.3303101855912345,-1.6516503551132695,-0.3870915863646774,1.4559663208162656,-0.3628131679901984,-1.1980579947770156,-0.264308786299537,-0.6340117647932334,-1.344731951558119
14,1,-0.820163341948337,-0.3303101598384123,-1.495880648216937,-0.387091572147999,1.7214831846431335,-0.3628131611864775,-0.8755413990918735,-0.264308768796802,-0.3337477650215169,-1.6920170863575428
15,1,0.870545966338753,-0.3140984656353625,0.6776101004751783,-0.3825659684534924,-0.6684606875586628,-0.3134241908524711,1.1087056413441787,-0.2419430711246121,-0.1398931125373211,-1.1969290519262188
16,1,-1.5031864126547902,-0.3303101580653455,-1.656948644463485,-0.387091587248616,1.4559663208162656,-0.362813169004496,-1.4659116862493524,-0.2643087869138845,2.201814899717422,0.8898825170024698
17,1,1.318418944862174,-0.0069385224215064,0.6776101004751783,0.0890104016654729,-0.6684606875586628,-0.2163339991537421,1.289104146905619,-0.0622374596541315,-0.8629850137419575,0.7658521117169607
18,1,1.4023951283353155,0.3230845132903993,0.6776101004751783,0.809925627406868,-0.6684606875586628,0.0893192893430643,1.3000258060889969,-0.1382757306783927,-0.4721150350917582,-0.1860812488493216
19,1,-0.2995277828730965,-0.3303094534456727,0.6762855281376247,-0.3870905591945985,-0.6684606875586628,-0.3628111702770323,-0.2742494527510167,-0.2643084494335175,-0.5023170280512524,-0.3214811079526677
20,1,1.4975849147297786,1.012272663688727,0.6776101004751783,1.7924273981743235,-0.6684606875586628,1.43937140576894,1.442171200360657,0.3235480316844116,-0.6919574489597056,0.6562919203814284
21,1,1.3492213977744831,0.2380210408596802,0.6776101004751783,0.2555154474681747,-0.6684606875586628,1.211312232746867,1.3164355990120211,0.0339163590940609,-0.7488495752322414,0.3286449330855414
22,1,0.3527068169695778,-0.329972962825532,0.6776101004751783,-0.3870752479190557,-0.6684606875586628,-0.3612919059672929,0.633149296351957,-0.2640620922753864,-0.3772948246375319,-0.3741940301990101
23,1,-0.372290363424916,-0.3303096543140197,0.6693977519823445,-0.387091072381196,-0.6684606875586628,-0.3628125440287268,-0.3945242245079631,-0.2643081551533779,-0.3987171684808941,-0.8796179317374587
24,1,-0.7361871584751956,-0.3303100180872356,0.5234298803839099,-0.3870915677818783,-0.6684606875586628,-0.3628130900207998,-0.5475639738150425,-0.2643086366634786,-0.6838801717728634,-1.2362053469332968
25,1,-0.6746102167476372,-0.3303100242468265,-0.0604416060098277,-0.3870915465003881,1.1904494569893975,-0.3628131634105456,-0.6678387455719889,-0.2643087658385933,-0.7260224875302974,0.1157260706787514
26,1,-0.5794483944502347,-0.3303099788055564,0.5916453557679334,-0.387091509508899,-0.6684606875586628,-0.3628130706734785,-0.4819794104188596,-0.2643086379576949,-0.1606130844513926,0.0764497756716733
27,1,-0.321899060521619,-0.3303094468958412,0.6757556992026028,-0.3870909083168437,-0.6684606875586628,-0.3628124003407709,-0.2906592456740416,-0.2643013196574356,-0.3344501369508075,0.284200704524901
