f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ic.eps.max,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,ela_meta.lin_simple.coef.min,ic.eps.s,ela_distr.skewness,disp.ratio_median_10
1,1,0.5800180704810661,1.40773083840433,0.8458810894453459,0.755998281332725,0.6463516323548645,-0.6548570506842823,0.0464140170083963,1.3234475723806776,-0.2324427217836062,-0.0495041140489857
2,1,5.014641593475237,1.5871715551835548,4.674828067474608,4.61004266118985,0.6463516323548645,-0.6548570506842823,5.240166848123662,1.4867952476736022,-0.2825413226603426,-1.563550772523124
3,1,-0.0104263193113302,1.332467514882525,-0.2745489259748117,0.1002408882678993,0.6463516323548645,-0.6548570506842823,0.0151200082981018,1.2896582926654172,-0.1802369694536851,1.1249122360492598
4,1,-0.3303062756980125,-0.13203011722636,-0.3628091396599667,-0.3870866614191923,0.6463516323548645,-0.6548570506842823,-0.2643009459710843,-0.1353715215374631,-0.2085637197470796,-0.9201806384568528
5,1,-0.3303102605170986,-1.4981620840946837,-0.3628131720162838,-0.3870915898118918,-1.8074671570718803,1.5470030867191007,-0.2643087956373084,-1.5322389135963168,-0.4442698041662854,1.358865012073358
6,1,-0.3303102512517563,-1.2260806878825494,-0.3628131718703546,-0.3870915889882218,-1.8074671570718808,1.5470030867191007,-0.2643087953930868,-1.2787771143000788,-0.3646833695423589,0.5333839103065107
7,1,-0.3303101614014316,-0.6935413514919976,-0.3628130948341818,-0.3870915237040025,0.1297655413936682,0.4459216458094205,-0.2643085591677931,-0.7436910935635765,-0.3051240886717323,-1.2265790184202303
8,1,-0.3303102111634597,-0.8787648822183455,-0.3628131650864513,-0.3870915747715434,-1.6957841722243991,1.5470030867191007,-0.2643087458430905,-0.9352011910005276,-0.3322406091217526,-1.22458510271548
9,1,-0.3303101998233692,-0.8614164403769766,-0.3628131637415612,-0.3870915721264242,-1.6591142283855882,1.8221977608425264,-0.2643087317299696,-0.9126656264277352,-0.3019971496347908,-1.2172740784647278
10,1,-0.3303098398686409,-0.5082889066959142,-0.3628131514961246,-0.3870913071256643,0.4274474048760309,-0.6548570506842823,-0.2643087487396698,-0.574716560699418,-0.3698191672533279,1.3116756737275888
11,1,-0.3303098221222584,-0.5082889066959142,-0.3628131499242336,-0.3870912937795315,0.4295388465398415,-0.6548570506842823,-0.264308761496945,-0.5690897031281839,-0.3692355538770814,1.1069669947065028
12,1,-0.3303101947482373,-1.0755829549086748,-0.3628131719730455,-0.3870915868319474,-1.8084431631816589,1.5470030867191007,-0.2643087955163455,-1.1266831541496225,-0.3035698341013076,1.3316148307750963
13,1,-0.3303101854585724,-1.2318635018296722,-0.3628131710019862,-0.3870915889882218,-1.805515144852324,1.5470030867191007,-0.2643087950233108,-1.2618684072985205,-0.2974818250922523,-1.3847629976637976
14,1,-0.3303101597057501,-0.8787648822183455,-0.3628131641982652,-0.3870915747715434,-1.64154611840958,1.8221977608425264,-0.2643087775205757,-0.9295461991414372,-0.3042333103606193,-1.57817282102463
15,1,-0.3140984655033408,0.8693797739969199,-0.3134241938165685,-0.3825659710730397,0.6463516323548645,-0.6548570506842823,-0.2419430798001831,1.1150287679421682,0.4410041113139386,-1.2511706454454927
17,1,-0.0069385223016203,1.332467514882525,-0.2163340020240882,0.0890103994624274,0.6463516323548645,-0.6548570506842823,-0.0622374679423995,1.300912007807885,-0.1051842892683891,0.6982142752325797
18,1,0.3230845133972465,1.419296466298576,0.08931928676786,0.8099256258405432,0.6463516323548645,-0.6548570506842823,-0.1382757391305389,1.3121657229503536,-0.2503750106811162,0.1552045649721016
19,1,-0.3303094533130106,-0.3404427318806708,-0.3628111732888182,-0.3870905618181419,0.6449573379123242,-0.6548570506842823,-0.2643084581572905,-0.3099729119728557,-0.1853973403594434,-0.1890782133815439
20,1,1.012272663768345,1.5177199596786082,1.4393714044973591,1.7924273974757556,0.6463516323548645,-0.6548570506842823,0.3235480242275917,1.458632825529576,-0.1684172627600198,0.8796606043649069
21,1,0.2380210409698882,1.3643163626963044,1.21131223125507,0.2555154454121883,0.6463516323548645,-0.6548570506842823,0.0339163510130244,1.3290744299519115,-0.1747387171195737,0.635738249817053
22,1,-0.3299729626928832,0.3339490306328066,-0.3612919089776117,-0.3870752505425856,0.6463516323548645,-0.6548570506842823,-0.2640621009986285,0.6250138763512506,0.1585475238080419,0.0069901642522892
