f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_50,ic.eps.s,pca.expl_var.cov_init,pca.expl_var_PC1.cov_init,ela_distr.skewness
1,1,0.5800180697137448,0.7559982813542857,1.396265168581061,0.0464140170293208,0.8458810894695878,-0.7051229294195384,1.3156112013308403,-0.6548570506842823,0.6463192316062943,-0.2298854765449084
2,1,5.014641594098259,4.610042661165938,1.572718068655112,5.240166848115505,4.674828067450262,-0.3673537872893347,1.4768322956639346,-0.6548570506842823,0.6463192316062943,-0.2799447425952931
3,1,-0.0104263202637676,0.1002408882971972,1.3222550334065923,0.0151200083192016,-0.2745489259363519,-0.7511663816766212,1.2822618154724104,-0.6548570506842823,0.6463192316062943,-0.1777207134675119
4,1,-0.3303062767507387,-0.3870866613841445,-0.117857662170378,-0.2643009459484199,-0.3628091396203869,-0.432025506490123,-0.1242159056894134,-0.6548570506842823,0.6463192316062943,-0.2060252230638729
5,1,-0.330310261569826,-0.3870915897768439,-1.4612425514225138,-0.2643087956146441,-0.362813171976704,2.217406120333472,-1.5028978439667338,1.5470030867191007,-1.8066466918303,-0.4415462432749284
6,1,-0.3303102523044837,-0.3870915889531739,-1.1936915057092017,-0.2643087953704225,-0.3628131718307749,1.0266029428754802,-1.2527357980062024,1.5470030867191007,-1.8066466918303008,-0.3620222957969721
7,1,-0.330310162454159,-0.3870915236689546,-0.6700193314320712,-0.2643085591451288,-0.362813094794602,-0.5968680951051756,-0.7246159232006363,0.4459216458094205,0.1299126888292852,-0.3025097777885749
8,1,-0.3303102122161871,-0.3870915747364955,-0.8521587574511447,-0.2643087458204261,-0.3628131650468715,-0.0605145978203777,-0.9136328004182338,1.5470030867191007,-1.6950025242825582,-0.329605007751346
9,1,-0.3303102008760965,-0.3870915720913764,-0.8350991796160769,-0.2643087317073053,-0.3628131637019813,-0.1287010843690349,-0.8913906205076572,1.8221977608425264,-1.658345325699467,-0.2993852938621928
10,1,-0.3303098409213682,-0.3870913070906164,-0.4878514727832727,-0.2643087487170055,-0.3628131514565448,1.7875500736891023,-0.5578412258936154,-0.6548570506842823,0.4274910879733917,-0.3671540611456075
11,1,-0.3303098231749857,-0.3870912937444836,-0.4878514727832727,-0.2643087614742807,-0.3628131498846538,1.8413260141114964,-0.5522876229196887,-0.6548570506842823,0.4295818027214768,-0.3665709059923535
12,1,-0.3303101958009647,-0.3870915867968996,-1.0456996679899886,-0.2643087954936812,-0.3628131719334657,2.2117824925768814,-1.1026219096209615,1.5470030867191007,-1.80762235871274,-0.3009567435383301
14,1,-0.3303101607584774,-0.3870915747364955,-0.8521587574511447,-0.2643087774979114,-0.3628131641586855,-0.3353694044237275,-0.9080514294294376,1.8221977608425264,-1.6407833218155523,-0.3016196988704504
15,1,-0.3140984665509855,-0.3825659710380452,0.8668780357291835,-0.241943079777644,-0.3134241937776154,-0.141354246821363,1.109905747176593,-0.6548570506842823,0.6463192316062943,0.4430326009831496
16,1,-0.3303101589854107,-0.3870915898371125,-1.546625738487028,-0.2643087956149939,-0.362813171976704,2.202292620737635,-1.5084514469406602,1.5470030867191007,-1.8102705973936477,-0.3637410688802472
17,1,-0.0069385232529642,0.0890103994918578,1.3222550334065923,-0.0622374679208666,-0.2163340019863672,-0.8650448437475743,1.2933690214202638,-0.6548570506842823,0.6463192316062943,-0.1027269607590448
18,1,0.3230845125493713,0.8099256258614677,1.4076382204711064,-0.1382757391085803,0.0893192868017024,-0.4738512379297632,1.3044762273681174,-0.6548570506842823,0.6463192316062943,-0.2478036859380504
