f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cov_init,ic.eps.s,ela_distr.skewness,pca.expl_var.cov_init,ic.eps.max,ela_meta.lin_simple.coef.max,disp.ratio_mean_25,ela_meta.lin_w_interact.adj_r2
1,1,1.454044903922291,0.5804726397813397,0.6997709232301089,1.393957368860775,-0.2048934834612357,-0.7091399635591878,0.7561089397738081,0.847097733730418,-0.1386128665310723,1.1534320672018812
2,1,1.628878124763499,5.014298307112623,0.6997709232301089,1.5548842186820353,-0.2550636821603602,-0.7091399635591878,4.609921933646593,4.673847299956911,-1.6193101867368958,0.4245167685512173
3,1,1.380714115354829,-0.0098655201591711,0.6997709232301089,1.3606688489442522,-0.1526131218983712,-0.7091399635591878,0.1003909165384208,-0.2726892730102807,1.052966427414202,0.5230321710538681
4,1,-0.0461796383685364,-0.329687925316685,0.6997709232301089,-0.0432419106659179,-0.1809803550316224,-0.7091399635591878,-0.3869073753732882,-0.3608988346398237,-0.8903197348085057,0.3131729830849497
5,1,-1.3772334602031184,-0.3296919094188421,-1.648925550924001,-1.4194076174564048,-0.4170232960111449,1.4275086135387989,-0.3869123034701008,-0.3609028646819934,1.3875172863728351,-1.8137071257034945
6,1,-1.112138292926971,-0.3296919001551667,-1.6489255509240013,-1.1697021420792546,-0.3373231213763004,1.4275086135387989,-0.3869123026464802,-0.360902864536148,0.51190269255517,-1.2397192213057469
7,1,-0.5932729591446028,-0.3296918103210075,0.205315531631667,-0.6425461385052715,-0.2776787220644657,0.3590374359084704,-0.3869122373661804,-0.3609027875441858,-1.2186752074901324,0.9037719987560988
8,1,-0.7737405087270683,-0.3296918600740826,-1.5420270978415849,-0.831218041146215,-0.3048339957686883,1.4275086135387989,-0.3869122884306553,-0.3609028577561379,-1.3921460232464624,0.2381762826822639
9,1,-0.7568375225032969,-0.3296918487360323,-1.506928105131628,-0.8090164554233715,-0.2745473141996154,1.6945529634057128,-0.386912285785695,-0.3609028564120196,-1.384918072589947,0.1465684710061766
10,1,-0.4127772379184309,-0.3296914888460653,0.4902446169387313,-0.4760758215871716,-0.3424662588517717,-0.7091399635591878,-0.3869120208008449,-0.3609028441736106,1.3565403549877797,-1.7023633402372262
11,1,-0.4127772379184309,-0.3296914711028757,0.4922464606294134,-0.4705323544903317,-0.3418818114113771,-0.7091399635591878,-0.3869120074555134,-0.3609028426026217,1.09943182449179,-1.7081196659260292
12,1,-0.9655048874357544,-0.3296918436618136,-1.6498597446463192,-1.019862226451674,-0.2761222462495205,1.4275086135387989,-0.3869123004903353,-0.36090286463878,1.368931127541804,-1.811912765339979
13,1,-1.117772621668228,-0.32969183437382,-1.6470571634793645,-1.1530440234532513,-0.2700255366344583,1.4275086135387989,-0.3869123026464802,-0.3609028636682779,-1.342582933030369,0.932553627200112
14,1,-0.7737405087270683,-0.329691808625631,-1.4901126181298996,-0.8256468567138909,-0.2767866707080742,1.6945529634057128,-0.3869122884306553,-0.3609028568684616,-1.6895245645430288,0.3429414102184714
16,1,-1.461832906253094,-0.3296918068528833,-1.6523954133211831,-1.4249510845532447,-0.339045703305884,1.4275086135387989,-0.3869123035303657,-0.3609028646819934,0.8898212554528904,-1.8156807230825125
