f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.lin_simple.coef.max,ela_distr.skewness,ic.eps.max,ela_level.mmce_qda_50,pca.expl_var.cov_init
1,1,0.5800274713979042,1.4193115933315017,0.6997709232301093,0.0464224193944855,1.3562752659059862,0.8459174821762707,-0.2139737899229546,0.7559986798803504,-0.6931811302432564,-0.7091399635591878
2,1,5.014633971621558,1.592106277360385,0.6997709232301093,5.240163578559493,1.514744304842687,4.674791746976231,-0.263986570357173,4.610042219200046,-0.3569071969688289,-0.7091399635591878
3,1,-0.0104146519113739,1.3468358339813271,0.6997709232301093,0.0151284810113947,1.323495156404957,-0.274491255831299,-0.1618574676507304,0.1002414298311675,-0.7390207611058476,-0.7091399635591878
4,1,-0.3302933804050768,-0.0634204899089308,0.6997709232301093,-0.2642918453134926,-0.0589738913357981,-0.3627497934198163,-0.1901356933505687,-0.3870860135735345,-0.4212926326842241,-0.7091399635591878
5,1,-0.3302973652088667,-1.3789543653515153,-1.648925550924001,-0.2642996949620762,-1.4141216321568777,-0.3627538256995574,-0.4254380060053931,-0.3870909419651591,2.216410706569298,1.4275086135387989
6,1,-0.3302973559435599,-1.1169501796100083,-1.6489255509240013,-0.2642996947178551,-1.168229869879796,-0.362753825553631,-0.3459879053891699,-0.3870909411414893,1.030878879374958,1.4275086135387989
7,1,-0.3302972660935802,-0.6041347605890652,0.2053155316316673,-0.2642994584930923,-0.6491250384059567,-0.3627537485189211,-0.2865306513965583,-0.3870908758572842,-0.5854055095892257,0.3590374359084704
8,1,-0.3302973158554172,-0.7824980776836554,-1.5420270978415849,-0.2642996451679701,-0.834915384262333,-0.3627538187698564,-0.3136007204139268,-0.387090926924814,-0.0514262981669817,1.4275086135387989
9,1,-0.3302973045153702,-0.7657921784865349,-1.506928105131628,-0.264299631054881,-0.8130528799240112,-0.3627538174249919,-0.2834090689022583,-0.3870909242796954,-0.1193109423451701,1.6945529634057128
10,1,-0.3302969445620237,-0.4257436003291466,0.4902446169387317,-0.264299648064543,-0.4851971968879023,-0.3627538051797878,-0.3511149053208691,-0.3870906592789933,1.7884575115696884,-0.7091399635591878
11,1,-0.3302969268157094,-0.4257436003291466,0.4922464606294137,-0.2642996608217895,-0.4797383943065486,-0.3627538036079267,-0.3505322916922669,-0.3870906459328634,1.841995401050424,-0.7091399635591878
12,1,-0.3302972994402579,-0.972026504074988,-1.6498597446463192,-0.2642996948411136,-1.0206784361058028,-0.3627538256563199,-0.2849790593119652,-0.3870909389852154,2.2108119730288287,1.4275086135387989
13,1,-0.3302972901506286,-1.1225188126757153,-1.6470571634793645,-0.2642996943480799,-1.1518261681228277,-0.362753824685279,-0.2789014792493888,-0.3870909411414893,-0.6242467235262302,1.4275086135387989
14,1,-0.3302972643979052,-0.7824980776836554,-1.4901126181298996,-0.2642996768453842,-0.8294292876680726,-0.3627538178816873,-0.2856413990160603,-0.387090926924814,-0.3250643999574107,1.6945529634057128
15,1,-0.3140856324257954,0.9008996980795232,0.6997709232301093,-0.2419340293875512,1.154081218292642,-0.3133657854162242,0.4583194080586918,-0.3825653242133097,-0.1319080928112256,-0.7091399635591878
16,1,-0.3302972626248452,-1.4625673908331036,-1.652395413321183,-0.264299694962426,-1.4195804347382313,-0.3627538256995574,-0.3477050823997869,-0.3870909420254277,2.2013641101792865,1.4275086135387989
17,1,-0.006926868289941,1.3468358339813271,0.6997709232301093,-0.0622288213832105,1.3344127615676644,-0.2162774374051854,-0.0869333550124905,0.0890109434749788,-0.8523951153003475,-0.7091399635591878
18,1,0.3230949005806656,1.4304488594629154,0.6997709232301093,-0.1382669216901109,1.3453303667303722,0.0893700469089775,-0.2318753602586362,0.8099260126270297,-0.4629332133914632,-0.7091399635591878
19,1,-0.3302965580078771,-0.2641140255970055,0.6984363607696548,-0.2642993574828167,-0.2283605354352063,-0.3627518270100484,-0.1670089986825813,-0.3870899139716335,-0.4930264061714848,-0.7091399635591878
20,1,1.0122804054302974,1.5252269942412455,0.6997709232301093,0.3235558038088512,1.4874229979230116,1.4393965266106403,-0.1500580084777769,1.792427569986164,-0.6819836631623188,-0.7091399635591878
21,1,0.2380317546784257,1.3775050805907074,0.6997709232301093,0.0339247814851895,1.36173406848734,1.211341684302954,-0.1563686339917941,0.2555159531112702,-0.738670840259569,-0.7091399635591878
