f_id,i_id,pca.expl_var.cov_init,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.intercept,ic.eps.s,ela_meta.lin_simple.coef.min,ela_level.mmce_qda_50,ic.eps.max,ela_meta.lin_simple.coef.max,ela_meta.lin_w_interact.adj_r2
1,1,-0.655664334537321,1.3911125027529851,0.6687465402908132,0.5800180742114381,1.3110759900738376,0.0464140177262151,-0.7098406784935944,0.7559982823266437,0.845881089579042,1.2129247922413853
2,1,-0.655664334537321,1.5647901669322497,0.6687465402908132,5.014641590446385,1.4695022199810377,5.240166847843852,-0.3713360350251736,4.610042660087529,4.674828067340336,0.4802024799184377
3,1,-0.655664334537321,1.3182663925598452,0.6687465402908132,-0.0104263146810068,1.2783047358336472,0.0151200090219317,-0.7559843915990713,0.1002408896184888,-0.2745489257627025,0.5792324133754427
4,1,-0.655664334537321,-0.0991963355548415,0.6687465402908132,-0.3303062705801302,-0.1037908499447862,-0.2643009451935826,-0.4361485786237059,-0.387086659803542,-0.3628091394416807,0.36827716280593
5,1,1.5174202131795802,-1.4214525838857937,-1.661197485941797,-0.3303102553992103,-1.4585725094164492,-0.2643087948598053,2.2190522564074664,-0.3870915881962389,-0.3628131717979975,-1.7697113171038978
6,1,1.5174202131795802,-1.1581095577938052,-1.6611974859417973,-0.3303102461338679,-1.2127471726555186,-0.2643087946155836,1.0256560731910147,-0.3870915873725689,-0.3628131716520684,-1.1927255612358727
7,1,0.4307285453607476,-0.6426736540146089,0.1782389763842377,-0.3303101562835434,-0.6937825728268869,-0.2643085583902899,-0.6013501163830081,-0.3870915220883496,-0.3628130946158955,0.9619607872535166
8,1,1.5174202131795802,-0.8219484069524704,-1.555152530830011,-0.3303102060455714,-0.879522729040857,-0.2643087450655872,-0.0638286950169203,-0.3870915731558905,-0.362813164868165,0.2928887660506807
9,1,1.7890184331540973,-0.8051571406766794,-1.5203337752814472,-0.3303101947054809,-0.8576661306675074,-0.2643087309524664,-0.1321636594631989,-0.3870915705107713,-0.3628131635232749,0.20080250071587
10,1,-0.655664334537321,-0.4633709156329544,0.4608931326434924,-0.3303098347507532,-0.5298990149862665,-0.2643087479621666,1.788260186728092,-0.3870913055100115,-0.3628131512778383,-1.6577859999913898
