f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.h.max,nbc.nn_nb.cor,pca.expl_var.cov_init,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_x
1,1,0.0464140170125282,0.580018069454783,1.313179946442356,0.7559982814068809,1.393320048172431,0.2049287755199967,0.2835220264190831,-0.6548570506842823,0.6101489473808984,1.1086363631215792
2,1,5.24016684812205,5.0146415943085225,1.473542294408092,4.610042661107607,1.5687350054048024,0.6254952629996677,1.6835361065884202,-0.6548570506842823,1.2385634062293611,0.7075911922626299
3,1,0.0151200083022683,-0.0104263205852041,1.280008196544518,0.1002408883686663,1.3197452602775124,-0.6336655687302107,-1.027519196318932,-0.6548570506842823,-0.6874017342908261,-0.8965894911731117
4,1,-0.2643009459666088,-0.3303062771060215,-0.118977901769725,-0.3870866612986492,-0.1118963097868792,-0.070089551302725,0.7859569860312563,-0.6548570506842823,0.6156947129027585,-0.09449914945538
5,1,-0.264308795632833,-0.3303102619251093,-1.4903162718177427,-0.3870915896913485,-1.4473790521837675,1.2804619859559343,-1.5430383996710058,1.5470030867191007,-1.6650409705729778,-0.4287034585043467
6,1,-0.2643087953886113,-0.3303102526597669,-1.2414867174217188,-0.3870915888676785,-1.181401812809514,1.2026106442091955,-0.5852717579103003,1.5470030867191007,-1.1234573547524924,-0.4287034585044766
7,1,-0.2643085591633176,-0.3303101628094422,-0.7161798803634458,-0.3870915235834592,-0.6608100174009066,0.5484901314893046,0.8801635409585387,0.4459216458094205,1.394478642615364,-0.2950217348846969
8,1,-0.2643087458386149,-0.3303102125714703,-0.9041899565954068,-0.3870915746510001,-0.841878050921785,1.139991086717252,-0.3654564630799747,1.5470030867191007,0.9978771825806432,0.0391825741643996
9,1,-0.2643087317254941,-0.3303102012313798,-0.8820662499607952,-0.3870915720058809,-0.8249188220562641,1.0291375457517846,0.2442692951993819,1.8221977608425264,0.6017510738763677,0.7744320540724641
10,1,-0.2643087487351944,-0.3303098412766514,-0.5502935107660966,-0.387091307005121,-0.4797137184985856,1.3320808103749682,-1.4776171809715042,-0.6548570506842823,-1.497083500482365,-0.3618625966945311
11,1,-0.2643087614924695,-0.3303098235302689,-0.5447694891344832,-0.3870912936589882,-0.4797137184985856,1.3456201741570102,-1.516869912191205,-0.6548570506842823,-1.5584038221097871,0.9081137776919654
13,1,-0.2643087950188353,-0.330310186866583,-1.2248870324187209,-0.3870915888676785,-1.187054889098021,0.5671067566896136,2.261859679892016,1.5470030867191007,1.4651475404082066,0.4402277450233489
14,1,-0.2643087775161002,-0.3303101611137607,-0.8986383148556354,-0.3870915746510001,-0.841878050921785,0.7465033268016652,2.285411318623836,1.8221977608425264,1.1221023302703044,-0.3618625966945311
15,1,-0.2419430797957324,-0.3140984669045534,1.1085701852073968,-0.3825659709526801,0.867046911093874,-1.6245777555283876,0.6132449686645719,-0.6548570506842823,-0.4657295638599139,-1.2976346620320425
16,1,-0.2643087956331827,-0.3303101593406939,-1.4958402934493562,-0.387091589751617,-1.5322599926556997,0.2734718046665828,-1.3232231048406802,1.5470030867191007,-1.665516321903423,-2.1665658655597566
17,1,-0.0622374679381475,-0.0069385235740316,1.2910562398077443,0.0890103995636501,1.3197452602775124,-0.5270430789466328,-0.3890081018117949,-0.6548570506842823,-1.0491440967595709,-0.6960669057436463
18,1,-0.1382757391262028,0.3230845122632235,1.3021042830709717,0.8099256259125107,1.4046262007494448,0.5755688590533888,-0.7710680190168852,-0.6548570506842823,0.5569095983710437,-1.1639529384124112
19,1,-0.264308458152815,-0.3303094547210209,-0.2903882929986877,-0.3870905616975987,-0.3156331792246706,-1.4612591799075088,0.1683806815079596,-0.6548570506842823,1.2141620379331777,0.8412729158822797
20,1,0.3235480242314171,1.012272662923319,1.4458945661418674,1.7924273975078524,1.5008415591798336,-0.4043425946718784,-0.7527500777810303,-0.6548570506842823,-0.1016104447389438,-0.6960669057436463
21,1,0.0339163510171701,0.2380210398001956,1.3187039680739692,0.2555154455066541,1.3508795779364648,-0.6844381829128672,-0.315736336868353,-0.6548570506842823,0.9119970422135564,-0.9634303529829272
22,1,-0.2640621009941533,-0.3299729641007524,0.6275107614183469,-0.387075250422043,0.3436285775410129,-3.0910600951707794,-0.6376087328699017,-0.6548570506842823,0.233670693668355,-1.3644755238418766
