f_id,i_id,similar_instances
1,1,"[(3, 1), (3, 3), (3, 4), (3, 5), (4, 1), (4, 3), (7, 4), (7, 5), (8, 1), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 4), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
1,2,"[(3, 1), (3, 3), (3, 4), (3, 5), (4, 3), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
1,3,"[(3, 1), (3, 3), (3, 4), (3, 5), (4, 3), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (20, 1), (20, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
1,4,"[(3, 1), (3, 3), (3, 4), (3, 5), (4, 1), (4, 3), (7, 4), (7, 5), (8, 1), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (20, 1), (20, 3), (20, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
1,5,"[(3, 1), (3, 3), (3, 4), (3, 5), (4, 1), (4, 3), (7, 4), (7, 5), (8, 1), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (18, 1), (18, 2), (18, 4), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
2,1,"[(10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
2,2,"[(8, 1), (8, 4), (8, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (10, 2), (10, 3), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
2,3,"[(3, 2), (3, 3), (4, 2), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (13, 1), (13, 2), (15, 2), (15, 3), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
2,4,"[(3, 2), (3, 3), (3, 4), (4, 2), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 4), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
2,5,"[(3, 2), (3, 3), (4, 2), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (13, 2), (15, 2), (15, 3), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
3,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (4, 2), (4, 3), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (7, 1), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (18, 1)]"
3,2,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (4, 2), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (8, 2), (10, 1), (10, 2), (10, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (17, 1), (18, 1), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
3,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (4, 2), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (8, 2), (10, 1), (10, 2), (10, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (17, 1), (18, 1), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
3,4,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 4), (4, 2), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (17, 1), (18, 1), (20, 1), (20, 3), (20, 4), (20, 5)]"
3,5,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (4, 2), (4, 3), (4, 4), (13, 3), (13, 4), (13, 5), (14, 3), (14, 5), (15, 1), (15, 4), (15, 5), (17, 1), (17, 3), (17, 4), (18, 1), (18, 3), (18, 4), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
4,1,"[(9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (17, 2), (17, 5), (18, 2), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
4,2,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
4,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 4), (3, 5), (7, 3), (7, 4), (8, 1), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 4), (15, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (20, 1), (20, 2), (20, 3), (20, 4), (20, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
4,4,"[(3, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (15, 1), (15, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
4,5,"[(9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (17, 2), (17, 5), (18, 2), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
5,1,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (4, 2), (7, 1), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (17, 1), (18, 1)]"
5,2,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (4, 2), (7, 1), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (17, 1), (17, 3), (18, 1), (18, 3)]"
5,3,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 3), (3, 4), (4, 2), (7, 1), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (17, 1), (18, 1)]"
5,4,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 2), (3, 3), (3, 4), (7, 1), (7, 2), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 2), (15, 3), (15, 4), (17, 1), (17, 3), (18, 1)]"
5,5,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 2), (3, 4), (7, 1), (7, 2), (7, 4), (7, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 2), (15, 4), (17, 1), (17, 3), (18, 1), (18, 3)]"
