f_id,i_id,similar_instances
1,1,"[(3, 1), (3, 5), (13, 3), (13, 4), (13, 5), (15, 1), (15, 2), (15, 4), (15, 5)]"
1,2,"[(3, 1), (3, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (15, 5)]"
1,3,"[(3, 1), (3, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (15, 5)]"
1,4,"[(3, 1), (3, 5), (13, 1), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (15, 5)]"
1,5,"[(3, 1), (3, 5), (13, 1), (13, 3), (13, 4), (13, 5), (15, 1), (15, 2), (15, 4), (15, 5)]"
2,1,"[(10, 3), (10, 5)]"
2,2,[]
2,3,"[(10, 1), (10, 4)]"
2,4,[]
2,5,"[(10, 1), (10, 4)]"
3,1,"[(1, 2), (1, 3), (1, 4), (1, 5), (13, 3), (13, 4), (14, 5)]"
3,2,"[(5, 1), (5, 3), (7, 4), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 5), (15, 2), (15, 3), (15, 4)]"
3,3,"[(7, 4), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 5), (15, 2), (15, 3), (15, 4)]"
3,4,"[(1, 2), (7, 4), (13, 1), (13, 2), (13, 3), (13, 4), (14, 1), (14, 2), (14, 5), (15, 2), (15, 4)]"
3,5,"[(4, 3)]"
4,1,[]
4,2,[]
4,3,[]
4,4,[]
4,5,[]
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
6,1,[]
6,2,[]
6,3,[]
6,4,"[(20, 1), (20, 2), (20, 3), (20, 4), (20, 5)]"
6,5,[]
7,1,"[(3, 3), (14, 2)]"
7,2,"[(3, 3), (13, 1), (13, 2), (13, 4), (14, 2), (14, 3), (14, 4)]"
7,3,[]
7,4,"[(13, 3), (13, 4), (13, 5), (14, 2), (14, 3), (14, 4)]"
7,5,"[(3, 3), (13, 1), (13, 2), (13, 4), (14, 2), (14, 3), (14, 4), (15, 2)]"
8,1,[]
8,2,"[(6, 5)]"
8,3,[]
8,4,[]
8,5,[]
9,1,[]
9,2,[]
9,3,[]
9,4,[]
9,5,[]
10,1,"[(2, 1), (2, 3), (2, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
10,2,"[(2, 1), (2, 3), (2, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
10,3,"[(2, 1), (2, 3), (2, 5), (6, 1), (6, 4), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
10,4,"[(2, 1), (2, 3), (2, 5), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
10,5,"[(2, 1), (2, 3), (2, 4), (2, 5), (6, 1), (6, 4), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]"
11,1,"[(10, 3), (10, 5)]"
11,2,"[(2, 4), (10, 3), (10, 5)]"
11,3,"[(10, 3), (10, 5)]"
11,4,"[(2, 3), (2, 5), (10, 2), (10, 3), (10, 5)]"
11,5,"[(10, 3), (10, 5)]"
12,1,"[(10, 2)]"
12,2,"[(10, 2)]"
12,3,"[(10, 2)]"
12,4,"[(10, 2)]"
12,5,"[(10, 2)]"
13,1,"[(3, 2), (3, 3), (3, 4), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (7, 2), (7, 5), (14, 1), (14, 2), (14, 5), (15, 1), (15, 2), (15, 4)]"
