max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
10,log2,5,70,1,1
5,log2,7,10,1,2
5,sqrt,2,50,1,3
7,sqrt,7,20,1,4
7,sqrt,7,20,1,5
10,sqrt,2,20,1,6
10,log2,2,10,1,7
10,sqrt,2,70,1,8
10,sqrt,7,50,1,9
7,1.0,7,20,1,10
5,sqrt,2,10,1,11
7,sqrt,2,70,1,12
7,sqrt,2,20,1,13
7,log2,7,20,1,14
3,sqrt,2,20,1,15
7,log2,2,20,1,16
10,sqrt,2,70,1,17
7,log2,2,50,1,18
5,sqrt,10,20,1,19
5,log2,2,20,1,20
10,log2,2,70,1,21
5,sqrt,7,70,1,22
5,sqrt,5,70,1,23
5,sqrt,7,50,1,24
5,log2,2,50,1,25
7,1.0,2,10,1,26
5,sqrt,7,10,1,27
10,sqrt,2,70,1,28
10,log2,5,70,1,29
7,sqrt,2,10,1,30
