f_id,i_id,similar_instances
1,1,"[(3, 1), (3, 5), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (15, 5)]"
1,2,"[(13, 1), (13, 2)]"
1,3,"[(13, 1), (13, 2)]"
1,4,"[(13, 1), (13, 3), (13, 4), (15, 1), (15, 4)]"
1,5,"[(13, 1), (13, 3), (13, 4), (15, 1), (15, 4)]"
2,1,"[(4, 2), (4, 4)]"
2,2,"[(4, 2), (4, 4)]"
2,3,"[(4, 2), (4, 4)]"
2,4,"[(4, 2), (4, 4)]"
2,5,"[(4, 2), (4, 4)]"
3,1,"[(1, 1), (1, 4), (13, 3), (13, 5), (15, 1)]"
3,2,[]
3,3,"[(13, 1), (13, 2), (14, 1)]"
3,4,"[(1, 2), (1, 3), (1, 4), (1, 5), (13, 1), (13, 3), (15, 4)]"
3,5,"[(1, 1), (4, 3), (13, 5)]"
4,1,[]
4,2,[]
4,3,[]
4,4,[]
4,5,[]
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
6,1,[]
6,2,[]
6,3,[]
6,4,[]
6,5,[]
7,1,[]
7,2,[]
7,3,[]
7,4,"[(14, 3), (14, 4)]"
7,5,[]
8,1,[]
8,2,[]
8,3,[]
8,4,[]
8,5,[]
9,1,"[(19, 2), (19, 3), (19, 4)]"
9,2,"[(19, 1), (19, 2), (19, 5)]"
9,3,"[(19, 1), (19, 2), (19, 3), (19, 5)]"
9,4,"[(19, 5)]"
9,5,"[(19, 1), (19, 2), (19, 3), (19, 5)]"
10,1,[]
10,2,[]
10,3,[]
10,4,[]
10,5,[]
11,1,[]
11,2,[]
11,3,"[(10, 3)]"
11,4,"[(10, 3)]"
11,5,[]
12,1,[]
12,2,[]
12,3,[]
12,4,[]
12,5,[]
13,1,"[(1, 2), (1, 3), (1, 4), (1, 5), (15, 4)]"
13,2,"[(1, 2), (1, 3), (7, 5), (15, 4)]"
13,3,"[(1, 2), (1, 3), (1, 4), (1, 5), (15, 1), (15, 4)]"
13,4,"[(1, 4), (1, 5), (15, 1), (15, 4)]"
13,5,"[(1, 1), (1, 5), (15, 1), (15, 5)]"
14,1,"[(3, 3)]"
14,2,[]
14,3,[]
14,4,[]
14,5,"[(3, 3)]"
15,1,"[(1, 1), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (13, 3), (13, 4), (13, 5)]"
15,2,[]
15,3,[]
15,4,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 4), (13, 1), (13, 3), (13, 4), (13, 5)]"
15,5,"[(1, 1), (3, 5), (13, 5)]"
16,1,"[(21, 1), (21, 2), (21, 4), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,2,"[(21, 1), (21, 2), (21, 4), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,3,"[(21, 1), (21, 2), (21, 4), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,4,"[(21, 1), (21, 2), (21, 4), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
