f_id,i_id,predicted
1,1,False
1,2,False
1,3,False
1,4,False
1,5,False
2,1,False
2,2,False
2,3,False
2,4,False
2,5,False
3,1,False
3,2,True
3,3,False
3,4,False
3,5,False
4,1,True
4,2,True
4,3,True
4,4,True
4,5,True
5,1,True
5,2,True
5,3,True
5,4,True
5,5,True
6,1,True
6,2,True
6,3,True
6,4,True
6,5,True
7,1,True
7,2,True
7,3,True
7,4,False
7,5,True
8,1,True
8,2,True
8,3,True
8,4,True
8,5,True
9,1,False
9,2,False
9,3,False
9,4,False
9,5,False
10,1,True
10,2,True
10,3,True
10,4,True
10,5,True
11,1,True
11,2,True
11,3,False
11,4,False
11,5,True
12,1,True
12,2,True
12,3,True
12,4,True
12,5,True
13,1,False
13,2,False
13,3,False
13,4,False
13,5,False
14,1,False
14,2,True
14,3,True
14,4,True
14,5,False
15,1,False
15,2,True
15,3,True
15,4,False
15,5,False
16,1,False
16,2,False
16,3,False
16,4,False
16,5,False
17,1,False
17,2,False
17,3,False
17,4,False
17,5,False
18,1,False
18,2,False
18,3,False
18,4,False
18,5,False
19,1,False
19,2,False
19,3,False
19,4,False
19,5,False
20,1,False
20,2,False
20,3,False
20,4,False
20,5,False
21,1,False
21,2,False
21,3,False
21,4,False
21,5,False
22,1,False
22,2,False
22,3,False
22,4,False
22,5,False
23,1,False
23,2,False
23,3,False
23,4,False
23,5,False
24,1,False
24,2,False
24,3,False
24,4,False
24,5,False
