f_id,i_id,ela_meta.lin_simple.intercept,ic.eps.s,ela_level.mmce_qda_50,ic.eps.ratio,pca.expl_var.cov_init,ic.eps.max,ela_distr.kurtosis,nbc.nb_fitness.cor,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cov_init
1,1,0.5800180793475316,1.3121087441508157,-0.6563546754759115,1.3926774764133911,-0.7091399635591877,0.7559982882293949,-0.1974880229714018,0.2417393782808589,0.6103868132129044,0.6896055604461341
2,1,5.0146415862761735,1.470092302338644,-0.299675234503324,1.5656376970527124,-0.7091399635591877,4.610042653540992,-0.1997662474858964,-0.1683253257789893,1.2331350274119184,0.6896055604461341
3,1,-0.0104263083058327,1.2794290587592243,-0.7049759104055775,1.3201322855780462,-0.7091399635591877,0.1002408976394598,-0.1965262425076743,0.4040251329318509,-0.6754642019347817,0.6896055604461341
4,1,-0.3303062635336701,-0.0988047004160549,-0.3679676560839236,-0.0914750581830901,-0.7091399635591877,-0.3870866502084114,-0.1962814703525994,0.002282775264361,0.6158825740542978,0.6896055604461341
5,1,-0.3303102483527418,-1.4498008533657023,2.4297947019299837,-1.4082692097729452,1.4275086135387989,-0.3870915786010923,-0.1991865778634176,-2.2508033662305267,-1.6442883274032425,-1.6491191354835215
6,1,-0.3303102390873994,-1.20466239733502,1.1723233741306838,-1.146014025078132,1.4275086135387989,-0.3870915777774223,-0.200195878946373,-1.476068574796422,-1.1075880258066138,-1.6491191354835215
7,1,-0.3303101492370751,-0.6871478790480243,-0.5420391002214299,-0.632707330953895,0.3590374359084706,-0.3870915124932033,-0.2005674410294743,-0.0094441673794164,1.3876444179242304,0.1972494607575509
8,1,-0.330310198999103,-0.8723690434614836,0.0243426135394114,-0.8112415193869421,1.4275086135387989,-0.387091563560744,-0.2001271583957223,-0.6374030315301077,0.9946190068954528,-1.542674537413196
9,1,-0.3303101876590125,-0.8505735164018124,-0.0476613526923077,-0.7945196160057638,1.6945529634057133,-0.3870915609156248,-0.199368671960373,-0.5859557992864368,0.6020646610816518,-1.5077245632652616
11,1,-0.3303098099579032,-0.5182801625282758,2.0326594242601925,-0.4541452726818792,-0.7091399635591877,-0.3870912825687331,-0.20030915007755,-1.9428765497132603,-1.5386126975101673,0.482962177176027
12,1,-0.3303101825838807,-1.057562997479113,2.423856230488192,-1.0009515132464102,1.4275086135387989,-0.387091575621148,-0.2004129990169835,-1.617548463466517,-1.6442883274032425,-1.6500493629323256
