f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,disp.ratio_mean_10,disp.diff_median_25,nbc.nb_fitness.cor,ela_level.qda_mda_25,disp.diff_median_05
1,1,1.393320048172431,1.313179946442356,0.7559982814068809,0.580018069454783,-0.6548570506842823,-0.0182293343961503,-0.0745095602072652,0.2475893940337582,0.8883450370671782,0.0461331285252627
2,1,1.5687350054048024,1.473542294408092,4.610042661107607,5.0146415943085225,-0.6548570506842823,-1.5873024135313794,-1.5317948009955047,-0.1552270944687385,-0.5564372330956812,-1.5614589861239327
3,1,1.3197452602775124,1.280008196544518,0.1002408883686663,-0.0104263205852041,-0.6548570506842823,1.1808557725505642,1.1299682777251798,0.4070066205721082,0.1438291370318691,1.1545934785084186
4,1,-0.1118963097868792,-0.118977901769725,-0.3870866612986492,-0.3303062771060215,-0.6548570506842823,-0.9148425224734236,-0.8317506968807739,0.0123653744561934,-0.1933101384558175,-0.966202365609625
5,1,-1.4473790521837675,-1.4903162718177427,-0.3870915896913485,-0.3303102619251093,1.5470030867191007,1.3996077853043565,1.5050559906600822,-2.200895700747563,0.8205659952243416,1.3853656444014657
6,1,-1.181401812809514,-1.2414867174217188,-0.3870915888676785,-0.3303102526597669,1.5470030867191007,0.5691603294797738,0.5885110481184408,-1.4398549549421082,0.6730675621984783,0.5465751951723381
7,1,-0.6608100174009066,-0.7161798803634458,-0.3870915235834592,-0.3303101628094422,0.4459216458094205,-1.2456711837368748,-1.134171407503101,0.0008457147296464,-0.2888329331773293,-1.2988070458184948
8,1,-0.841878050921785,-0.9041899565954068,-0.3870915746510001,-0.3303102125714703,1.5470030867191007,-1.2416202205377311,-1.295327631394258,-0.6160134835306356,-0.1315012712830754,-1.14708128519565
9,1,-0.8249188220562641,-0.8820662499607952,-0.3870915720058809,-0.3303102012313798,1.8221977608425264,-1.225416367741154,-1.3005450682868462,-0.5654756215044922,-0.2593332465721568,-1.134591011780952
10,1,-0.4797137184985856,-0.5502935107660966,-0.387091307005121,-0.3303098412766514,-0.6548570506842823,1.3503210663814336,1.466996466893975,-1.8723995975776304,0.8205659952243416,1.3157585019461058
