f_id,i_id,ela_meta.lin_w_interact.adj_r2,pca.expl_var.cov_init,pca.expl_var_PC1.cov_init,ela_level.qda_mda_25,nbc.nb_fitness.cor,ic.eps.s,ic.eps.max,ela_level.lda_mda_10,disp.diff_median_25,ela_distr.number_of_peaks
1,1,1.1881192189076548,-0.7091399635591878,0.6997023938838479,0.9025778646306364,0.306521459876312,1.3163980460635574,0.7559983064087284,3.091824848325768,-0.1295162928031667,-0.2906184151239539
2,1,0.4622380654518925,-0.7091399635591878,0.6997023938838479,-0.5527348638385813,-0.0821759428131495,1.4738386221391822,4.610042633378995,0.8639737494288551,-1.5375985504632743,-0.7073843840654483
3,1,0.5603433928255392,-0.7091399635591878,0.6997023938838479,0.1526354766008014,0.4603509670292449,1.283830679224628,0.1002409223424886,-0.7718746817453409,1.0342942131072077,0.7744501721709763
4,1,0.3513577538793406,-0.7091399635591878,0.6997023938838479,-0.1869610764693121,0.0795422570142927,-0.0896661548791374,-0.3870866206572841,1.6373017375633303,-0.861190353225,-0.3369257450063422
5,1,-1.7666691135597206,1.4275086135387989,-1.648918523372931,0.8343048076071659,-2.0561419961392446,-1.4360189971379669,-0.387091549049916,-0.7718746817453409,1.3967176693169665,-0.7073843840654483
6,1,-1.1950704615830483,1.4275086135387989,-1.6489185233729315,0.6857313156389909,-1.3217764235303726,-1.1917230705335398,-0.387091548226246,-0.7718746817453409,0.5111184497414464,-0.7073843840654483
7,1,0.9394983725751084,0.3590374359084704,0.205262908774673,-0.2831800998391781,0.0684263718820299,-0.6759872254797498,-0.3870914829420276,1.328558624429796,-1.1534002961088854,-0.7073843840654483
8,1,0.276673230870354,1.4275086135387989,-1.5420235091833363,-0.1247017084064584,-0.5268113481036777,-0.8605717934003106,-0.3870915340095678,0.0926060350285604,-1.3091153292549684,-0.7073843840654483
9,1,0.1854467411422722,1.6945529634057128,-1.5069256455979887,-0.2534654014455433,-0.47804488429762,-0.8388511765493676,-0.3870915313644487,0.1494539733198127,-1.3141566074572653,-0.7073843840654483
10,1,-1.6557888019871685,-0.7091399635591878,0.49018282799413,0.8343048076071659,-1.7391599813998675,-0.513123274410132,-0.3870912663636924,-0.7718746817453409,1.3599431665291235,-0.7073843840654483
11,1,-1.6615211666918055,-0.7091399635591878,0.4921846072860701,0.8378422717016458,-1.764260367182398,-0.5076998994161387,-0.3870912530175597,-0.7718746817453409,1.1095970549438985,-0.7073843840654483
12,1,-1.7648822223080278,1.4275086135387989,-1.649852687042503,0.8343048076071659,-1.4558841989970317,-1.0451292444459015,-0.3870915460699717,-0.7718746817453409,1.3823666438387838,-0.7073843840654483
13,1,0.968160196098294,1.4275086135387989,-1.647050196033787,-0.1031231774301283,0.133328797976857,-1.17542582867659,-0.387091548226246,1.5863346204746211,-1.2652053556518013,-0.7073843840654483
14,1,0.3810022684947493,1.6945529634057128,-1.4901106995456928,-0.7879762261215247,-0.2496313736765979,-0.8551213015313475,-0.3870915340095678,0.9629675730050048,-1.6046727769657954,-0.7073843840654483
15,1,-0.658029779682903,-0.7091399635591878,0.6997023938838479,-0.25947909040616,1.3370715847190364,1.115516236286047,-0.3825659303731664,0.0024334432562273,-1.1260957082919976,2.441514047936954
16,1,-1.768634495744167,1.4275086135387989,-1.652388274145627,0.8502233960323281,-1.6014664365357043,-1.4414423721319598,-0.3870915491101845,-0.7718746817453409,0.901703390936712,-0.1053890955944008
17,1,0.9971495833188874,-0.7091399635591878,0.6997023938838479,0.3242024851830985,0.5908729730983999,1.2946774292126144,0.0890104336911263,-0.7718746817453409,0.7954040959117927,0.5892208526414232
18,1,-0.3876259474727352,-0.7091399635591878,0.6997023938838479,0.1473292804590814,-0.3148923767111762,1.3055241792006012,0.8099256501765324,-0.7718746817453409,-0.1684330385125572,-0.1053890955944008
