f_id,i_id,ic.eps.max,disp.diff_median_25,ic.eps.s,pca.expl_var_PC1.cov_init,pca.expl_var.cov_init,disp.diff_mean_10,ela_distr.skewness,disp.ratio_mean_10,ic.eps.ratio,ela_level.qda_mda_25
1,1,0.7710553020741628,-0.0855567783945128,1.4106223379395004,0.6997709232301093,-0.7091399635591878,-0.0245937125180848,-0.2256322824099885,-0.0245007635038727,1.4969369349792463,0.8556649633858158
2,1,4.616384489550246,-1.519797321192622,1.5727829619756162,0.6997709232301093,-0.7091399635591878,-1.5809967295358038,-0.2756442384277232,-1.5808188192125563,1.6750219215066549,-0.5735099508198148
4,1,-0.3694447702917196,-0.830823325048222,-0.0375954845752539,0.6997709232301093,-0.7091399635591878,-0.913758401980821,-0.2017945787875563,-0.9138253667659774,-0.0311906492205748,-0.214305560618399
5,1,-0.3694496875397912,1.4690304016937124,-1.4243118096515783,-1.648925550924001,1.4275086135387989,1.3817532463582427,-0.4370930126917186,1.3818107326184306,-1.3870010655027214,0.7886181091219158
6,1,-0.3694496867179838,0.566979190924053,-1.1726919229927142,-1.6489255509240013,1.4275086135387989,0.558058816323826,-0.3576442217401855,0.5581139991753671,-1.1169753285992543,0.6427130376667953
7,1,-0.3694496215813924,-1.1284617228142944,-0.6414943844906675,0.2053155316316673,0.3590374359084704,-1.2425821587243555,-0.2981879478478572,-1.241964715861181,-0.5884594920117889,-0.3087964640369535
8,1,-0.3694496725334537,-1.2870695118453048,-0.8316127737111014,-1.5420270978415849,1.4275086135387989,-1.2376677917584653,-0.3252575706390627,-1.2379466830151178,-0.7722836015339577,-0.1531643878181587
9,1,-0.369449669894316,-1.2922044430937631,-0.809240975596577,-1.506928105131628,1.6945529634057128,-1.2215685476367475,-0.2950664168100856,-1.2218745516308631,-0.7550662325496771,-0.2796154497459296
10,1,-0.3694494054928051,1.4315727300607974,-0.4737477933847581,0.4902446169387317,-0.7091399635591878,1.3328660014415057,-0.3627711371578221,1.3329246663246548,-0.4046066868746463,0.7886181091219158
11,1,-0.3694493921768521,1.1765758781268385,-0.4681618263149643,0.4922464606294137,-0.7091399635591878,1.1254633254458568,-0.3621885331330906,1.125326302611363,-0.4046066868746463,0.7920920393946563
12,1,-0.3694496845665854,1.454412773739404,-1.0217032330961862,-1.6498597446463192,1.4275086135387989,1.3510510097031307,-0.2966363813398882,1.3510058141319423,-0.9676146526606209,0.7886181091219158
13,1,-0.3694496867179838,-1.2423438120275183,-1.1559060919479838,-1.6470571634793645,1.4275086135387989,-1.4053960086771446,-0.2905589014608478,-1.405364718267774,-1.1227144515940146,-0.1319734131544389
14,1,-0.3694496725334537,-1.5881176018462546,-0.8259988768059586,-1.4901126181298996,1.6945529634057128,-1.6059228006070152,-0.2972987101258987,-1.6062663605709602,-0.7722836015339577,-0.8045263139570886
