f_id,i_id,pca.expl_var.cov_init,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_meta.lin_simple.coef.min,nbc.nb_fitness.cor,ic.m0,disp.diff_median_25,disp.ratio_median_02,ela_level.mmce_qda_10
1,1,-0.655664334537321,1.3911125027529851,1.3110759900738376,0.7559982823266437,0.0464140177262151,0.2989435066763927,-0.9024139713629292,-0.115707741154477,0.0615040620880366,-1.5010778300282115
2,1,-0.655664334537321,1.5647901669322497,1.4695022199810377,4.610042660087529,5.240166847843852,-0.0886977949727065,-0.6400498444917817,-1.522240497537244,-1.5595106626705044,-0.4196310501329337
3,1,-0.655664334537321,1.3182663925598452,1.2783047358336472,0.1002408896184888,0.0151200090219317,0.4523550550227617,-0.2688209346865478,1.0468220683649867,1.1307551363356765,-0.8768870711624788
4,1,-0.655664334537321,-0.0991963355548415,-0.1037908499447862,-0.387086659803542,-0.2643009451935826,0.0725810122632196,-0.7380281491324605,-0.8465766427263546,-1.0424412416993036,-1.0293057448389935
5,1,1.5174202131795802,-1.4214525838857937,-1.4585725094164492,-0.3870915881962389,-0.2643087948598053,-2.0573005307460392,2.0151622112705785,1.408846701561899,1.2670240379012472,1.6222953083270455
6,1,1.5174202131795802,-1.1581095577938052,-1.2127471726555186,-0.3870915873725689,-0.2643087946155836,-1.3249302486636083,0.9711489429326918,0.5242220252806216,0.472818783377981,1.6416500605399365
7,1,0.4307285453607476,-0.6426736540146089,-0.6937825728268869,-0.3870915220883496,-0.2643085583902899,0.0614953292824801,-0.8915274930695218,-1.1384650279190702,-1.3734994320058438,-1.0534991851051074
8,1,1.5174202131795802,-0.8219484069524704,-0.879522729040857,-0.3870915731558905,-0.2643087450655872,-0.5321251142023038,0.6380227071543887,-1.2940087069830686,-1.0696114214593109,0.5021390240059906
9,1,1.7890184331540973,-0.8051571406766794,-0.8576661306675074,-0.3870915705107713,-0.2643087309524664,-0.4834911501577675,0.3288467236215844,-1.2990444375925516,-1.0441132527614585,0.538429184405161
10,1,-0.655664334537321,-0.4633709156329544,-0.5298990149862665,-0.3870913055100115,-0.2643087479621666,-1.7411797644565523,2.010807619953216,1.3721126666790624,1.193873553931999,1.6222953083270455
11,1,-0.655664334537321,-0.4633709156329544,-0.5244416870528459,-0.3870912921638787,-0.2643087607194418,-1.766211951832417,1.9857687198783736,1.1220420444110049,1.0003382734876447,1.6222953083270455
12,1,1.5174202131795802,-1.0124453228513188,-1.0652355986151598,-0.3870915852162945,-0.2643087947388423,-1.4586736497860833,2.0151622112705785,1.3945114684368898,1.2356738304858548,1.6222953083270455
13,1,1.5174202131795802,-1.1637066465524024,-1.1963479022155896,-0.3870915873725689,-0.2643087942458075,0.1262214137829294,-0.90350261919227,-1.2501470533980084,-1.4838521621080247,-1.0534991851051074
14,1,1.7890184331540973,-0.8219484069524704,-0.8740381144677692,-0.3870915731558905,-0.2643087767430725,-0.2556982450374011,-0.5834401573660583,-1.5892409132953451,-1.5519866128908102,-0.3954376098668202
15,1,-0.655664334537321,0.8700515247713988,1.1089365634199386,-0.3825659694598483,-0.2419430790269759,1.326693599794024,-0.269909582515891,-1.1111904869928877,-1.387711526034155,0.748912114720348
16,1,1.5174202131795802,-1.5054928715961275,-1.46402983734987,-0.3870915882565074,-0.264308794860155,-1.6038603365660964,1.9073860761658328,0.9143771536137482,0.7612406915995881,1.6222953083270455
17,1,-0.655664334537321,1.3182663925598452,1.2892193917004882,0.0890104008191253,-0.0622374672037106,0.5825224293772563,-0.2949484825907304,0.8081948339235621,0.6605020251047947,-0.2236641839774141
18,1,-0.655664334537321,1.402306680270179,1.3001340475673295,0.8099256268051305,-0.1382757383772444,-0.3207819322146492,-0.3526468175457946,-0.1545816615623919,0.4581886865841311,0.3690751025423663
19,1,-0.655664334537321,-0.3009154144146769,-0.2731317357188274,-0.3870905602024896,-0.2643084573797874,0.4966977869457212,-0.57473097473133,-0.2718033906903644,-0.1107130773138511,-0.8188228145238065
20,1,-0.655664334537321,1.4975691309414998,1.4421882936742678,1.7924273979059535,0.3235480248921779,0.4369781399204451,-0.2394274432943453,0.6891372030086534,0.8569633249079183,-0.5018887470377196
21,1,-0.655664334537321,1.3490923588978183,1.316533318007258,0.255515446678323,0.0339163517332439,0.7802767096465848,-0.5649331442672633,0.3711862120562946,0.6730421080709511,-1.203498514755011
