f_id,i_id,ic.eps.ratio,pca.expl_var.cov_init,ela_level.qda_mda_25,ic.eps.s,nbc.nb_fitness.cor,ela_level.lda_mda_10,ic.eps.max,ela_distr.kurtosis,ela_meta.lin_w_interact.adj_r2,disp.diff_mean_05
1,1,1.394926763591835,-0.7091399635591878,0.8667896450086737,1.316033097546384,0.3081017525824199,3.1044446570636515,0.7559982978930341,-0.1970051592573674,1.1945780400489885,0.0107786866624708
2,1,1.567570063475566,-0.7091399635591878,-0.5657246282619289,1.4734972478222306,-0.0808736166617956,0.8710890036027209,4.610042642823409,-0.1992831789243585,0.4671436782793818,-1.572316745509376
3,1,1.322514499718591,-0.7091399635591878,0.1285956101682077,1.2834608542667956,0.4620412667943837,-0.7688012672403469,0.1002409107709201,-0.1960434652725297,0.5654589270835323,1.0970783297614537
4,1,-0.0865063090327766,-0.7091399635591878,-0.2056809339104935,-0.0902416389508922,0.08096023161232,1.646327723611816,-0.3870866344998322,-0.1957987151262448,0.3560261099314524,-0.9671587574854136
5,1,-1.4008876549732427,1.4275086135387989,0.7995861314595185,-1.436796075946375,-2.056251299032098,-0.7688012672403469,-0.3870915628924871,-0.1987035614231146,-1.766532817506398,1.304981369668567
6,1,-1.1391130091617845,1.4275086135387989,0.6533401434250864,-1.19246356994653,-1.3213605645190412,-0.7688012672403469,-0.3870915620688171,-0.199712771754344,-1.1937110840732013,0.4945152239626462
7,1,-0.6267468639380394,0.3590374359084704,-0.3003926213994594,-0.6766505017246349,0.0698363972520154,1.336821770756475,-0.3870914967845984,-0.2000843004282862,0.9454252058508246,-1.3267092805428171
8,1,-0.8049539182492191,1.4275086135387989,-0.1443969008293987,-0.8612627082226865,-0.5258269910739981,0.0978154007546119,-0.3870915478521388,-0.1996440573827301,0.2811817802908971,-1.1681483193109945
9,1,-0.7882626549668733,1.6945529634057128,-0.2711434237925731,-0.839538839057865,-0.4770256532352406,0.1548037984232126,-0.3870915452070197,-0.1988856391470036,0.1897600881641665,-1.153350868918585
10,1,-0.4485119908547222,-0.7091399635591878,0.7995861314595185,-0.513762164391405,-1.7390426030801729,-0.7688012672403469,-0.3870912802062621,-0.1998250086415107,-1.6554152491584684,1.2296759837532316
11,1,-0.4485119908547222,-0.7091399635591878,0.8030681787936713,-0.5083379773340214,-1.7641609387324748,-0.7688012672403469,-0.3870912668601294,-0.1998260327007002,-1.6611598797229847,1.0278525004469992
