f_id,i_id,ic.eps.s,pca.expl_var.cov_init,ic.eps.ratio,disp.diff_median_05,nbc.nn_nb.cor,disp.ratio_mean_10,disp.ratio_median_25,nbc.nb_fitness.cor,disp.diff_mean_10,ela_meta.lin_w_interact.adj_r2
1,1,1.3112325914284797,-0.6548570506842823,1.3913523999139823,-0.0385781802926197,0.3181130841634649,-0.1080558102737359,-0.1698402627253562,0.2712260269281701,-0.1081473437605262,1.1776335452539666
2,1,1.4705706046020393,-0.6548570506842823,1.5656894955812108,-1.6406421008524863,1.6437978815838628,-1.674528038539759,-1.6197093705603804,-0.117870006591383,-1.6746674300090787,0.4537369304537106
3,1,1.2782727302811416,-0.6548570506842823,1.3182297025208478,1.0660703918774996,-0.923322585944235,1.089041727334033,1.028787988878328,0.4252132948062961,1.0893124302299493,0.5515740406218861
4,1,-0.1117771672824081,-0.6548570506842823,-0.1046149470997005,-1.0474324511469892,0.7938728619292899,-1.00318279785432,-0.923562831419374,0.0440140442548519,-1.0030918605703876,0.3431597625340869
5,1,-1.4743559399429726,1.5470030867191007,-1.4318916303232276,1.2960489775384427,-1.4114719412560448,1.3074311429786931,1.402508762522442,-2.0938604720204803,1.3073412766198935,-1.7690764790265876
6,1,-1.227115815816104,1.5470030867191007,-1.1675487250334085,0.4601429642065551,-0.5045548648899411,0.478360213216556,0.490713821782874,-1.358741766625605,0.4782925948379584,-1.1990405616861333
7,1,-0.7051644426593814,0.4459216458094205,-0.6501557782079146,-1.3788933690728409,0.8830778202603818,-1.3334630869465531,-1.2250518588969834,0.032886759163426,-1.3340530667247383,0.9296924213219296
9,1,-0.8699911920772938,1.8221977608425264,-0.8132561935227597,-1.2152420417792953,0.2809443515255098,-1.3132418447572334,-1.3904520892492802,-0.5141449337183085,-1.3129028610945608,0.1777023458389924
10,1,-0.5403376932414691,-0.6548570506842823,-0.4701722506636135,1.226681200398445,-1.34952405352612,1.258226120318013,1.3648226340877452,-1.7765533745746451,1.2581362504884457,-1.6584993111069637
11,1,-0.5348489569971163,-0.6548570506842823,-0.4701722506636135,1.0158711945186187,-1.3866927861640748,1.0492732843617023,1.1062539195496586,-1.801679502200447,1.049385397183472,-1.6642160036877418
12,1,-1.0787552751312497,1.5470030867191007,-1.0213314219480194,1.2243379513930153,-1.7360788729608527,1.2764252382884025,1.3868062090079871,-1.492987077083458,1.2764394665571328,-1.7672944730853142
13,1,-1.210622163401824,1.5470030867191007,-1.1731670652096,-1.5252228249989257,2.191417209116401,-1.4979291900863605,-1.3391570811020497,0.0978557463101411,-1.4979252537365668,0.9582758842258208
14,1,-0.886457400810352,1.8221977608425264,-0.8301112140513348,-1.6418380241501176,2.213718448699174,-1.700141611979565,-1.6888006060239984,-0.2854971723235148,-1.6997555277430003,0.3727232298803967
15,1,1.1079298009376548,-0.6548570506842823,0.8683130212114164,-1.4267577691810456,0.6303304383222876,-1.3685132400747106,-1.196787262570956,1.3028330383075029,-1.368663945431161,-0.6634681339040848
