f_id,i_id,ic.eps.s,ic.eps.ratio,ela_meta.lin_w_interact.adj_r2,pca.expl_var.cov_init,disp.ratio_median_10,disp.diff_median_25,ela_distr.number_of_peaks,ela_level.mmce_qda_50,ic.m0,disp.ratio_mean_10
1,1,1.3111157149772124,1.3912695740076884,1.1736806744042536,-0.6559690833927628,-0.123323789727316,-0.1699798676870028,-0.3439272437304981,-0.6831851925789078,-0.869884217026929,-0.1074188530927443
2,1,1.4703474749425132,1.565523500712647,0.4502868319601573,-0.6559690833927628,-1.6607867444293307,-1.6207580113657292,-0.7595059965715167,-0.3476012929035414,-0.6082488599325873,-1.6727379932092132
3,1,1.2781778328348898,1.3181817604058503,0.5480559907200883,-0.6559690833927628,1.069256122897118,1.0291197134441563,0.7181073468632162,-0.7289307605887652,-0.2380511140024189,1.0887974949480674
4,1,-0.1109451216953285,-0.1039841093341026,0.339786463879234,-0.6559690833927628,-1.0074662263645588,-0.923839757179975,-0.3901026607128335,-0.4118546098028833,-0.7059550098848323,-1.0018869331592974
5,1,-1.4726152702101718,-1.430627604170693,-1.7709827532884226,1.5820611845132777,1.3068272203752165,1.4025325777603133,-0.7595059965715167,2.220436166214714,2.039587803773219,1.307026153036594
6,1,-1.2255400160717986,-1.1664108058636256,-1.2013427464901607,1.5820611845132777,0.4685792002962434,0.4900802087104102,-0.7595059965715167,1.0373370485246605,0.9984744948376428,0.4785655065894099
7,1,-0.7039367017796778,-0.6492646856490065,0.925911754541858,0.4628921917490443,-1.3186033739139995,-1.2249100932312382,-0.7595059965715167,-0.5756307273343575,-0.8590279781433475,-1.3319241012561427
8,1,-0.8906212677603533,-0.8291342722542215,0.2653578555411228,1.5820611845132777,-1.3165786202423115,-1.3853467193598492,-0.7595059965715167,-0.0427472404409039,0.6662735850000143,-1.3278828298100591
10,1,-0.5392198656874291,-0.4693670207442903,-1.6604823852074988,-0.6559690833927628,1.2589080501452596,1.3646429980862451,-0.7595059965715167,1.7933611305196324,2.0352453082197863,1.2578573504425734
11,1,-0.5337347895604811,-0.4693670207442903,-1.6661951073387136,-0.6559690833927628,1.0510333398519234,1.1067058888960866,-0.7595059965715167,1.846789160332672,2.0102759587875445,1.049058325728243
12,1,-1.077278408360394,-1.0202632569594507,-1.769201985014666,1.5820611845132777,1.2791555868621425,1.3877464003265307,-0.7595059965715167,2.214848921266945,2.039587803773219,1.2760430719499516
13,1,-1.2090573623103198,-1.172026465763882,0.9544753651979314,1.5820611845132777,-1.4792338318679417,-1.3401053070443183,-0.7595059965715167,-0.6143922391595039,-0.8709698409152872,-1.4962691400635528
14,1,-0.8851087662527706,-0.8291342722542215,0.3693293983292294,1.8617765032987292,-1.6756349380217117,-1.689866063316983,-0.7595059965715167,-0.3158238372631062,-0.551796417737959,-1.6983327123677443
15,1,1.107948495235058,0.8684797155933117,-0.6661422931115074,-0.6559690833927628,-1.343575335864824,-1.1967775753961476,2.3804223582272903,-0.1230638865650811,-0.2391367378907795,-1.3669484537888714
16,1,-1.4781003463371198,-1.514946737573044,-1.7729414008762674,1.5820611845132777,0.8094127350304476,0.89250847087584,-0.1592255758011565,2.2054204454175843,1.9321110388257507,0.8160116723374095
17,1,1.2891479850887857,1.3181817604058503,0.9833654171186456,-0.6559690833927628,0.6359588371558126,0.782985967434258,0.5334056789338746,-0.8420724707810842,-0.2641060873230192,0.6328073667816086
18,1,1.3001181373426818,1.4025008938082013,-0.3966650291504958,-0.6559690833927628,0.0845509205660214,-0.2100766473965268,-0.1592255758011565,-0.453409744101914,-0.3216441534060057,0.0831944501142093
19,1,-0.2811470339145253,-0.3063724921393461,0.4750963680728611,-0.6559690833927628,-0.2650565467454994,-0.3309858276565351,0.810458180827887,-0.4834411856961715,-0.5431114266310914,-0.2657019847310279
20,1,1.4428946689271385,1.4980794253105665,0.4367395194775626,-0.6559690833927628,0.8202114212794525,0.6601831333120549,0.810458180827887,-0.6720107026833707,-0.2087392690167466,0.8119704008913246
21,1,1.3166007911041602,1.3491100073065128,1.1645403189943102,-0.6559690833927628,0.5725165554429107,0.3322303385112027,0.7181073468632162,-0.7285815577795303,-0.533340811635868,0.572188295090352
22,1,0.6302806407197906,0.3485257654285643,-0.3165236986811705,-0.6559690833927628,-0.0659557690294785,-0.3878697044581522,3.719509450715017,-0.3591249856083148,-0.4269496705767602,-0.0777828624881298
23,1,-0.4019558356105551,-0.3794322274416828,0.2150859007864339,-0.6559690833927628,-0.6673076095209174,-0.9247721444846724,-0.4824534946775043,-0.3804263569716835,-0.4323777900185485,-0.6502963173500047
24,1,-0.5556750940682731,-0.7448151388518706,1.0093174976575918,-0.6559690833927628,-1.3280522243818804,-1.277594101554175,-0.2515764097658273,-0.6639790380709523,-0.6299613376997526,-1.2706314843238722
25,1,-0.676483895764303,-0.6829867233500466,0.8647040174217008,1.3023458657278255,0.1547423811845504,0.0777958701249729,-0.2054009927834919,-0.7058833751792187,-0.5127139577570609,0.179511419579207
26,1,-0.4897993297836275,-0.5874362701471827,0.1045855327055102,-0.6559690833927628,-0.1584195200365798,0.054127259651309,-0.0206993248541503,-0.1436668523099786,-0.1729136807009254,-0.1437902961074992
27,1,-0.297629687676004,-0.3288351317403719,0.5880450456385912,-0.6559690833927628,-0.0106125020033306,0.277384511835782,0.2563531770398621,-0.3165222428815774,-0.6592731826854272,0.0212282879409233
28,1,-0.3580203758337016,-0.3738165675414263,-1.2943785069127995,-0.6559690833927628,1.2015400294474234,0.9477462302678368,-0.4362780776951689,-0.7027405498960987,-0.5735088955051242,1.1588462000135202
29,1,1.091493266854214,1.093330737999581,0.8469129684987753,-0.6559690833927628,1.200190193666298,1.2662678862256012,-0.2515764097658273,-0.5400120407923311,-0.8905110709057386,1.1891557358591485
30,1,0.948744160650392,0.9050376615439812,0.7995789851258539,-0.6559690833927628,0.5077244379488849,0.6108243646687022,0.3487040110045329,-0.4830919828869359,-0.6093344838209453,0.4893422304456337
