f_id,i_id,ic.eps.s,disp.diff_median_25,ic.eps.ratio,pca.expl_var.cov_init,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_level.qda_mda_25,disp.ratio_mean_10,pca.expl_var_PC1.cov_init,disp.diff_median_05
1,1,1.312168140756524,-0.0831629199765927,1.3926774764133911,-0.7091399635591877,0.5800180798422361,-0.232548733516458,0.8885546311476857,-0.0258229687971817,0.6896971470282732,0.0385858127658403
2,1,1.4701362579388155,-1.521745870687593,1.5656376970527124,-0.7091399635591877,5.014641585874502,-0.2826491342832916,-0.5563715457943439,-1.57972011616756,0.6896971470282732,-1.5552102817118398
3,1,1.2794916494137871,1.1058570698379138,1.3201322855780462,-0.7091399635591877,-0.010426307691781,-0.1803411055929078,0.143964573997199,1.1616646963189068,0.6896971470282732,1.137533587259019
4,1,-0.098607403875957,-0.8306858882366025,-0.0914750581830901,-0.7091399635591877,-0.3303062628549607,-0.2086688735801389,-0.1932082820709455,-0.913764195865969,0.6896971470282732,-0.9650620293395564
5,1,-1.4494715130906968,1.4761310379990598,-1.4082692097729452,1.4275086135387989,-0.3303102476740316,-0.4443834262008467,0.8207688382089863,1.3783009595495446,-1.6491050364604272,1.366325314565267
6,1,-1.2043570164156596,0.5713487133063223,-1.146014025078132,1.4275086135387989,-0.3303102384086893,-0.3647941322787953,0.6732557136791727,0.5558855158036047,-1.6491050364604274,0.5347331899931156
7,1,-0.6868930789905814,-1.1292254370265598,-0.632707330953895,0.3590374359084706,-0.3303101485583649,-0.3052327116246626,-0.2887405912902536,-1.241393112480205,0.1973247344010992,-1.294812365566835
8,1,-0.8720961402478773,-1.2883134381960382,-0.8112415193869421,1.4275086135387989,-0.3303101983203929,-0.3323502062886483,-0.1313932584584528,-1.2373813298277858,-1.5426569116252404,-1.1443886837704642
9,1,-0.8503027434406062,-1.2934639163248278,-0.7945196160057638,1.6945529634057133,-0.3303101869803023,-0.3021056602463281,-0.2592379663842911,-1.2213341992181093,-1.5077057795008284,-1.132005599276642
10,1,-0.5234834145405568,1.4385599568753074,-0.4541452726818792,-0.7091399635591877,-0.3303098270255755,-0.3699301145033291,0.8207688382089863,1.3294909372784434,0.4810535065897676,1.2973155260858598
12,1,-1.0572719937688342,1.4614691526824737,-1.0009515132464102,1.4275086135387989,-0.3303101819051706,-0.3036784012146064,0.8207688382089863,1.3475439592143308,-1.6500352947298982,1.294984369965736
13,1,-1.1880051668761216,-1.243452323692219,-1.1515879928718582,1.4275086135387989,-0.3303101726155056,-0.2975901734819354,-0.1099687332291228,-1.4045389403452542,-1.647244519921485,-1.440386654063724
14,1,-0.8666273852438054,-1.590273002645779,-0.8112415193869421,1.6945529634057133,-0.3303101468626834,-0.3043419013105988,-0.7899339929665485,-1.6051280729662154,-1.4909611306503496,-1.556400033167196
15,1,1.1106132299596905,-1.101329400203512,0.8737689446564598,-0.7091399635591877,-0.314098452722282,0.440922294474051,-0.2652087357104979,-1.27616189546784,0.6896971470282732,-1.3424297502279383
16,1,-1.45491306035843,0.9703941768445756,-1.4919623361957428,1.4275086135387989,-0.3303101450896167,-0.3665143177128497,0.8365738158371812,0.8908693672806096,-1.6525602814613196,0.8520773193484646
17,1,1.290374743949253,0.8617923159351397,1.3201322855780462,-0.7091399635591877,-0.0069385106954115,-0.1052857289934711,0.3143071106566264,0.7090018870376044,0.6896971470282732,0.6276283950577042
18,1,1.301257838484719,-0.122922647485494,1.4038254120008438,-0.7091399635591877,0.3230845237411566,-0.2504816666664749,0.1386962481211348,0.1633994463085913,0.6896971470282732,0.3089179433596316
