f_id,i_id,ic.eps.s,ic.eps.ratio,disp.diff_median_25,ela_level.qda_mda_25,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,ela_meta.lin_w_interact.adj_r2,ic.eps.max,disp.ratio_mean_10,pca.expl_var.cov_init
1,1,1.4129053123445876,1.5064889864312028,-0.1253555860975409,0.8554673702078492,0.602652839372689,-0.6398331381166696,1.1567459899644603,0.805022869517905,-0.0577028964205274,-0.7091399635591878
2,1,1.5752397131797504,1.685355287933638,-1.532157076032976,-0.5736776283221204,5.038041176448034,-0.4764936780899287,0.4316227977194883,4.696521899593417,-1.5803906047830192,-0.7091399635591878
3,1,1.3793256334945998,1.431466591521303,1.0373963375279591,0.1190095683401936,0.0121066190232854,1.03691699783685,0.5296256840359908,0.1428926479735396,1.1059345261490867,-0.7091399635591878
4,1,-0.0368644692787085,-0.0283429752041807,-0.856364128211427,-0.2144807570338387,-0.3078285052245831,-1.051206592998832,0.3208582667741261,-0.3491708832218889,-0.9278101583419508,-0.7091399635591878
5,1,-1.4250668463827094,-1.3901017591853384,1.399490139512723,0.7884219193774452,-0.3078324907309081,1.03691699783685,-1.7949569683594433,-0.3491758595100475,1.3182197316178677,1.4275086135387989
6,1,-1.1731773153589442,-1.1188913342517397,0.5146964459576164,0.6425199020263057,-0.3078324814639678,1.0500244853698597,-1.2239551766322427,-0.3491758586783728,0.5123221923382361,1.4275086135387989
7,1,-0.6414105276421065,-0.5880567320809603,-1.1483082818904289,-0.3089696825564818,-0.3078323915981472,-1.5220678759154245,0.9083847521874148,-0.3491757927597037,-1.2488587715509094,0.3590374359084704
8,1,-0.8317326541465765,-0.7726873359199229,-1.3038816792850385,-0.1533408640485999,-0.3078324413687574,-0.522874018591349,0.2462517289438671,-0.3491758443235329,-1.2449275640422286,1.4275086135387989
9,1,-0.8093368816579499,-0.7553944289103416,-1.3089183720262394,-0.279789279086254,-0.3078324300267111,-0.0520127356747561,0.1551204974275204,-0.3491758416527077,-1.2292027340075045,1.6945529634057128
10,1,-0.473484173626263,-0.4033973067303153,1.3627490861885077,0.7884219193774452,-0.3078320700099036,1.03691699783685,-1.6841924374140806,-0.3491755740765984,1.2703900402622466,-0.7091399635591878
