f_id,i_id,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,ela_meta.lin_simple.coef.max,ic.eps.ratio,ic.eps.s,disp.ratio_median_10,ela_distr.kurtosis,ic.eps.max,disp.diff_median_25,ela_level.mmce_qda_50
1,1,0.5991890533316648,-0.7091399635591878,0.9230617572809936,1.5003812830820331,1.4146413235796256,-0.0572051808355016,-0.197334926903242,0.7772155112146693,-0.1074323372752677,-0.7110483001383752
2,1,5.030657207614025,-0.7091399635591878,4.849418757110374,1.6787461611046763,1.577108552848834,-1.562218584401793,-0.1996130849259224,4.626596184065309,-1.5169909780261053,-0.372344490673425
3,1,0.0091647825739407,-0.7091399635591878,-0.2258724690498512,1.4255692016297388,1.3810341685068874,1.1102042502890104,-0.1963731745098506,0.1222516379039427,1.057598431259959,-0.7572191628229834
4,1,-0.3104875695526088,-0.7091399635591878,-0.3163780596985648,-0.0301480190996966,-0.0363147170795174,-0.9226869888565034,-0.1961284094986478,-0.3644862058317053,-0.8398735625447907,-0.4371951680319587
5,1,-0.3104915515363757,1.4275086135387989,-0.3163821946397228,-1.3880893269975123,-1.4256529763313583,1.3427611941236604,-0.1990334322215677,-0.364491128260649,1.4204018907397824,2.2195679076670984
6,1,-0.3104915422776259,1.4275086135387989,-0.3163821944900812,-1.1176391977366242,-1.173557339320284,0.5222051593434445,-0.2000427038472595,-0.3644911274379757,0.5338741148204611,1.0254695658697506
7,1,-0.3104914524912324,0.3590374359084704,-0.3163821154940757,-0.5882927066923055,-0.6413554389635718,-1.2272573045035873,-0.2004142550860226,-0.3644910622327556,-1.1323898893890378,-0.6024939054295254
8,1,-0.3104915022178534,1.4275086135387989,-0.3163821875335925,-0.7724057277385594,-0.831833294567344,-1.225275285095906,-0.1999739853022733,-0.3644911132385006,-1.288268190725355,-0.0646562225538606
9,1,-0.3104914908858316,1.6945529634057128,-0.3163821861544878,-0.755161298667727,-0.8094191969709547,-1.218007880601074,-0.1992155210039604,-0.3644911105965823,-1.293314754739509,-0.1330313932470972
10,1,-0.3104911311872221,-0.7091399635591878,-0.3163821735975221,-0.4041509449309334,-0.4732916809561891,1.2958534014751948,-0.2001549475511417,-0.3644908459164948,1.3835888296548016,1.7885223728329316
11,1,-0.3104911134534667,-0.7091399635591878,-0.3163821719856415,-0.4041509449309334,-0.4676951522180145,1.0923660756198756,-0.2001559716725275,-0.3644908325865119,1.1329802285992607,1.8424471208538864
12,1,-0.3104914858143109,1.4275086135387989,-0.3163821945953846,-0.968043775547153,-1.022283167527425,1.315673595552011,-0.2002598175810461,-0.3644911252843106,1.4060358181212536,2.213928718331573
13,1,-0.3104914765312558,1.4275086135387989,-0.3163821935996211,-1.123387340760235,-1.1567397704620694,-1.3844975108463344,-0.1999294360219916,-0.3644911274379757,-1.244312177239085,-0.6416157814447278
14,1,-0.3104914507967575,1.6945529634057128,-0.3163821866228106,-0.7724057277385594,-0.8262087831854784,-1.5767533933914586,-0.1993441506500151,-0.3644911132385006,-1.584135532276379,-0.3402716013276285
15,1,-0.2942912917049132,-0.7091399635591878,-0.2657367400587138,0.965257908298986,1.207345899117639,-1.251702210531663,-0.0730627125207927,-0.359970985888372,-1.1050566725403352,-0.1457195692520277
16,1,-0.3104914490249523,1.4275086135387989,-0.3163821946397228,-1.4743976944970285,-1.431249505069533,0.8558450929698611,-0.1912145726775092,-0.3644911283208446,0.92486858677967,2.204412586327876
17,1,0.0126500979106291,-0.7091399635591878,-0.1661765329452193,1.4255692016297388,1.3922272259832364,0.6860520970451298,-0.1886611308263296,0.1110347389028856,0.8184578362762958,-0.8714127468673577
18,1,0.3424383122417696,-0.7091399635591878,0.147252704089247,1.511877569129255,1.403420283459586,0.1462821450198189,-0.1983745125219531,0.831077599251717,-0.1463898874369541,-0.4791366387149234
19,1,-0.3104907449066377,-0.7091399635591878,-0.3163801450637897,-0.2373110936706299,-0.2099750038250748,-0.1959465393732188,-0.1965162442674449,-0.3644901015108551,-0.2638637965416509,-0.5094472813933685
20,1,1.031136084407152,-0.7091399635591878,1.53165071560467,1.6097109633911109,1.5490979265142704,0.8664158631441636,-0.1951265115469336,1.8123904638727268,0.6991440757955097,-0.6997699214673265
22,1,-0.3101544937097599,-0.7091399635591878,-0.3148222300294148,0.4330373457428617,0.719972193953705,-0.0010479642845194,-0.1548239554156912,-0.364474808763187,-0.3191314888586931,-0.3839753186779447
23,1,-0.3104909456320608,-0.7091399635591878,-0.3163815537643066,-0.3120944344078065,-0.3332385492833701,-0.5897077283659805,-0.1980670712819403,-0.3644906140764556,-0.8407794588650441,-0.4054747280196325
24,1,-0.3104913091464411,-0.7091399635591878,-0.3163821136466481,-0.6860973602390432,-0.4900812671707128,-1.2365067284061038,-0.1853162479682147,-0.3644911088776633,-1.183577039874143,-0.6916635867975092
25,1,-0.3104913153016492,1.1604642636718838,-0.31638218890346,-0.6228103055490882,-0.6133448126290081,0.2149921511527836,-0.1904775125161592,-0.3644910876219253,0.133303597245832,-0.7339575068139441
26,1,-0.310491269892712,-0.7091399635591878,-0.3163820938071228,-0.5250056520023505,-0.4228669570252361,-0.0915601839019833,-0.1842870059755,-0.3644910506751989,0.1103074592401117,-0.1665140799267748
27,1,-0.3104907383614665,-0.7091399635591878,-0.3163814064208685,-0.2603036657650731,-0.2267925726832894,0.0531272328587797,-0.1866660399546804,-0.3644904502106343,0.3272215272511897,-0.3409764999945692
28,1,-0.3104906396485678,-0.7091399635591878,-0.3163816300178058,-0.3063462913841956,-0.2884103540905917,1.239696184924214,5.289988056489881,-0.3644905644083907,0.9785369311684774,-0.7307854628127115
29,1,-0.2271263132829974,-0.7091399635591878,-0.18928770109554,1.1954135549643623,1.1905563129031151,1.2383748386524265,-0.1840218609487201,-0.2819988334878988,1.2880087510864908,-0.5665440734155557
30,1,-0.2943332607224835,-0.7091399635591878,-0.2782350762313168,1.002678319382692,1.0449066524921216,0.5605242012252906,-0.1753988612925427,-0.3487986093078591,0.6511876882932546,-0.5090948320598981
