f_id,i_id,ic.eps.s,ic.eps.ratio,pca.expl_var.cov_init,disp.diff_mean_05,ela_level.qda_mda_25,ela_level.mmce_mda_25,pca.expl_var_PC1.cor_x,ela_distr.kurtosis,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_lda_50
1,1,1.392441960055271,1.4738687650331397,-0.7091399635591878,0.0530258002460852,0.8421080554243514,-1.383494744360117,1.1134670780558609,-0.1969106654921077,1.2116330140992655,-0.7509185538671712
2,1,1.5532600211119163,1.6501425124181532,-0.7091399635591878,-1.568775531619622,-0.5892716804419779,-0.2622708134384278,0.7148183710975808,-0.199188646743052,0.4793158843874299,-0.5962240466411753
3,1,1.3591759436362167,1.399933772373908,-0.7091399635591878,1.165884931907032,0.1044986630965396,-1.0124774960813658,-0.8797764567354841,-0.1959489877250761,0.5782910560249276,1.3691803608338042
4,1,-0.0437857529845451,-0.0387167762968868,-0.7091399635591878,-0.9488217303380472,-0.2295131372028464,-0.8351410580274251,-0.0824790428190899,-0.1957042417062064,0.3674524600158342,-0.5324214733843713
5,1,-1.4190211528230638,-1.380737726417276,1.4275086135387989,1.378871098229117,0.7749577664058294,1.6663651027242443,-0.4146862986174999,-0.1986090390163563,-1.7693537496938812,1.534211597805315
6,1,-1.1694844817828782,-1.1134583253710335,1.4275086135387989,0.5485894564365661,0.6288276037748476,1.6385796700337651,-0.414686298617629,-0.1996182323284739,-1.1926870568476928,0.8473537281636243
7,1,-0.6426848429202642,-0.5903178356293021,0.3590374359084704,-1.3171630857088528,-0.3241498139543396,-0.8580231790666433,-0.2818033962980732,-0.1999897547370343,0.9608077878125856,-1.0439113763090342
8,1,-0.8312292007591525,-0.7722723354276261,1.4275086135387989,-1.154725387461636,-0.1682776404812928,0.261566314637959,0.0504038595004658,-0.1995495191156448,0.2921057517241832,-0.5505998601782095
9,1,-0.8090426236137213,-0.7552300781876956,1.6945529634057128,-1.1395661467317817,-0.2949237814281435,0.274641812374655,0.7812598222573034,-0.1987911136697247,0.2000704084819694,-0.1984381709171861
10,1,-0.4763270622268072,-0.4083349320689115,-0.7091399635591878,1.3017245329038658,0.7749577664058294,1.6679995399413312,-0.3482448474577958,-0.1997304673229012,-1.6574903253222852,1.1111185561526498
11,1,-0.4707873425899954,-0.4083349320689115,-0.7091399635591878,1.0949665653322092,0.778437055992281,1.6679995399413312,0.9141427245765826,-0.1997314913648211,-1.6632735156516882,1.1677923502746157
12,1,-1.0197458599998566,-0.9656167438146368,1.4275086135387989,1.3116179990605197,0.7749577664058294,1.6663651027242443,-0.6804521032563533,-0.1998353292155048,-1.7675510150915057,1.5270828186704772
13,1,-1.1528376242742588,-1.1191390777843435,1.4275086135387989,-1.4609776641390122,-0.147053974003936,-0.9348417282697328,0.4490525664587459,-0.1995049732921266,0.9897237394596008,-1.1248230194894522
14,1,-0.8256617825241566,-0.7722723354276261,1.6945529634057128,-1.5846661299290878,-0.8206444379410321,-0.1470429896337935,-0.3482448474577958,-0.1989197333348713,0.3973598157193181,-0.429410614885954
15,1,1.1872507447077636,0.9450191191160316,-0.7091399635591878,-1.3617525794176712,-0.3008385737251119,0.4201067246953988,-1.2784251636937458,-0.0726480939065465,-0.6508847399873343,-0.1353484755738651
16,1,-1.4245608724598755,-1.466034223903128,1.4275086135387989,0.8743297627642782,0.7906145695448636,1.673720070201136,-2.14216402877001,-0.1907907861700609,-1.7713365578068192,1.525300623886767
17,1,1.37025538290984,1.399933772373908,-0.7091399635591878,0.6464514602196748,0.2732442080394588,-1.025552993818062,-0.6804521032563533,-0.1882375424510322,1.018970159125439,1.156742742615616
18,1,1.3813348221834638,1.4852302698597597,-0.7091399635591878,0.3132661457192247,0.0992797287168622,-0.0726760962563345,-1.1455422613743376,-0.197950170445056,-0.3780833904489226,0.8370169984181084
