f_id,i_id,disp.diff_median_25,ic.eps.s,pca.expl_var.cov_init,ic.eps.ratio,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.intercept,ic.eps.max,ela_level.qda_mda_25,ela_meta.lin_simple.adj_r2,disp.diff_median_02
1,1,-0.1511532645550319,1.3140107630177835,-0.7091399635591878,1.394006141049445,1.409063781992125,0.5800180845238169,0.7559982938912223,0.8590114131618416,1.0344851155424506,0.0355443952501596
2,1,-1.575863839969197,1.4716590968705825,-0.7091399635591878,1.566749564563339,-0.2659825488008064,5.014641582073334,4.610042647261666,-0.5708485890521353,0.9457497560382316,-1.5902008612894007
3,1,1.0264009063951582,1.2814004204485088,-0.7091399635591878,1.3215518820409593,-0.6166937469585748,-0.0104263018807716,0.1002409053330488,0.1221851601979061,-1.1893989976521246,1.10820211532594
4,1,-0.8914678065275053,-0.0939088730372148,-0.7091399635591878,-0.0882860813781057,-0.4915511012990586,-0.3303062564320704,-0.3870866410049144,-0.2114720109555736,0.4608220165988541,-1.0714765414717666
5,1,1.3931042918197016,-1.4420383556054992,1.4275086135387989,-1.4034296962966444,-0.5294284165740912,-0.3303102412511337,-0.38709156939758,0.7919324193778611,-1.2291832394133135,1.2451874439148087
6,1,0.497046858495847,-1.1974200573485472,1.4275086135387989,-1.141503235570615,-0.4808227703126728,-0.3303102319857913,-0.3870915685739101,0.6459574069982134,-0.9217262189823736,0.4487439025651054
7,1,-1.1871285135657823,-0.6810036499172036,0.3590374359084704,-0.6288399461283178,-0.5987100091432345,-0.3303101421354672,-0.3870915032896912,-0.3060082094490601,1.6624161202985446,-1.403342610387366
8,1,-1.3446824158803037,-0.8658317946874415,1.4275086135387989,-0.8071503507415958,-0.7069963877837299,-0.330310191897495,-0.3870915543572317,-0.1503015295774362,1.0443853416028388,-1.0987292155965176
9,1,-1.349783227519215,-0.8440825154218384,1.6945529634057128,-0.790449407443443,-0.7129176759431393,-0.3303101805574045,-0.3870915517121126,-0.2768132069731307,0.303701762270103,-1.0736820652324688
10,1,1.355895511762703,-0.517924784412569,-0.7091399635591878,-0.4505017066095429,-0.553355347223403,-0.3303098206026784,-0.3870912867113544,0.7919324193778611,-1.1079971389333785,1.1720879608887504
11,1,1.102593014164313,-0.5124942527607329,-0.7091399635591878,-0.4505017066095429,-0.395218062237431,-0.3303098028562959,-0.3870912733652217,0.7954080149107094,-1.125414203298876,0.977825097630561
12,1,1.3785837922852633,-1.0506327867994203,1.4275086135387989,-0.9966225524591392,-0.5659166448453007,-0.3303101754822727,-0.3870915664176357,0.7919324193778611,-1.2295499144525874,1.2137946630152867
