f_id,i_id,ic.eps.ratio,pca.expl_var.cov_init,nbc.nb_fitness.cor,disp.diff_mean_05,ic.eps.s,ela_meta.lin_w_interact.adj_r2,pca.expl_var_PC1.cor_x,ela_distr.kurtosis,ela_meta.lin_simple.coef.max_by_min,pca.expl_var_PC1.cov_init
1,1,1.3915340626254245,-0.7091399635591878,0.3152171192222029,-0.0023669171217339,1.3126938969331592,1.1708817168306829,1.1110097035873798,-0.1969201384921494,1.4057163550982208,0.6954252190278101
2,1,1.5648552050108384,-0.7091399635591878,-0.075230312113515,-1.5904020318099292,1.4705445020238523,0.4477287723645927,0.7115971241985245,-0.1991981235695497,-0.2724751666010424,0.6954252190278101
3,1,1.318837489369022,-0.7091399635591878,0.4697392115128148,1.0873222723340152,1.2800417135514988,0.5454653729366117,-0.8860531933568414,-0.1959584591097324,-0.6238448860491875,0.6954252190278101
4,1,-0.0957155015786453,-0.7091399635591878,0.0872159900381537,-0.9833557884904732,-0.0970321752615714,0.3372652021020606,-0.087228034579297,-0.1957137126797487,-0.4984672633004487,0.6954252190278101
5,1,-1.4152574505676954,1.4275086135387989,-2.0580837341643714,1.2958740255091066,-1.4468913800071626,-1.7728011060738142,-0.4200718507365193,-0.1986185148692536,-0.5364156998247085,-1.6486902313717149
6,1,-1.1524550094064407,1.4275086135387989,-1.3204118343714286,0.4828790079685018,-1.2019592233998506,-1.203350795562385,-0.4200718507366487,-0.1996277098765712,-0.4877187880061485,-1.648690231371715
7,1,-0.6380771814247204,0.3590374359084704,0.0760500579612102,-1.3440282056525512,-0.684880226117748,0.9231953066999238,-0.2869343242735676,-0.1999992329091992,-0.6058273806373342,0.2019342397829529
8,1,-0.8169839229846564,1.4275086135387989,-0.5218675951912739,-1.1849724916774285,-0.8699455152759201,0.2628613792959826,0.0459094918837841,-0.1995589965483206,-0.7143170857931138,-1.5420002787738387
9,1,-0.8002271254610906,1.6945529634057128,-0.4728815705956489,-1.1701288692694196,-0.8481683305226225,0.1719777624034711,0.7781658874300097,-0.1988005898284633,-0.720249492201213,-1.5069697450244737
10,1,-0.4591425118689118,-0.7091399635591878,-1.739674574292808,1.2203336665841638,-0.5215921217128735,-1.662337535811282,-0.3535030875050527,-0.1997399450595261,-0.5603875574490603,0.4863075840981405
11,1,-0.4591425118689118,-0.7091399635591878,-1.7648879693052626,1.0178804398577834,-0.5161546223986919,-1.6680483555442047,0.9113034138928136,-0.1997409691031662,-0.4019533421982076,0.4883055232853667
12,1,-1.007089790889509,1.4275086135387989,-1.4551234020093973,1.2300211488633106,-1.054983616937521,-1.771020930815164,-0.6863469036624229,-0.1998448071282723,-0.5729724410926256,-1.64962260299242
13,1,-1.158040608580963,1.4275086135387989,0.1412446936362702,-1.4848485367645272,-1.185619537960735,0.9517494053645372,0.4453220712726394,-0.1995144506499763,0.0857478548964117,-1.6468254881303035
14,1,-0.8169839229846564,1.6945529634057128,-0.2434396759823156,-1.6059617847913912,-0.8644808284651675,0.3667982984351745,-0.3535030875050527,-0.1989292097096597,-0.551547953065721,-1.4901870558517742
15,1,0.8715427074733096,-0.7091399635591878,1.350407080162105,-1.3876893374844714,1.111288922335872,-0.6683285697265751,-1.2854657727456782,-0.072657358175603,0.4809673618933317,0.6954252190278101
16,1,-1.4991252221731417,1.4275086135387989,-1.601361093081631,0.801837338162135,-1.4523288793213442,-1.7747591014108162,-2.1508596947548555,-0.1908002488901894,-0.618625097176395,-1.6521533259629066
17,1,1.318837489369022,-0.7091399635591878,0.6008488655775762,0.5787035059189045,1.290916712179862,0.9806298365853172,-0.6863469036624229,-0.1882470008823305,-0.4050638494179774,0.6954252190278101
18,1,1.402705260974468,-0.7091399635591878,-0.3089945030146971,0.252455174061598,1.3017917108082253,-0.3989410446107098,-1.1523282462827449,-0.1979596451912139,1.2171170105928122,0.6954252190278101
19,1,-0.297020495828414,-0.7091399635591878,0.5144029398205906,-0.2113379699369338,-0.2657577789806276,0.4725300466332854,0.8447346506614763,-0.1961015180062542,2.5421827344202024,0.6940932595696595
20,1,1.4977721589248307,-0.7091399635591878,0.4542509831480216,0.8675511401748255,1.4433298179563734,0.4341859712836619,-0.6863469036624229,-0.1947118907866398,0.7807896993816904,0.6954252190278101
21,1,1.3496001768227013,-0.7091399635591878,0.8000346861759638,0.6854297945121354,1.3181313962473409,1.1617444052580066,-0.952621956588308,-0.1954676349930329,2.1621787090922995,0.6954252190278101
22,1,0.3543720799043282,-0.7091399635591878,1.192283074298286,0.0973807309267163,0.6377642945603639,-0.3188264020717096,-1.3520345359771633,-0.1544123942047301,2.6356238288347558,0.6954252190278101
23,1,-0.3696891410889438,-0.7091399635591878,0.1261166566287969,-0.5223960306738641,-0.385518701375478,0.2126061656462634,1.44385351974475,-0.1976522272904562,-0.2296907857450879,0.6871670703872754
