f_id,i_id,ela_level.qda_mda_25,ic.eps.s,ic.eps.ratio,ela_level.mmce_qda_25,ela_meta.lin_simple.intercept,ic.eps.max,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cov_init,disp.ratio_mean_10
1,1,0.8333865871416124,1.311201069877768,1.3913523999139823,-1.0301936790870498,0.5800180704316393,0.7559982817010547,-0.1601209558856714,1.404056499130762,-0.6559690833927628,-0.1232600346446139
2,1,-0.6123975393872624,1.4705121422670784,1.5656894955812108,-0.4056995005611374,5.0146415935153685,4.610042660781348,-1.6784101651653378,-0.2782633433272319,-0.6559690833927628,-1.7211121783084682
3,1,0.088354416932275,1.278246781565753,1.3182297025208478,-0.8384562555938895,-0.010426319372681,0.1002408887684054,1.0621467106000804,-0.630497425923463,-0.6559690833927628,1.0978180235081412
4,1,-0.2490186412757264,-0.1115680871202532,-0.1046149470997005,-0.7345022308084418,-0.3303062757658233,-0.3870866608204591,-0.9304641839036236,-0.5048113764927983,-0.6559690833927628,-1.0363184024525305
5,1,0.7655605452310459,-1.47391647570607,-1.4318916303232276,1.8212267192871163,-0.3303102605849095,-0.3870915892131576,1.4052492892684842,-0.5428531654838289,1.5820611845132777,1.3205822638468194
6,1,0.6179598322650449,-1.2267181548043655,-1.1675487250334085,1.7249729926339243,-0.3303102513195671,-0.3870915883894876,0.5081429952029515,-0.4940364601438816,1.5820611845132777,0.4749032033018369
7,1,-0.3446076744346606,-0.7048550329007675,-0.6501557782079146,-0.7991847351193869,-0.3303101614692424,-0.3870915231052683,-1.2677647135803036,-0.6124355977745142,0.4628921917490443,-1.3732149387671977
8,1,-0.1871669139375933,-0.8916325853902671,-0.8301112140513348,0.1625825015993076,-0.3303102112312706,-0.3870915741728092,-1.4451828442400712,-0.7211921856407068,1.5820611845132777,-1.3690896750572226
9,1,-0.3150875318414606,-0.8696539135019037,-0.8132561935227597,0.1317813090702878,-0.33031019989118,-0.3870915715276901,-1.438528044531984,-0.7271391856611602,1.8617765032987292,-1.3525886202173207
10,1,0.7655605452310459,-0.5400561522996312,-0.4701722506636135,1.8227667789135675,-0.3303098399364518,-0.3870913065269302,1.374249292638349,-0.5668839934439119,-0.6559690833927628,1.27039155537545
11,1,0.7690748479207121,-0.5345683440878052,-0.4701722506636135,1.8243068385400183,-0.3303098221900693,-0.3870912931807974,1.1102226223103266,-0.4080600328920873,-0.6559690833927628,1.0572529303600484
12,1,0.7655605452310459,-1.0783826988387075,-1.0213314219480194,1.8212267192871163,-0.3303101948160482,-0.3870915862332132,1.3866392589290342,-0.5794998356733837,1.5820611845132777,1.288955242070341
13,1,-0.1657296675306265,-1.2102272911278285,-1.1731670652096,-0.8053449736251929,-0.3303101855263832,-0.3870915883894876,-1.3947200665541226,0.0808409003172663,1.5820611845132777,-1.5409756629728704
15,1,-0.3210618464138941,1.1079326537117316,0.8683130212114164,0.2388154531086372,-0.3140984655708243,-0.3825659704752177,-1.2431979686780237,0.477032640145716,-0.6559690833927628,-1.4089672242536544
16,1,0.7813749073345465,-1.479404283917896,-1.516251008068746,1.8412474944309791,-0.3303101580004942,-0.3870915892734262,0.8957934385001789,-0.6252647964645508,1.5820611845132777,0.8193627230847935
17,1,0.2587980973811092,1.2892223979894049,1.3182297025208478,-0.7814740494151996,-0.0069385223629006,0.0890103999651971,0.7683113865544886,-0.4111781919033002,-0.6559690833927628,0.632350768232569
18,1,0.0830829628977755,1.3001980144130572,1.402589080266366,0.0124266880203293,0.3230845133426309,0.8099256261980032,-0.2071142085981826,1.2149932036525726,-0.6559690833927628,0.0713149036758983
19,1,0.9890701962938474,-0.2818547759332155,-0.3070999270496494,-1.0579147523631676,-0.3303094533808214,-0.387090561219408,-0.3456067771463239,2.5433185651694807,-0.6559690833927628,-0.2848328632853225
20,1,1.5344899737301163,1.4430456621668892,1.4982132300651485,-0.6120674905055814,1.0122726637276476,1.79242739763518,0.6559949208782334,0.7775925351558354,-0.6559690833927628,0.8152374593748168
21,1,-3.687763823114579,1.316688878089594,1.3491727110412233,-1.161868777148615,0.2380210409135549,0.2555154458813968,0.3203622712791458,2.1623797368194686,-0.6559690833927628,0.5704718125829368
22,1,1.6082903302131166,0.6300268755848598,0.3481109042978267,-0.582806357603011,-0.3299729627606872,-0.3870752499438547,-0.3999236536581874,2.636989522984487,-0.6559690833927628,-0.0930081007714603
