f_id,i_id,disp.diff_median_25,ic.eps.ratio,ic.eps.s,ela_level.mmce_qda_25,ela_meta.lin_simple.intercept,ic.eps.max,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,disp.diff_mean_05,ela_distr.skewness
1,1,-0.1314987965416494,1.4193115933315017,1.3562752659059862,-1.0411928981118317,0.5800274713979042,0.7559986798803504,0.9527991394397471,1.0197012544937831,0.0159380399655299,-0.2139737899229546
2,1,-1.5404244606452304,1.592106277360385,1.514744304842687,-0.4144893159167098,5.014633971621558,4.610042219200046,-0.5477573139956519,0.9686538493921736,-1.567467905661523,-0.263986570357173
3,1,1.0330088030749534,1.3468358339813271,1.323495156404957,-0.848777125033427,-0.0104146519113739,0.1002414298311675,0.1795420462742037,-1.2987017272043009,1.1024507533878254,-0.1618574676507304
4,1,-0.8636111116277433,-0.0634204899089308,-0.0589738913357981,-0.744455320352365,-0.3302933804050768,-0.3870860135735345,-0.1706121091215136,0.5836713359175376,-0.9621912199936988,-0.1901356933505687
5,1,1.39564934197045,-1.3789543653515153,-1.4141216321568777,1.8203155665842616,-0.3302973652088667,-0.3870909419651591,0.8824035644487335,-1.345495181880776,1.3103945720692045,-0.4254380060053931
6,1,0.50951967036767,-1.1169501796100083,-1.168229869879796,1.7237213029906857,-0.3302973559435599,-0.3870909411414893,0.7292111214631067,-0.9286080402176342,0.4997694589137436,-0.3459879053891699
7,1,-1.1559960810396137,-0.6041347605890652,-0.6491250384059567,-0.8093666654872479,-0.3302972660935802,-0.3870908758572842,-0.2698224531503007,1.362144263717078,-1.3218122664528933,-0.2865306513965583
8,1,-1.311804383638945,-0.7824980776836554,-0.834915384262333,0.1558032163397606,-0.3302973158554172,-0.387090926924814,-0.1064171806322992,0.977161750242442,-1.1632202045616074,-0.3136007204139268
9,1,-1.3168486814421891,-0.7657921784865349,-0.8130528799240112,0.124893051989818,-0.3302973045153702,-0.3870909242796954,-0.2391839645531755,0.4624337488012161,-1.1484198517494475,-0.2834090689022583
10,1,1.3588528121650536,-0.4257436003291466,-0.4851971968879023,1.8218610748017587,-0.3302969445620237,-0.3870906592789933,0.8824035644487335,-1.179591115300546,1.2350744155120612,-0.3511149053208691
11,1,1.1083567494512911,-0.4257436003291466,-0.4797383943065486,1.823406583019256,-0.3302969268157094,-0.3870906459328634,0.8860510035674385,-1.1987338922136492,1.0332113458954462,-0.3505322916922669
12,1,1.3812897205829784,-0.972026504074988,-1.0206784361058028,1.8203155665842616,-0.3302972994402579,-0.3870909389852154,0.8824035644487335,-1.351876107518477,1.2447336584954694,-0.2849790593119652
13,1,-1.2678681090477013,-1.1225188126757153,-1.1518261681228277,-0.8155486983572384,-0.3302972901506286,-0.3870909411414893,-0.0841678020081963,1.4536041978574603,-1.4622221021583548,-0.2789014792493888
14,1,-1.6075388629503478,-0.7824980776836554,-0.8294292876680726,-0.3789426269142752,-0.3302972643979052,-0.387090926924814,-0.7903120153895606,0.7517023777103349,-1.582982301505454,-0.2856413990160603
15,1,-1.1286751384500011,0.9008996980795232,1.154081218292642,0.2323058731058741,-0.3140856324257954,-0.3825653242133097,-0.2453846110549748,-0.2905154764475189,-1.3653461248015124,0.4583194080586918
16,1,0.9003385622816068,-1.4625673908331036,-1.4195804347382313,1.840407173411724,-0.3302972626248452,-0.3870909420254277,0.8988170404829083,-1.394415611769818,0.817798016194757,-0.3477050823997869
17,1,0.793975596608277,1.3468358339813271,1.3344127615676644,-0.79159332098603,-0.006926868289941,0.0890109434749788,0.3564428435314152,-1.2136227187016186,0.5953146256345603,-0.0869333550124905
18,1,-0.1704388524191155,1.4304488594629154,1.3453303667303722,0.0051161651337838,0.3230949005806656,0.8099260126270297,0.1740708875961462,-0.7520690975745691,0.2700173172591117,-0.2318753602586362
19,1,-0.287860008669851,-0.2641140255970055,-0.2283605354352063,-1.06901204602678,-0.3302965580078771,-0.3870899139716335,1.114380692398397,1.0303361305566137,-0.1924238560851759,-0.1670089986825813
20,1,0.6747154151854295,1.5252269942412455,1.4874229979230116,-0.6215874170613365,1.0122804054302974,1.792427569986164,1.6804632436214733,-0.4500386173900525,0.8833202605420324,-0.1500580084777769
21,1,0.3562235001929886,1.3775050805907074,1.36173406848734,-1.173333850707842,0.2380317546784257,0.2555159531112702,-3.739631286774741,1.179224395436307,0.7017298039578753,-0.1563686339917941
23,1,-0.8645166011460383,-0.3365619417818514,-0.3485906622895236,-0.2491199366445079,-0.3302967588754532,-0.3870904271581195,0.2689043046824865,0.6878931213333233,-0.5025751734272882,-0.2095643246706918
24,1,-1.2071602454140598,-0.6988850522020672,-0.5015736046319637,-0.2359831167957815,-0.3302971226472727,-0.3870909225586942,-1.240770746549677,0.8431623118507173,-1.1417430319799005,-0.0213371932069233
25,1,0.1091290330590148,-0.6375744021486348,-0.621803731486281,-0.4191258405692014,-0.3302971288068398,-0.3870909012772086,-1.0897667670352729,-1.2625431485906609,0.2481137885482892,-0.1133165532256122
26,1,0.0861432217030088,-0.542824110535633,-0.4360133856299046,0.4587228269692159,-0.3302970833657442,-0.3870908642857276,-0.1210069371071208,0.2476092523319442,-0.4152487454866546,-0.0332961045308627
27,1,0.3029598822451508,-0.2863885578598328,-0.2447642371921744,-0.524220399359012,-0.3302965514580707,-0.3870902630938028,0.4567474192958139,0.2348474010565421,-0.0341650142753836,-0.0743059712094181
28,1,0.9539828063543914,-0.3309933087161446,-0.3048656536128797,-0.4840371857040843,-0.330296452675264,-0.3870903774298903,-0.4751732755334136,-0.8945764368165616,1.2663515699935832,5.219100678368594
29,1,1.2633156548033724,1.123867766030425,1.1377048105485803,-0.6725891882387445,-0.2468730880663418,-0.3044987218828743,-0.2727404044452647,0.8963366921648936,1.1545345009081738,-0.0617828445819902
30,1,0.6267805629868489,0.9371514993372748,0.995639473368848,-0.5334934486639953,-0.3141276311656364,-0.3713794142089646,-0.9518935683482088,0.8623050887638211,0.4810656708612347,0.0122213518005619
