f_id,i_id,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,disp.diff_median_25,disp.diff_mean_05,disp.ratio_median_10,ic.m0,ic.eps.max,pca.expl_var.cov_init,ela_level.qda_mda_25
1,1,1.3119388809057175,1.391082433122992,0.6921215851505006,-0.1652301125445228,-0.028070087875647,-0.1240821257463766,-0.908700111332773,0.7559982818075519,-0.7091399635591878,0.8318574958272967
2,1,1.4699697916075818,1.5650220408389297,0.6921215851505006,-1.6085393621003432,-1.6495162584682908,-1.6628681950268738,-0.6456900033232993,4.610042660663236,-0.7091399635591878,-0.6376638024013762
3,1,1.2792494004108952,1.3181264552169998,0.6921215851505006,1.0276962657069872,1.084545336705909,1.069524100951885,-0.273547070413629,0.1002408889131193,-0.7091399635591878,0.0745932390833039
4,1,-0.0993974576600872,-0.101474113718265,0.6921215851505006,-0.9152089815502056,-1.029698222016216,-1.0089854403896827,-0.7439095457334775,-0.3870866606473442,-0.7091399635591878,-0.2683188771781263
5,1,-1.4507985455601144,-1.4257246108762789,-1.648820424808982,1.399186726408325,1.2974848607935292,1.307299648092681,2.0160595959924934,-0.3870915890400425,1.4275086135387989,0.7629178724539054
6,1,-1.2055866140215177,-1.1619844064600726,-1.6488204248089822,0.4914318434394762,0.4673850439132573,0.4683302459652115,0.969475805199608,-0.3870915882163724,1.4275086135387989,0.6128938215895293
7,1,-0.6879169807733679,-0.6457711136930497,0.1992986891393702,-1.2147293476951035,-1.3979589136323896,-1.320390347298509,-0.8977868288427545,-0.3870915229321532,0.3590374359084704,-0.3654773101188654
8,1,-0.8731936616461875,-0.8253162517897784,-1.5422749080195308,-1.3743400141970052,-1.235556787917128,-1.3183638511581048,0.6355293610050071,-0.387091573999694,1.4275086135387989,-0.2054516558635312
9,1,-0.8513916017990993,-0.8084996606474061,-1.5072917982621956,-1.3795074136293726,-1.2204008669374369,-1.3109333653099555,0.3255921382884492,-0.3870915713545749,1.6945529634057128,-0.3354724999459904
10,1,-0.5244423597476366,-0.4661979479444171,0.4832870516181187,1.3614922098182851,1.2203551899372953,1.2593392394364415,2.011694282996486,-0.387091306353815,-0.7091399635591878,0.7629178724539054
11,1,-0.5189986494237694,-0.4661979479444171,0.485282286014925,1.104883012112942,1.0136425006753405,1.0512856356882447,1.9865937332694388,-0.3870912930076822,-0.7091399635591878,0.7664898736649616
12,1,-1.0584431239673875,-1.0161004782999927,-1.649751534194158,1.3844766711536756,1.2302464895054983,1.279604200840486,2.0160595959924934,-0.3870915860600981,1.4275086135387989,0.7629178724539054
13,1,-1.1892282644982966,-1.1675899368408635,-1.6469582060386292,-1.3293315136605963,-1.5417419978420444,-1.4811590411039344,-0.9097914395817748,-0.3870915882163724,1.4275086135387989,-0.1836624484760862
14,1,-0.8677227327707009,-0.8253162517897784,-1.4905318293290235,-1.6772916320698288,-1.6654033768662442,-1.6777291667231735,-0.5889409343751985,-0.387091573999694,1.6945529634057128,-0.8752018829366381
