f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10,nbc.nn_nb.cor,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio
1,1,-0.2367751085933172,-0.180904696111196,-0.7926120457104401,0.6862857257919568,-0.3635692101221919,-0.1685198405008589,0.3892600610478307,2.079038816976557,0.2245635159289279,1.9240088394920365
1,2,-0.2367748006770719,-0.1809040779118984,-0.7491938193836785,0.6862857257919568,-0.3997364970350277,-0.1685198306202261,-1.6625041197893355,1.2759060073513864,-1.6838178864911846,1.2347407477429593
1,3,-0.2367748680617033,-0.1809051432809032,-0.757912164530211,0.6862857257919568,-0.3966943887900228,-0.1685198305834798,-1.3671506236198194,1.246612409431932,-1.404900604599014,1.2565907448877425
1,4,-0.2367749938861034,-0.1809050329141576,-0.7752621051203256,0.6862857257919568,-0.3849868813016707,-0.1685198314014054,-0.6790398187142439,1.0879387540348624,-0.8206422983196314,1.1135725817582514
1,5,-0.2367749938861034,-0.1809048272526763,-0.7752621051203256,0.6862857257919568,-0.3743395024441537,-0.1685198344122861,-0.6570454094250243,1.9496587594989463,-0.7648588419411921,1.8127724903913165
2,1,-0.0372385569162413,-0.1537920873619022,1.5172289199029776,0.6837443565076626,-0.2208052211697407,-0.1443864133668264,0.5400788676024834,-0.9284372360878996,1.1758182457506394,-0.6046317391724448
2,2,-0.0325317789650743,-0.1597651292722043,1.525903890198035,0.682156000704979,-0.1906453298316367,-0.1527101241807318,0.442675055035941,-0.6696771211326737,0.6532153386263686,-0.4477090324053636
2,3,0.0144847407338147,-0.1440249539189775,1.5693221165247966,0.6812029872233685,-0.2457259260858918,-0.1363305972637072,-0.4088227903038353,-0.5036800662557397,-0.6885235858443937,-0.4318181253909757
2,4,0.026338437297452,-0.1584986655636011,1.560647146229739,0.6799323025812215,-0.3385409559246518,-0.1602738903467864,0.4709535812649367,-0.117981026982864,-0.2393199634285766,-0.2351681510879251
2,5,-0.0278250010139073,-0.1443822512055789,1.551972175934682,0.682156000704979,-0.2030595897405455,-0.1362026198163027,-0.1260375280138726,-0.5671495284145679,-0.3949264470105242,-0.4675726661733485
3,1,-0.2367694486250411,-0.1809046973086948,-0.4452662350963479,0.619098275338431,-0.1543551294543563,-0.1685196866933433,0.5934938615905877,0.3751278713280281,0.2832829436957007,0.4540999406611518
3,2,-0.2367632396125817,-0.1809009103044924,-0.2281751034625402,0.6627780599122364,-0.0966165295314859,-0.1685158734790675,0.2384412544931901,0.04313376157416,-0.0572897373515809,0.191899974923751
3,3,-0.2367434687828486,-0.1809003442925799,-0.1066387696287883,0.6535655962566701,-0.2030903181066567,-0.1685174212107819,-1.4268497345476998,-0.117981026982864,-1.539955288462591,-0.1120136217264184
3,4,-0.2367643895811512,-0.1809029817261001,-0.2715933297893018,0.6468945018853981,-0.0438866532847346,-0.1685187694783932,0.1756000850954206,0.3995392029275772,-0.0191221093031788,0.6547226417177995
3,5,-0.2367656828804947,-0.1809033980157861,-0.3497548121477676,0.6421294344773464,-0.1925504885305286,-0.1685194572126841,0.5997779785303639,0.8145318401199126,0.5122887119861141,0.6288999178194192
4,1,-0.2367590793995961,-0.1809024669142086,-0.1066387696287883,0.5544521941691994,0.0608356184221,-0.1685178007410733,0.4489591719757173,0.5850653230841512,0.6649592241797235,0.7361635401665375
4,2,-0.2367044209223907,-0.1808962313095114,0.0583591653832006,0.6748495640126332,-0.0952337530564837,-0.1685132119463289,0.0844803894686545,0.2359832812105985,-0.0983933367883221,0.5057453884579124
4,3,-0.236759855089559,-0.1809023120856849,-0.2368934486090728,0.6214808090424568,-0.0685615312719964,-0.1685184994170132,0.4583853473853834,0.3360697407687497,0.4007217992292461,0.4540999406611518
4,4,-0.2367586732815382,-0.1808999378717281,-0.0501647130079655,0.6386350517114421,-0.0672094831631053,-0.1685158477060621,0.6123462124099182,0.3409520070886597,0.6855110238980933,0.3647135887052196
4,5,-0.2367643895811512,-0.1809003298455962,-0.0805704838921412,0.6462591595643247,0.0286169265545483,-0.1685157491101895,0.442675055035941,0.6192411873235195,0.6355995102963371,0.4282772167627676
5,1,-0.2367753086600766,-0.1809046842351234,-0.8360302720372016,0.6862857257919568,-0.4982209104212968,-0.1685198202860467,-3.5571653771320846,0.3433931402486143,-3.345577692290852,-0.5807953786508628
5,2,-0.2367753086600766,-0.1809036002367294,-0.8360302720372016,0.6862857257919568,-0.4953324440068478,-0.1685198202860467,-3.6074383126503,0.2579534796501923,-3.363193520620884,-0.7635408093163282
5,3,-0.2367753086600766,-0.1809045605172068,-0.8360302720372016,0.6862857257919568,-0.5006177229779674,-0.1685198202860467,-3.6451430142889616,0.0553394273739345,-3.363193520620884,-0.6284680996940263
5,4,-0.2367753086600766,-0.1809031346975515,-0.8360302720372016,0.6862857257919568,-0.5017854008901915,-0.1685198202860467,-3.657711248168515,-0.0862462959034503,-3.3485136636791903,-0.8847089753010322
5,5,-0.2367753086600766,-0.1809047302545381,-0.8360302720372016,0.6862857257919568,-0.5035369177585276,-0.1685198202860467,-3.698558008277066,-0.2375965518206544,-3.374937406174238,-0.8847089753010322
6,1,-0.229555524984158,-0.1798633216121595,0.8833054655916692,0.6087739626209863,-0.2456337409875583,-0.1681103896316136,-1.389145032909039,-0.2742135492199781,-1.4929797462491732,-0.4278453986373786
6,2,-0.2301914817116372,-0.1800139542321084,0.8572805547064977,0.5847897900004603,-0.2284565843314196,-0.1682681844255102,-1.062370952040637,0.0577805605338851,-1.1024955516001411,-0.0027636360025056
6,3,-0.2298808311070967,-0.1797706895757607,0.8833054655916692,0.5943199248165633,-0.2702471622425977,-0.1682449398126365,-1.2854571034027191,-0.1472746249023224,-1.3256293771138707,-0.0623545373064599
6,4,-0.2272548326005541,-0.179312963959583,0.9267236919184308,0.6362525180074162,-0.3062300789587666,-0.1680809773797613,-1.5902367749819006,-0.0471881653441712,-1.645650258442788,-0.0782454443208439
6,5,-0.232427557132161,-0.1804620338233943,0.7791190723480318,0.4677279673426626,-0.1673993208685439,-0.1683651995262807,-0.8455689176183329,0.1993662838112748,-0.9322092110764938,-0.2252363342039327
7,1,-0.2367555932033023,-0.1809021988455775,-0.2368934486090728,0.6778674400377325,-0.132077064023765,-0.1685189298082418,0.7348864927355621,-0.0838051627434949,0.3067707148024096,-0.1576999793927836
7,2,-0.236759855089559,-0.1809030075421118,-0.2803116749358343,0.6748495640126332,-0.1218598822918041,-0.1685192123222361,1.105649392182408,-0.0520704316640812,0.9644283057902638,-0.1080408949728213
7,3,-0.2367605957667742,-0.1809031668959866,-0.2803116749358343,0.6735788793704862,-0.0197495217044181,-0.1685194984286271,0.7380285512054572,-0.3083894134593472,0.6796390811214167,-0.1080408949728213
7,4,-0.2367649260173377,-0.1809034648964663,-0.3584297824428248,0.6662724426781407,-0.19682173141998,-0.168519542793442,0.0404915708902164,0.5240369940852783,-0.1864724784384812,0.5494453827474794
7,5,-0.2367632396125817,-0.1809032410313245,-0.3324048715576532,0.6684961408018978,-0.1876032215866318,-0.1685192991464566,0.6971817910969071,0.2799236780897868,0.3831059708992138,0.1203908933590049
8,1,-0.232007558947704,-0.1804562799991922,0.7921315277906178,0.6661136070978724,-0.2116174397025037,-0.1683197208052471,0.0562018632396587,0.4727731977262246,-0.0396739090215494,0.8195908019920706
8,2,-0.2306297824053395,-0.1803024339956378,0.8398872392649079,0.6748495640126332,-0.237152711940878,-0.168281049912703,-0.2799983930384082,0.8096495738000027,-0.4448379606122803,0.9189089708319952
8,3,-0.2298808311070967,-0.1802369659752934,0.8616180398540262,0.6758025774942437,-0.2715377536192665,-0.1683251739812697,-0.4151069072436125,1.190466346752969,-0.5035573883790532,1.1473407591638254
8,4,-0.2315469976430702,-0.1804175225685753,0.813862328379736,0.6673842917400192,-0.2570493289978544,-0.1683537651941875,-0.1480319373030921,0.9219416991579285,-0.2481278775935923,1.0440498635703042
8,5,-0.2315469976430702,-0.1803999988084455,0.813862328379736,0.668813811962435,-0.2339415976822617,-0.1683700612162358,-0.3899704394845048,0.6753872500024825,-0.4888775314373599,0.9665816918751626
9,1,-0.2333227661338137,-0.1806072167686881,0.7530507866113847,-0.1471245638762462,0.1645592182303221,-0.168489506222866,0.442675055035941,1.1367614172339608,0.6355995102963371,1.1890543900765935
9,2,-0.2333227661338137,-0.1806141245288169,0.7443758163163277,-0.1069391620683456,0.1645284898642108,-0.168480852443367,0.442675055035941,0.7705914432407196,0.6355995102963371,1.0063089594111323
9,3,-0.2331598395512254,-0.1806061597416799,0.7530507866113847,-0.1739677769416027,0.1581369897130895,-0.1684841270612658,0.442675055035941,1.332052070030354,0.6355995102963371,1.5605043415379114
9,4,-0.2333227661338137,-0.1806160766707581,0.7443758163163277,-0.0815254692254044,0.153358728782804,-0.1684892261205058,0.442675055035941,0.7388567121613105,0.6355995102963371,1.0063089594111323
9,5,-0.2331598395512254,-0.180608748695523,0.7530507866113847,-0.1174223103660587,0.1909548847198088,-0.1684812535421721,0.442675055035941,1.8642190989005245,0.6355995102963371,1.6240679695954638
10,1,0.0653616187943363,-0.14112061701252,1.5867154319663863,0.6580129925041847,-0.0465907495025167,-0.1477740680377608,0.8480005976515477,-0.4792687346561905,0.4242095703359551,-0.6860726376211829
10,2,0.0325448954661616,-0.1459643445535512,1.5779970868198536,0.6596013483068687,-0.0031562040043915,-0.15263536220444,1.5455375779667884,-0.2473610844604743,1.1112268752071957,-0.3841454043478122
10,3,-0.0462280186537649,-0.1584817291757089,1.525903890198035,0.6678607984808244,0.1399765253413937,-0.1584695503014481,0.6626191479281334,-0.5525027294548379,0.9233247063535226,-0.4973681168253259
