f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_distr.skewness,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_level.qda_mda_50,nbc.dist_ratio.coeff_var,nbc.nn_nb.mean_ratio
1,1,-0.3826372625103788,-0.3663331636874073,-0.4010514213393069,-0.7568176365366867,0.6637795572105196,0.3716164952434798,0.1984764890025913,-0.5652695806502959,-1.288005997562797,1.1853536375625608
1,2,-0.3826331879241056,-0.3662687875490649,-0.4635069134137756,-0.7073848906753686,0.6637795572105196,-1.677021055065538,-1.7082344161437486,-0.1654612771148167,-0.93307988903374,0.8554572713094194
1,3,-0.3826340796097445,-0.3663797296719582,-0.4582536477252689,-0.7173109465376313,0.6637795572105196,-1.382117640472815,-1.4295612838531293,-0.1386156356304198,-0.9601734851046604,0.8865795700125496
1,4,-0.3826357446156722,-0.3663682366390212,-0.4380365343179855,-0.737064291537159,0.6637795572105196,-0.69505542987913,-0.8458144067391018,-0.266132432681304,-1.1064789038876306,1.0079565349547372
1,5,-0.3826357446156722,-0.3663468200958136,-0.419650104408212,-0.737064291537159,0.6637795572105196,-0.673094537303076,-0.7900797802809727,-0.3097566000934491,-1.122735061530183,1.0328543739172429
2,1,2.2577849530527727,2.457036352614278,-0.1545193770079713,1.872994566612932,0.6612004116392656,0.5222054729078551,1.1488985401832223,1.0651237530717246,0.1615013922314432,-0.0782116897843827
2,2,2.3200686848379,1.835034072970912,-0.1024377580860587,1.8828712391126965,0.659588445657232,0.4249500914996169,0.6267530923123846,1.290675080186166,0.1696294710527192,-0.0968850690062566
2,3,2.942227693139895,3.474136074717663,-0.1975537050219001,1.9323039849740145,0.6586212660680114,-0.4252501782304684,-0.7138113440751251,0.7120556289064012,0.2183979439803757,-0.1715785858937594
2,4,3.0990849881072124,1.9669171780397283,-0.3578313718111379,1.9224273124742504,0.6573316932823845,0.4531855248116856,-0.2650009310175961,1.0924487810112011,0.1235703577321543,-0.0533138508218771
2,5,2.382352416623027,3.436928948078697,-0.1238753271583488,1.9125506399744867,0.659588445657232,-0.1428958451097758,-0.4204712048218361,0.8654592945315254,0.1696294710527192,-0.1155584482281306
3,1,-0.3825623654258598,-0.3663332883888596,-0.0397700128524584,-0.3613556696461425,0.5955933961704907,0.5755390691639862,0.257144516853248,0.3606653573338513,-0.7217498396805615,0.6811723985719084
3,2,-0.3824802029634102,-0.3659389289850081,0.0599359086496034,-0.1141919403395523,0.6399224606764198,0.2210275175791166,-0.0831300446805602,0.7084602304933122,-0.4697793962210019,0.4135206297250204
3,3,-0.3822185800296235,-0.3658799873761709,-0.1239283904481317,0.0241802413821389,0.6305730579806238,-1.4417257774649608,-1.5644977479096394,0.6832924416016899,-0.4345577213288056,0.4072961699843958
3,4,-0.3824954202383036,-0.3661546363216501,0.1509925139170533,-0.1636246862008704,0.623802800856082,0.1582821102189627,-0.0449958265776336,0.7377028042531014,-0.5564789036479526,0.5162242154453411
3,5,-0.3825125341770246,-0.3661979866174566,-0.1057276820525982,-0.2526135054237425,0.6189669029099804,0.5818136099000009,0.4859498254708088,-0.2469569744781634,-0.767808953001126,0.7247436167562878
4,1,-0.3824251518026262,-0.3661010264232261,0.3318322054971634,0.0241802413821389,0.5299863807017157,0.4312246322356316,0.6384866978825163,-0.0758160100151347,-0.4779074750422779,0.4664285375203369
4,2,-0.381701868493032,-0.3654516821870947,0.0623237566898337,0.2120345523276473,0.6521734021398763,0.0673012695467391,-0.1241976641760202,1.3851142118366322,-0.372242450365688,0.3450515725781423
4,3,-0.3824354163330761,-0.3660849033663015,0.1083826922213877,-0.124117996201815,0.5980113451435414,0.4406364433396554,0.3744805725545613,0.3599462776512331,-0.5402227460053947,0.5099997557047165
4,4,-0.3824197777338999,-0.3658376647706818,0.1107174769718351,0.0884773793556017,0.6154205777495061,0.594362691372032,0.6590205076302456,0.7580767285939376,-0.4318483617217183,0.4010717102437711
4,5,-0.3824954202383036,-0.3658784829405861,0.2761953461597968,0.0538596422439294,0.6231580144632685,0.4249500914996169,0.609152683957188,0.5219788994677707,-0.4508138789713575,0.4259695492062698
5,1,-0.382639909948714,-0.3663319269734611,-0.6335747571679579,-0.8062503823980047,0.6637795572105196,-3.5687950869741774,-3.3685396043173306,0.529169696293948,0.5218462199746784,-0.5045871820172201
5,2,-0.382639909948714,-0.3662190448805035,-0.6285868079283656,-0.8062503823980047,0.6637795572105196,-3.6189914128623006,-3.386140012672528,0.6063509155615886,0.5191368603675919,-0.4859138027953392
5,3,-0.382639909948714,-0.3663190436173316,-0.6377136937710237,-0.8062503823980047,0.6637795572105196,-3.6566386572783927,-3.386140012672528,0.5049606803124832,0.5110087815463159,-0.4765771131844021
